"","fish","station","seen"
"1","4842","Release",1
"2","4842","I80_1",1
"3","4842","Lisbon",1
"4","4842","Rstr",1
"5","4842","Base_TD",1
"6","4842","BCE",1
"7","4842","BCW",1
"8","4842","BCE2",1
"9","4842","BCW2",1
"10","4842","MAE",1
"11","4842","MAW",1
"12","4843","Release",1
"13","4843","I80_1",1
"14","4843","Lisbon",1
"15","4843","Rstr",1
"16","4843","Base_TD",1
"17","4843","BCE",1
"18","4843","BCW",1
"19","4843","BCE2",1
"20","4843","BCW2",1
"21","4843","MAE",1
"22","4843","MAW",1
"23","4844","Release",1
"24","4844","I80_1",1
"25","4844","Lisbon",1
"26","4844","Rstr",1
"27","4844","Base_TD",1
"28","4844","BCE",1
"29","4844","BCW",1
"30","4844","BCE2",1
"31","4844","BCW2",1
"32","4844","MAE",1
"33","4844","MAW",1
"34","4845","Release",1
"35","4845","I80_1",1
"36","4845","Lisbon",1
"37","4845","Rstr",1
"38","4845","Base_TD",1
"39","4847","Release",1
"40","4847","I80_1",1
"41","4847","Lisbon",1
"42","4848","Release",1
"43","4848","I80_1",1
"44","4848","Lisbon",1
"45","4848","Rstr",1
"46","4849","Release",1
"47","4849","I80_1",1
"48","4850","Release",1
"49","4850","I80_1",1
"50","4850","Rstr",1
"51","4850","Base_TD",1
"52","4850","BCE",1
"53","4850","BCW",1
"54","4851","Release",1
"55","4851","I80_1",1
"56","4854","Release",1
"57","4854","I80_1",1
"58","4855","Release",1
"59","4855","I80_1",1
"60","4855","Lisbon",1
"61","4855","Rstr",1
"62","4855","Base_TD",1
"63","4857","Release",1
"64","4857","I80_1",1
"65","4857","Lisbon",1
"66","4857","Rstr",1
"67","4857","Base_TD",1
"68","4857","BCE",1
"69","4857","BCW",1
"70","4857","BCE2",1
"71","4857","BCW2",1
"72","4858","Release",1
"73","4858","I80_1",1
"74","4858","Lisbon",1
"75","4858","Rstr",1
"76","4858","Base_TD",1
"77","4858","BCE",1
"78","4858","BCW",1
"79","4858","BCE2",1
"80","4858","BCW2",1
"81","4858","MAE",1
"82","4858","MAW",1
"83","4859","Release",1
"84","4859","I80_1",1
"85","4859","Lisbon",1
"86","4859","Rstr",1
"87","4859","Base_TD",1
"88","4861","Release",1
"89","4861","I80_1",1
"90","4861","Lisbon",1
"91","4861","Rstr",1
"92","4861","Base_TD",1
"93","4861","BCE",1
"94","4861","BCW",1
"95","4861","BCE2",1
"96","4861","BCW2",1
"97","4861","MAE",1
"98","4861","MAW",1
"99","4862","Release",1
"100","4862","I80_1",1
"101","4862","Lisbon",1
"102","4862","Rstr",1
"103","4862","Base_TD",1
"104","4862","BCE",1
"105","4862","BCW",1
"106","4862","BCE2",1
"107","4862","BCW2",1
"108","4863","Release",1
"109","4863","I80_1",1
"110","4864","Release",1
"111","4864","I80_1",1
"112","4865","Release",1
"113","4865","I80_1",1
"114","4865","Lisbon",1
