rownames,dataset,x,y
1,(1) Linear,10,8.04
2,(1) Linear,8,6.95
3,(1) Linear,13,7.58
4,(1) Linear,9,8.81
5,(1) Linear,11,8.33
6,(1) Linear,14,9.96
7,(1) Linear,6,7.24
8,(1) Linear,4,4.26
9,(1) Linear,12,10.84
10,(1) Linear,7,4.82
11,(1) Linear,5,5.68
12,(2) Nonlinear,10,9.14
13,(2) Nonlinear,8,8.14
14,(2) Nonlinear,13,8.74
15,(2) Nonlinear,9,8.77
16,(2) Nonlinear,11,9.26
17,(2) Nonlinear,14,8.1
18,(2) Nonlinear,6,6.13
19,(2) Nonlinear,4,3.1
20,(2) Nonlinear,12,9.13
21,(2) Nonlinear,7,7.26
22,(2) Nonlinear,5,4.74
23,(3) Outlier,10,7.46
24,(3) Outlier,8,6.77
25,(3) Outlier,13,12.74
26,(3) Outlier,9,7.11
27,(3) Outlier,11,7.81
28,(3) Outlier,14,8.84
29,(3) Outlier,6,6.08
30,(3) Outlier,4,5.39
31,(3) Outlier,12,8.15
32,(3) Outlier,7,6.42
33,(3) Outlier,5,5.73
34,(4) Leverage,8,6.58
35,(4) Leverage,8,5.76
36,(4) Leverage,8,7.71
37,(4) Leverage,8,8.84
38,(4) Leverage,8,8.47
39,(4) Leverage,8,7.04
40,(4) Leverage,8,5.25
41,(4) Leverage,19,12.5
42,(4) Leverage,8,5.56
43,(4) Leverage,8,7.91
44,(4) Leverage,8,6.89
