rownames,Sales,Profit,FSales,FProfit
1,0.461,0.047,,
2,0.564,0.056,,
3,0.734,0.069,,
4,1,0.089,,
5,1.2,0.126,,
6,1.3,0.145,,
7,1.4,0.168,,
8,1.7,0.207,,
9,1.9,0.241,,
10,2.1,0.29,,
11,3.2,0.431,,
12,3.6,0.477,,
13,4.2,0.526,,
14,5.3,0.652,,
15,6.9,0.871,,
16,7.2,0.934,,
17,7.5,1,,
18,8.3,1,,
19,9.5,1.3,,
20,11,1.6,,
21,12.7,1.8,,
22,14.4,2,,
23,16.3,2.4,,
24,18.1,2.7,,
25,21.1,3.1,,
26,22.9,3,,
27,26.2,3.6,,
28,29.1,3.3,,
29,34.4,4.4,,
30,40.2,5.5,,
31,45.9,6.6,,
32,50.1,6.6,55.10383,7.644368
33,51.3,4.8,63.23731,8.80043
34,54.2,5.3,72.57135,10.13132
35,59.7,5.8,83.28309,11.66349
36,63.4,3.8,95.57591,13.42736
37,69,6,109.6832,15.45799
38,64.8,-2.8,125.8728,17.7957
39,65.1,-5,144.452,20.48695
40,62.7,-8.1,165.7735,23.58521
41,64.1,3,190.2421,27.15201
42,71.9,4.2,,
