rownames,avg_price_per_room,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,agent,company,days_in_waiting_list,customer_type,required_car_parking_spaces,total_of_special_requests,arrival_date,arrival_date_num,near_christmas,near_new_years,historical_adr
1,110,241,0,1,2,1,0,bed_and_breakfast,prt,online_travel_agent,ta_to,0,0,0,a,c,0,devin_rivera_borrego,not_applicable,0,transient,1,1,2016-07-02,2016.5,0,0,104.981119112664
2,74,273,2,5,2,0,0,bed_and_breakfast,aus,offline_travel_agent,ta_to,0,0,0,a,a,0,lia_nauth,not_applicable,0,transient_party,0,0,2016-07-02,2016.5,0,0,104.981119112664
3,81.9,248,2,5,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,c,1,jawhara_al_azad,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
4,81,236,2,5,2,0,0,bed_and_breakfast,prt,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,0,2,2016-07-02,2016.5,0,0,104.981119112664
5,112.2,243,4,10,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,a,1,jawhara_al_azad,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
6,90.8,267,2,5,2,0,0,breakfast_and_one_other_meal,null,offline_travel_agent,ta_to,0,0,0,a,a,0,reema_el_tamer,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
7,317,94,4,7,3,0,0,breakfast_lunch_and_dinner,prt,direct,ta_to,1,0,1,f,f,0,not_applicable,not_applicable,0,transient,1,1,2016-07-02,2016.5,0,0,104.981119112664
8,159,10,0,1,2,0,0,bed_and_breakfast,esp,online_travel_agent,ta_to,0,0,0,e,f,1,devin_rivera_borrego,not_applicable,0,transient,0,1,2016-07-02,2016.5,0,0,104.981119112664
9,184,156,0,1,2,0,0,bed_and_breakfast,hun,online_travel_agent,ta_to,0,0,0,h,h,0,devin_rivera_borrego,not_applicable,0,transient,1,0,2016-07-02,2016.5,0,0,104.981119112664
10,107.1,170,0,1,2,0,0,bed_and_breakfast,bra,online_travel_agent,ta_to,0,0,0,a,e,0,jawaad_el_shahid,not_applicable,0,transient,0,2,2016-07-02,2016.5,0,0,104.981119112664
11,119.1,170,0,1,2,0,0,bed_and_breakfast,bra,online_travel_agent,ta_to,0,0,0,a,e,0,jawaad_el_shahid,not_applicable,0,transient,1,2,2016-07-02,2016.5,0,0,104.981119112664
12,201,4,0,1,2,2,0,bed_and_breakfast,prt,online_travel_agent,ta_to,0,0,0,g,g,0,devin_rivera_borrego,not_applicable,0,transient,1,0,2016-07-02,2016.5,0,0,104.981119112664
13,107.1,170,0,1,2,0,0,bed_and_breakfast,usa,online_travel_agent,ta_to,0,0,0,a,e,0,jawaad_el_shahid,not_applicable,0,transient,0,2,2016-07-02,2016.5,0,0,104.981119112664
14,119.1,170,0,1,2,0,0,bed_and_breakfast,usa,online_travel_agent,ta_to,0,0,0,a,f,0,jawaad_el_shahid,not_applicable,0,transient,1,2,2016-07-02,2016.5,0,0,104.981119112664
15,252.17,3,2,1,2,1,0,breakfast_and_one_other_meal,esp,direct,direct,0,0,0,f,f,3,alexander_drake,not_applicable,0,transient,1,0,2016-07-02,2016.5,0,0,104.981119112664
16,104.8,73,2,1,2,0,0,breakfast_and_one_other_meal,prt,online_travel_agent,ta_to,0,0,0,a,e,2,lia_nauth,not_applicable,0,transient_party,1,0,2016-07-02,2016.5,0,0,104.981119112664
17,204.33,8,2,1,2,2,0,bed_and_breakfast,prt,online_travel_agent,ta_to,0,0,0,g,g,0,devin_rivera_borrego,not_applicable,0,transient,1,0,2016-07-02,2016.5,0,0,104.981119112664
18,145.5,17,2,2,2,0,0,bed_and_breakfast,esp,online_travel_agent,ta_to,0,0,0,a,e,0,devin_rivera_borrego,not_applicable,0,transient,1,1,2016-07-02,2016.5,0,0,104.981119112664
19,94.94,171,2,5,2,0,0,breakfast_and_one_other_meal,gbr,online_travel_agent,ta_to,0,0,0,d,d,0,charles_najera,not_applicable,0,transient,0,3,2016-07-02,2016.5,0,0,104.981119112664
20,96.94,171,2,5,1,0,0,breakfast_and_one_other_meal,gbr,online_travel_agent,ta_to,0,0,0,d,d,1,charles_najera,not_applicable,0,transient,0,3,2016-07-02,2016.5,0,0,104.981119112664
21,103.77,226,2,5,3,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,d,d,1,lia_nauth,not_applicable,0,transient,0,1,2016-07-02,2016.5,0,0,104.981119112664
22,75.6,143,2,5,2,0,0,bed_and_breakfast,aut,offline_travel_agent,ta_to,0,0,0,d,d,0,orlando_abeyta,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
23,79.9,208,2,5,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,a,1,jawhara_al_azad,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
24,57.8,228,2,5,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,jawhara_al_azad,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
25,79.9,173,4,6,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,a,1,jawhara_al_azad,not_applicable,0,transient,0,2,2016-07-02,2016.5,0,0,104.981119112664
26,81.9,166,4,6,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,c,2,jawhara_al_azad,not_applicable,0,contract,0,0,2016-07-02,2016.5,0,0,104.981119112664
27,59.8,165,4,6,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,jawhara_al_azad,not_applicable,0,contract,0,0,2016-07-02,2016.5,0,0,104.981119112664
28,87.8,173,4,6,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,a,1,cynthia_worsley,not_applicable,0,contract,0,1,2016-07-02,2016.5,0,0,104.981119112664
29,66.7,173,4,6,1,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,a,1,cynthia_worsley,not_applicable,0,contract,0,0,2016-07-02,2016.5,0,0,104.981119112664
30,120.1,169,4,10,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,cynthia_worsley,not_applicable,0,contract,0,0,2016-07-02,2016.5,0,0,104.981119112664
31,119.7,171,4,10,2,0,0,bed_and_breakfast,nor,offline_travel_agent,ta_to,0,0,0,e,e,0,daniel_molina,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
32,104.55,169,4,10,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,d,d,0,cynthia_worsley,not_applicable,0,contract,0,0,2016-07-02,2016.5,0,0,104.981119112664
33,90.1,171,4,10,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,cynthia_worsley,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
34,73.86,285,4,10,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,lia_nauth,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
35,111.3,349,4,7,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,e,e,0,cynthia_worsley,not_applicable,0,contract,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
36,95.64,0,1,0,2,0,0,bed_and_breakfast,usa,online_travel_agent,ta_to,0,0,0,a,a,0,faalih_al_taheri,not_applicable,0,transient,1,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
37,98.1,2,1,0,2,0,0,bed_and_breakfast,prt,direct,direct,0,0,0,a,a,0,alexander_drake,not_applicable,0,transient,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
38,131,131,1,0,2,0,0,bed_and_breakfast,bra,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,0,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
39,131,25,1,0,2,0,0,bed_and_breakfast,usa,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,1,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
40,100,0,1,0,1,0,0,bed_and_breakfast,prt,direct,direct,0,0,0,a,a,0,alexander_drake,not_applicable,0,transient_party,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
41,109,0,1,0,2,0,0,bed_and_breakfast,fra,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,0,2,2016-07-03,2016.5027322404371,0,0,106.64675852210551
42,150.5,85,2,2,2,1,0,breakfast_lunch_and_dinner,prt,offline_travel_agent,ta_to,0,0,0,a,a,2,tulaiha_al_ghattas,not_applicable,0,transient_party,1,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
43,188.75,17,2,2,2,1,0,breakfast_and_one_other_meal,fra,direct,direct,0,0,0,a,a,0,not_applicable,not_applicable,0,transient,0,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
44,168.48,85,2,3,3,0,0,breakfast_lunch_and_dinner,prt,offline_travel_agent,ta_to,0,0,0,a,c,1,tulaiha_al_ghattas,not_applicable,0,transient_party,1,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
45,74.8,89,2,4,2,0,0,bed_and_breakfast,prt,offline_travel_agent,ta_to,0,0,0,a,a,0,casady_sober,not_applicable,0,transient_party,1,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
46,64.8,89,2,4,2,0,0,bed_and_breakfast,prt,offline_travel_agent,ta_to,0,0,0,a,a,0,casady_sober,not_applicable,0,transient_party,0,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
47,196.33,10,2,4,2,0,0,breakfast_and_one_other_meal,esp,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,1,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
48,186,13,2,4,2,0,1,breakfast_and_one_other_meal,prt,online_travel_agent,ta_to,0,0,0,a,a,1,devin_rivera_borrego,not_applicable,0,transient,0,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
49,168,9,2,4,2,2,0,bed_and_breakfast,prt,direct,direct,0,0,0,c,c,0,not_applicable,not_applicable,0,transient,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
50,92.1,114,2,5,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,d,e,0,lance_hitchcock,not_applicable,0,contract,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
51,97,180,3,5,2,0,0,bed_and_breakfast,prt,direct,direct,0,0,0,d,d,1,alexander_drake,not_applicable,0,transient,1,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
52,85,180,3,5,2,0,0,bed_and_breakfast,prt,direct,direct,0,0,0,d,d,1,alexander_drake,not_applicable,0,transient,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
53,181.3,165,4,6,2,2,0,breakfast_and_one_other_meal,prt,online_travel_agent,ta_to,0,0,0,c,c,2,jawaad_el_shahid,not_applicable,0,transient,0,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
54,59.8,167,4,7,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,cynthia_worsley,not_applicable,0,contract,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
55,104.55,165,4,10,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,d,d,0,jawhara_al_azad,not_applicable,0,transient,0,2,2016-07-03,2016.5027322404371,0,0,106.64675852210551
56,104.55,165,4,10,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,d,d,0,jawhara_al_azad,not_applicable,0,transient,0,2,2016-07-03,2016.5027322404371,0,0,106.64675852210551
57,93,256,1,4,2,0,0,bed_and_breakfast,prt,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,1,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
58,163.2,317,1,3,2,2,0,breakfast_and_one_other_meal,prt,online_travel_agent,ta_to,0,0,0,c,c,1,jawaad_el_shahid,not_applicable,0,transient,1,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
59,72.9,317,1,5,2,0,0,bed_and_breakfast,esp,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,0,2,2016-07-04,2016.5054644808743,0,0,108.48103443245755
