rownames,year,count,hours,count_per_hour,count_per_week
1,1981,0,167,0,0
2,1982,0,164,0,0
3,1983,0,168,0,0
4,1984,1,178,0.0056179775280898875,0.9438202247191011
5,1985,2,143,0.013986013986013986,2.3496503496503496
6,1986,1,182,0.005494505494505495,0.9230769230769231
7,1987,1,166.5,0.006006006006006006,1.009009009009009
8,1988,1,167,0.005988023952095809,1.005988023952096
9,1989,1,157,0.006369426751592357,1.0700636942675161
10,1990,1,164,0.006097560975609756,1.024390243902439
11,1991,1,175.5,0.005698005698005698,0.9572649572649572
12,1992,2,167,0.011976047904191617,2.011976047904192
13,1993,1,134,0.007462686567164179,1.2537313432835822
14,1994,0,157.5,0,0
15,1995,3,186,0.016129032258064516,2.7096774193548385
16,1996,0,149.5,0,0
17,1997,0,160.5,0,0
18,1998,0,176.5,0,0
19,1999,0,139,0,0
20,2000,3,143.5,0.020905923344947737,3.51219512195122
21,2001,1,153.5,0.006514657980456026,1.0944625407166124
22,2002,3,228.3,0.013140604467805518,2.2076215505913273
23,2003,2,248.75,0.008040201005025126,1.3507537688442213
24,2004,5,203.75,0.024539877300613498,4.122699386503068
25,2005,5,245.75,0.02034587995930824,3.418107833163784
26,2006,3,223,0.013452914798206279,2.260089686098655
27,2007,4,214,0.018691588785046728,3.14018691588785
28,2008,9,227,0.039647577092511016,6.660792951541851
29,2009,5,194,0.02577319587628866,4.329896907216495
30,2010,3,226.25,0.013259668508287293,2.227624309392265
31,2011,4,227.95,0.01754770783066462,2.9480149155516564
32,2012,3,194.55,0.015420200462606013,2.59059367771781
33,2013,11,182.2,0.06037321624588365,10.142700329308452
34,2014,6,179.25,0.03347280334728033,5.623430962343096
35,2015,7,221,0.03167420814479638,5.321266968325792
36,2016,3,216.65,0.01384721901684745,2.3263327948303716
37,2017,12,198.75,0.06037735849056604,10.143396226415096
