rownames,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,average_daily_rate,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
1,City Hotel,1,1,2015,September,40,30,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,Non Refund,50,NULL,0,Transient,98.1,0,0,Canceled,2015-09-29
2,Resort Hotel,1,19,2016,March,12,19,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,70.17,0,1,Canceled,2016-03-02
3,Resort Hotel,0,9,2017,August,31,1,0,4,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,NULL,0,Transient,193.4,0,1,Check-Out,2017-08-05
4,Resort Hotel,0,110,2016,November,46,11,0,1,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,314,NULL,0,Transient,36.24,1,0,Check-Out,2016-11-12
5,City Hotel,0,329,2017,July,30,27,0,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,89.1,0,1,Check-Out,2017-07-29
6,Resort Hotel,0,212,2017,August,35,31,2,8,2,1,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,143,NULL,0,Transient,89.75,0,0,Check-Out,2017-09-10
7,Resort Hotel,0,14,2017,January,5,29,2,0,1,0,0,BB,PRT,Online TA,TA/TO,1,0,1,A,D,0,No Deposit,240,NULL,0,Transient,43,0,2,Check-Out,2017-01-31
8,Resort Hotel,0,58,2016,October,41,3,2,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,85,1,1,Check-Out,2016-10-10
9,City Hotel,1,88,2017,May,20,17,0,3,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,117,0,0,Canceled,2017-02-18
10,City Hotel,1,373,2017,April,14,5,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229,NULL,0,Transient,90,0,0,Canceled,2016-04-17
11,City Hotel,0,36,2016,December,52,22,0,1,1,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,77.99,0,1,Check-Out,2016-12-23
