"","L","u","v","col"
"1",9341.57022199546,-3.37064856264893e-12,0,"white"
"2",9100.96205296687,-474.917043556275,-635.350249130902,"aliceblue"
"3",8809.51819127627,1008.86477035532,1668.00421378859,"antiquewhite"
"4",8935.22548077347,1065.69835296267,1674.59478989636,"antiquewhite1"
"5",8452.49877134591,1014.9106295505,1609.59231109556,"antiquewhite2"
"6",7498.3782004994,902.98919685708,1401.70259375764,"antiquewhite3"
"7",5512.04474494135,605.441299482188,1027.34610133223,"antiquewhite4"
"8",8669.67440403148,-5536.85835049416,2237.02240600043,"aquamarine"
"9",8669.67440403148,-5536.85835049416,2237.02240600043,"aquamarine1"
"10",8202.14019538996,-5253.70616657385,2104.29499883996,"aquamarine2"
"11",7277.33895343413,-4653.23707183047,1911.17164760999,"aquamarine3"
"12",5330.48846446956,-3408.62671799155,1336.87823068905,"aquamarine4"
"13",9249.91752218291,-811.879945732472,-175.002151326323,"azure"
"14",9249.91752218291,-811.879945732472,-175.002151326323,"azure1"
"15",8752.45882372204,-768.205569890833,-165.588062740566,"azure2"
"16",7766.12382954449,-678.339738511618,-146.217324610188,"azure3"
"17",5688.54635048216,-488.604881945445,-105.319642317127,"azure4"
"18",8997.16897825937,137.635802198569,1854.87675487266,"beige"
"19",8664.91909294123,1864.5552801807,2650.69311017709,"bisque"
"20",8664.91909294123,1864.5552801807,2650.69311017709,"bisque1"
"21",8203.20766712621,1751.69521540687,2514.8762180608,"bisque2"
"22",7268.86912265924,1579.93939430125,2177.12620687226,"bisque3"
"23",5344.52315782513,1096.82388157779,1662.53995874465,"bisque4"
"24",0,0,0,"black"
"25",8826.37337352615,1389.26920098532,2429.12639114475,"blanchedalmond"
"26",3875.51895244341,-1161.2577384644,-15649.9250273997,"blue"
"27",3875.51895244341,-1161.2577384644,-15649.9250273997,"blue1"
"28",3666.59469027529,-1098.65582136044,-14806.2576168006,"blue2"
"29",3252.1980557954,-974.486308970367,-13132.8620429953,"blue3"
"30",2379.30799494719,-712.93415287794,-9608.00145604759,"blue4"
"31",4508.91904870321,1889.4254796302,-12828.7889036631,"blueviolet"
"32",4114.51639034587,11216.9280109423,2417.82857614042,"brown"
"33",5826.68289756515,15979.782729226,3444.47029396528,"brown1"
"34",5506.72646891112,15177.116541755,3271.45418444974,"brown2"
"35",4886.90482491677,13449.2212374889,2899.00331027475,"brown3"
"36",3581.56880719163,9807.31882253841,2113.98483446817,"brown4"
"37",7389.75444002345,2909.60771476388,3920.28817022242,"burlywood"
"38",8250.50018877712,3275.72582730459,4367.51039060619,"burlywood1"
"39",7808.55798295791,3092.03730604142,4116.00638205267,"burlywood2"
"40",6935.02852779343,2720.23241519228,3661.63666948237,"burlywood3"
"41",5072.72652708368,2009.68037323691,2649.88650520833,"burlywood4"
"42",6030.3908082311,-3095.80718051337,-847.238915704821,"cadetblue"
"43",8604.83348915518,-4224.28739948223,-1736.4335317009,"cadetblue1"
"44",8150.38280711923,-4005.20203978166,-1616.51594954392,"cadetblue2"
"45",7224.24339183805,-3554.65482283436,-1456.21832191369,"cadetblue3"
"46",5302.82545718063,-2610.40815757839,-1027.8550351966,"cadetblue4"
"47",8499.16918003874,-6054.45644491533,10132.4288316883,"chartreuse"
"48",8499.16918003874,-6054.45644491533,10132.4288316883,"chartreuse1"
"49",8040.47171922438,-5747.45846217575,9587.98800109155,"chartreuse2"
"50",7134.98115279339,-5086.22002455204,8506.52124094552,"chartreuse3"
"51",5224.56217782518,-3730.65582136578,6229.63219123634,"chartreuse4"
"52",5634.36573590671,9596.80506326177,4871.05410610704,"chocolate"
"53",6575.41492109697,11263.1803213744,5682.46127699991,"chocolate1"
"54",6212.821872194,10710.5026212002,5368.58413019328,"chocolate2"
"55",5518.12179237949,9463.39803806229,4766.21176794423,"chocolate3"
"56",4037.11134653288,6948.2553359188,3494.04295880427,"chocolate4"
"57",6599.21907422665,10832.0258611365,4553.47303897637,"coral"
"58",6408.27626319904,11851.6894059019,3869.25289469945,"coral1"
"59",6057.31566817818,11252.7012776418,3659.39370296814,"coral2"
"60",5369.53081086255,10007.3057962243,3231.81892143276,"coral3"
"61",3936.35660080006,7292.69280750133,2366.31631546926,"coral4"
"62",6102.59085811927,-2406.183604998,-8549.69156006606,"cornflowerblue"
