"","valueadded","capital","labor","firms"
"Alabama",126.148,3.804,31.551,68
"California",3201.486,185.446,452.844,1372
"Connecticut",690.67,39.712,124.074,154
"Florida",56.296,6.547,19.181,292
"Georgia",304.531,11.53,45.534,71
"Illinois",723.028,58.987,88.391,275
"Indiana",992.169,112.884,148.53,260
"Iowa",35.796,2.698,8.017,75
"Kansas",494.515,10.36,86.189,76
"Kentucky",124.948,5.213,12,31
"Louisiana",73.328,3.763,15.9,115
"Maine",29.467,1.967,6.47,81
"Maryland",415.262,17.546,69.342,129
"Massachusetts",241.53,15.347,39.416,172
"Michigan",4079.554,435.105,490.384,568
"Missouri",652.085,32.84,84.831,125
"NewJersey",667.113,33.292,83.033,247
"NewYork",940.43,72.974,190.094,461
"Ohio",1611.899,157.978,259.916,363
"Pennsylvania",617.579,34.324,98.152,233
"Texas",527.413,22.736,109.728,308
"Virginia",174.394,7.173,31.301,85
"Washington",636.948,30.807,87.963,179
"WestVirginia",22.7,1.543,4.063,15
"Wisconsin",349.711,22.001,52.818,142
