"","card","reports","age","income","share","expenditure","owner","selfemp","dependents","months","majorcards","active"
"1","yes",0,37.66667,4.52,0.03326991,124.9833,"yes","no",3,54,1,12
"2","yes",0,33.25,2.42,0.005216942,9.854167,"no","no",3,34,1,13
"3","yes",0,33.66667,4.5,0.004155556,15,"yes","no",4,58,1,5
"4","yes",0,30.5,2.54,0.06521378,137.8692,"no","no",0,25,1,7
"5","yes",0,32.16667,9.7867,0.06705059,546.5033,"yes","no",2,64,1,5
"6","yes",0,23.25,2.5,0.0444384,91.99667,"no","no",0,54,1,1
"7","yes",0,27.91667,3.96,0.01257576,40.83333,"no","no",2,7,1,5
"8","yes",0,29.16667,2.37,0.07643376,150.79,"yes","no",0,77,1,3
"9","yes",0,37,3.8,0.2456279,777.8217,"yes","no",0,97,1,6
"10","yes",0,28.41667,3.2,0.01978,52.58,"no","no",0,65,1,18
"11","yes",0,30.5,3.95,0.07802456,256.6642,"yes","no",1,24,1,20
"12","no",0,42,1.98,0.0006060606,0,"yes","no",2,36,1,0
"13","no",0,30,1.73,0.0006936416,0,"yes","no",1,42,0,12
"14","yes",0,28.83333,2.45,0.03879551,78.87417,"yes","no",0,26,1,3
"15","yes",0,35.33333,1.908,0.02690671,42.615,"yes","no",2,120,0,5
"16","yes",0,41.16667,3.2,0.1258194,335.435,"yes","no",1,168,1,22
"17","yes",0,40.08333,4,0.07481575,248.7192,"yes","no",2,96,1,0
"18","no",7,29.5,3,4e-04,0,"yes","no",2,60,1,8
"19","yes",0,39.5,9.9999,0.06579486,548.035,"yes","yes",0,28,1,0
"20","no",3,45.75,3.4,0.0003529412,0,"no","no",0,28,1,10
"21","yes",0,35.25,2.35,0.02238596,43.33917,"yes","no",2,115,1,1
"22","no",1,25.16667,1.875,0.00064,0,"no","no",2,7,0,2
"23","yes",0,34.25,2,0.131112,218.52,"yes","no",0,12,1,0
"24","yes",1,35.75,4,0.05119225,170.6408,"no","no",2,18,1,22
"25","yes",0,42.66667,5.14,0.008949417,37.58333,"yes","no",2,13,1,17
"26","yes",0,30.25,4.506,0.1337421,502.2017,"no","no",2,38,1,7
"27","no",0,21.66667,3.84,0.0003125,0,"no","yes",1,12,0,1
"28","yes",0,22.25,1.5,0.058608,73.17667,"no","no",0,64,1,6
"29","no",0,34.25,2.5,0.00048,0,"yes","no",1,12,1,0
"30","yes",0,40,5.5,0.3344596,1532.773,"yes","no",4,74,1,19
"31","yes",0,21.83333,2.0272,0.02532014,42.69083,"no","no",0,9,0,5
"32","yes",1,29.41667,3.2,0.1567194,417.835,"no","no",0,14,1,6
"33","no",1,24.91667,3.15,0.0003809524,0,"yes","no",1,40,1,5
"34","yes",0,21,2.4663,0.2689328,552.7242,"yes","no",1,12,1,10
"35","yes",0,23.83333,3,0.08901566,222.5392,"no","no",0,12,1,5
"36","yes",0,42.83333,3.5412,0.1834562,541.2958,"yes","no",6,108,1,15
"37","no",0,42.58333,2.2845,0.000525279,0,"no","no",2,46,1,0
"38","yes",0,36.58333,5.7,0.1197419,568.7742,"yes","no",1,36,1,16
"39","yes",0,26.75,3.5,0.1181043,344.4708,"no","no",0,2,1,14
"40","yes",0,27.75,4.6,0.1057439,405.3517,"yes","no",4,28,1,13
"41","yes",0,26.25,3,0.124375,310.9375,"yes","no",0,7,1,10
"42","yes",0,23.33333,2.585,0.02505764,53.645,"no","no",0,8,1,1
"43","yes",0,29.91667,1.51,0.05125828,63.91667,"no","no",1,7,0,1
"44","yes",0,30,1.85,0.1075816,165.855,"no","no",0,60,1,12
"45","yes",0,38.33333,2.6,0.004807692,9.583333,"no","no",0,12,1,1
"46","no",0,28.16667,1.8,0.0006666667,0,"no","yes",2,26,1,2
"47","yes",0,35.58333,2,0.192044,319.49,"no","no",0,156,1,4
"48","no",0,37.75,3.2628,0.0003677823,0,"no","no",1,98,0,1
"49","yes",0,26.08333,2.35,0.04285106,83.08334,"no","no",1,30,0,2
"50","yes",0,27.75,7,0.1105849,644.8283,"yes","no",0,0,1,13
"51","no",0,49.75,3.6,0.0003333333,0,"no","no",2,12,0,0
"52","yes",0,24.25,2,0.0559685,93.1975,"no","no",0,18,1,12
"53","yes",0,20.66667,1.7,0.07420824,105.045,"no","no",0,6,1,4
"54","yes",0,23.75,2.8,0.014875,34.125,"no","no",2,48,1,8
"55","yes",0,25.75,2.4,0.02071958,41.18917,"no","no",0,34,1,2
"56","yes",1,32.91667,3,0.068022,169.8883,"no","no",0,216,0,5
"57","yes",0,34.33333,4.8,0.4745083,1898.033,"no","no",3,12,1,1
"58","yes",0,33.25,3.18,0.3058082,810.3917,"no","no",4,18,0,3
"59","no",0,44.66667,1.8,0.0006666667,0,"no","no",2,33,0,0
"60","yes",0,21.16667,1.5,0.02655333,32.775,"no","no",0,20,1,4
"61","yes",2,25.08333,3,0.038453,95.79916,"no","no",0,8,0,4
"62","yes",0,27.16667,2.28,0.01492807,27.78,"no","no",3,36,1,5
"63","yes",0,26.41667,2.8,0.0921725,215.0692,"no","no",1,12,1,16
"64","yes",0,22,2.7,0.03544926,79.51083,"no","no",0,3,1,0
"65","no",3,27.33333,4.9,0.000244898,0,"yes","no",2,16,1,15
"66","no",0,26.16667,2.5,0.00048,0,"no","yes",0,18,0,0
"67","yes",0,40.75,6,0.06123966,306.0317,"no","yes",2,182,1,16
"68","yes",0,42.08333,3.9,0.03221615,104.5358,"no","no",0,78,1,2
"69","no",0,21.66667,5.1,0.0002352941,0,"no","no",0,25,1,0
"70","yes",0,24.66667,3.074,0.2508032,642.4742,"no","no",0,4,1,0
"71","yes",0,30.75,2.4585,0.1503596,308.0492,"yes","no",2,53,1,16
"72","yes",0,27.41667,2,0.111812,186.3533,"no","no",0,9,1,5
"73","yes",0,33,3.248,0.02089871,56.14917,"no","no",2,144,0,2
"74","yes",0,37.33333,2.725,0.05719193,129.3733,"no","no",2,13,1,14
"75","yes",0,26.58333,2.2,0.05078546,93.10667,"no","no",0,144,1,10
"76","no",1,24.33333,4.1,0.0002926829,0,"no","no",1,5,0,4
"77","yes",0,24.25,3.75,0.09367893,292.6633,"no","no",0,18,1,11
"78","yes",0,25.25,2.88,0.04106146,98.46416,"no","no",0,7,1,0
"79","yes",0,0.5,3.05,0.1017243,258.5492,"no","no",1,94,1,5
"80","yes",0,32.83333,2.55,0.04792941,101.6833,"no","no",2,6,1,18
"81","no",0,32.75,4,3e-04,0,"no","no",2,25,1,0
"82","yes",1,54.58333,2.64,0.02984697,65.24667,"yes","no",1,78,1,19
"83","yes",0,19.58333,1.65,0.07904787,108.6075,"no","no",0,37,1,8
"84","yes",0,29.33333,2.4,0.02494458,49.55583,"no","no",0,30,1,4
"85","no",3,40.16667,3.7099,0.0003234589,0,"no","no",2,15,1,11
"86","yes",0,40.75,7.24,0.03904502,235.5717,"yes","no",2,177,1,13
"87","no",0,41.25,4.386,0.0002735978,0,"yes","no",3,172,1,9
