"","Plot","Variety","Year","Time","weight"
"1","1988F1","F","1988",14,0.106
"2","1988F1","F","1988",21,0.261
"3","1988F1","F","1988",28,0.666
"4","1988F1","F","1988",35,2.11
"5","1988F1","F","1988",42,3.56
"6","1988F1","F","1988",49,6.23
"7","1988F1","F","1988",56,8.71
"8","1988F1","F","1988",63,13.35
"9","1988F1","F","1988",70,16.3417
"10","1988F1","F","1988",77,17.75083
"11","1988F2","F","1988",14,0.104
"12","1988F2","F","1988",21,0.269
"13","1988F2","F","1988",28,0.778
"14","1988F2","F","1988",35,2.12
"15","1988F2","F","1988",42,2.93
"16","1988F2","F","1988",49,5.29
"17","1988F2","F","1988",56,9.5
"18","1988F2","F","1988",70,16.9667
"19","1988F2","F","1988",77,17.7467
"20","1988F3","F","1988",14,0.108
"21","1988F3","F","1988",21,0.291
"22","1988F3","F","1988",28,0.667
"23","1988F3","F","1988",35,2.05
"24","1988F3","F","1988",42,3.81
"25","1988F3","F","1988",49,6.13
"26","1988F3","F","1988",56,10.28
"27","1988F3","F","1988",63,18.08
"28","1988F3","F","1988",70,20.1825
"29","1988F3","F","1988",77,21.8108
"30","1988F4","F","1988",14,0.105
"31","1988F4","F","1988",21,0.299
"32","1988F4","F","1988",28,0.844
"33","1988F4","F","1988",35,1.32
"34","1988F4","F","1988",42,2.24
"35","1988F4","F","1988",49,4.68
"36","1988F4","F","1988",56,8.82
"37","1988F4","F","1988",63,15.09
"38","1988F4","F","1988",70,14.66
"39","1988F4","F","1988",77,14.0046
"40","1988F5","F","1988",14,0.101
"41","1988F5","F","1988",21,0.273
"42","1988F5","F","1988",28,0.848
"43","1988F5","F","1988",35,1.95
"44","1988F5","F","1988",42,4.77
"45","1988F5","F","1988",49,6.01
"46","1988F5","F","1988",56,9.91
"47","1988F5","F","1988",70,19.2623
"48","1988F6","F","1988",14,0.106
"49","1988F6","F","1988",21,0.337
"50","1988F6","F","1988",28,0.699
"51","1988F6","F","1988",35,1.53
"52","1988F6","F","1988",42,3.87
"53","1988F6","F","1988",49,5.6
"54","1988F6","F","1988",56,9.43
"55","1988F6","F","1988",63,13.73
