"","countries_and_areas","total_pop_2018","under18_pop_2018","under5_pop_2018","pop_growth_rate_2018","pop_growth_rate_2030","births_2018","fertility_2018","life_expectancy_1970","life_expectancy_2000","life_expectancy_2018","dependency_ratio_total","dependency_ratio_child","dependency_ratio_oldage","percent_urban_2018","pop_urban_growth_rate_2018","pop_urban_growth_rate_2030","migration_rate"
"1","Afghanistan",37172,18745,5601,3.2,2.1,1207,4.5,37,56,64,84,79,5,25,4,3.4,-1.7
"2","Albania",2883,635,173,-0.5,-0.3,34,1.6,67,74,78,46,26,20,60,1.6,0.9,-4.9
"3","Algeria",42228,14416,4951,1.7,1.5,1023,3,50,71,77,58,47,10,73,2.8,2.1,-0.2
"4","Andorra",77,NA,NA,0.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,88,0.6,0.1,NA
"5","Angola",30810,16457,5553,3.5,3.1,1257,5.5,41,47,61,96,92,4,66,5,4,0.2
"6","Anguilla",15,NA,NA,1.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,100,1.5,0.6,NA
"7","Antigua and Barbuda",96,26,7,1.3,0.7,1,2,66,74,77,45,32,13,25,-0.2,0.8,0
"8","Argentina",44361,13103,3748,1,0.8,755,2.3,66,74,77,56,39,17,92,1.2,1,0.1
"9","Armenia",2952,710,211,-0.2,0,41,1.8,70,71,75,47,30,17,63,-0.3,0.4,-1.7
"10","Australia",24898,5664,1627,1.5,1,318,1.8,71,80,83,53,29,24,86,1.6,1.2,6.4
"11","Austria",8891,1539,434,0.5,0.3,88,1.5,70,78,81,50,21,28,58,0.4,0.8,7.4
"12","Azerbaijan",9950,2708,872,1.1,0.6,167,2.1,63,67,73,42,33,9,56,1.6,1.4,0.1
"13","Bahamas",386,106,26,1.4,0.8,5,1.8,66,72,74,42,32,10,83,1.5,1,2.6
"14","Bahrain",1569,353,108,4.8,2.1,22,2,63,74,77,28,25,3,89,4.8,2.2,31.1
"15","Bangladesh",161377,54163,14517,1.3,0.9,2935,2,47,65,72,49,41,8,37,3.7,2.7,-2.3
"16","Barbados",287,61,15,0.3,0.1,3,1.6,69,77,79,50,26,24,31,-0.2,0.5,-0.3
"17","Belarus",9453,1855,566,-0.2,-0.2,111,1.7,71,67,75,46,25,22,79,0.4,0.3,0.9
"18","Belgium",11482,2336,637,0.6,0.3,125,1.7,71,78,81,56,27,29,98,0.7,0.3,4.2
"19","Belize",383,140,39,2.4,1.7,8,2.3,66,69,74,54,47,7,46,2.5,2.2,3.2
"20","Benin",11485,5631,1842,2.9,2.6,417,4.8,42,55,61,84,78,6,47,4,3.7,-0.2
"21","Bhutan",754,237,63,1.4,0.9,13,2,40,61,71,47,38,9,41,4,2.4,0.4
"22","Bolivia (Plurinational State of)",11353,4209,1192,1.7,1.3,247,2.7,46,62,71,62,50,12,69,2.3,1.8,-0.8
"23","Bosnia and Herzegovina",3324,593,142,-0.7,-0.5,27,1.3,66,74,77,45,21,24,48,0,0.4,-6.4
"24","Botswana",2254,901,272,1.8,1.7,56,2.9,54,51,69,62,55,7,69,3.2,2.6,1.3
"25","Brazil",209469,54592,14654,1,0.6,2915,1.7,59,70,76,43,31,13,87,1.4,0.8,0.1
"26","British Virgin Islands",30,NA,NA,2.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,48,2.9,1.4,NA
"27","Brunei Darussalam",429,119,34,1.4,0.8,6,1.8,63,73,76,39,32,7,78,1.9,1.1,0
"28","Bulgaria",7052,1212,313,-0.7,-0.8,63,1.6,71,72,75,55,23,33,75,-0.2,-0.4,-0.7
"29","Burkina Faso",19751,10220,3345,3,2.7,751,5.2,39,50,61,90,85,5,29,5.7,4.7,-1.3
"30","Burundi",11175,5789,1984,3.1,2.9,437,5.4,44,49,61,91,87,4,13,5.7,5.4,0.2
"31","Cabo Verde",544,186,53,1.3,1,11,2.3,53,69,73,50,43,7,66,2.5,1.6,-2.5
"32","Cambodia",16250,5944,1774,1.6,1.2,365,2.5,42,58,70,56,49,7,23,2.9,3,-1.9
"33","Cameroon",25216,12415,4003,2.7,2.4,893,4.6,47,51,59,83,78,5,56,3.9,3.4,-0.2
"34","Canada",37075,7060,1954,1.1,0.8,386,1.5,73,79,82,49,24,26,81,1.2,1,6.6
"35","Central African Republic",4666,2418,727,1.4,2,166,4.7,42,44,53,89,84,5,41,1.9,3.2,-8.6
"36","Chad",15478,8375,2815,3.4,2.8,654,5.7,41,48,54,98,94,5,23,3.8,4.2,0.1
"37","Chile",18729,4450,1203,1.1,0.3,231,1.6,62,76,80,46,29,17,88,1.2,0.4,6
"38","China",1427648,304793,85912,0.6,0.2,16824,1.7,59,71,77,40,25,15,59,3.3,1.7,-0.2
"39","Colombia",49661,14032,3730,1.3,0.6,736,1.8,62,73,77,46,34,12,81,1.7,1,4.2
"40","Comoros",832,382,122,2.4,2,27,4.2,46,59,64,74,69,5,29,2.6,3,-2.4
"41","Congo",5244,2522,805,2.9,2.4,173,4.4,51,52,64,80,75,5,67,3.6,3.1,-0.8
"42","Cook Islands",18,NA,NA,-0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,75,0.7,0.3,NA
