"","site","date","flow"
"1","Wildwood Creek Spring",2017-12-09,2.49
"2","Wildwood Creek Spring",2018-02-09,1.24
"3","Wildwood Creek Spring",2018-03-09,1.09
"4","Wildwood Creek Spring",2018-04-05,0.95
"5","Wildwood Creek Spring",2018-05-11,0.49
"6","Wildwood Creek Spring",2018-07-10,0.06
"7","Wildwood Creek Spring",2018-08-09,0.09
"8","Wildwood Creek Spring",2018-09-12,0.1
"9","Wildwood Creek Spring",2018-10-10,0.11
"10","Wildwood Creek Spring",2018-11-13,0.15
"11","Wildwood Creek Spring",2018-12-07,1.25
"12","Wildwood Creek Spring",2019-01-10,1.83
"13","Wildwood Creek Spring",2019-02-17,0.26
"14","Silver Creek",2017-09-30,0.43
"15","Silver Creek",2018-05-01,0.88
"16","Silver Creek",2018-07-12,0.41
"17","Silver Creek",2018-09-21,0.21
"18","Silver Creek",2019-05-21,0.34
"19","Clarks Creek",2017-08-27,11.4
"20","Clarks Creek",2017-09-04,21.77
"21","Clarks Creek",2017-09-30,20
"22","Clarks Creek",2018-06-26,31.57
"23","Clarks Creek",2018-09-06,23.91
"24","Leach Creek",2017-08-14,11.89
"25","Leach Creek",2017-09-09,11.55
"26","Leach Creek",2018-05-19,16.9
"27","Leach Creek",2018-07-26,4.86
"28","Leach Creek",2019-04-22,7.9
"29","Leach Creek",2019-04-23,10.12
"30","Leach Creek",2019-06-02,6.7
"31","Leach Creek",2019-06-10,7.73
