"","oscar_no","oscar_yr","award","name","movie","age","birth_pl","birth_date","birth_mo","birth_d","birth_y"
"1",1,1929,"Best actress","Janet Gaynor","7th Heaven",22,"Pennsylvania",1906-10-06,10,6,1906
"2",2,1930,"Best actress","Mary Pickford","Coquette",37,"Canada",1892-04-08,4,8,1892
"3",3,1931,"Best actress","Norma Shearer","The Divorcee",28,"Canada",1902-08-10,8,10,1902
"4",4,1932,"Best actress","Marie Dressler","Min and Bill",63,"Canada",1868-11-09,11,9,1868
"5",5,1933,"Best actress","Helen Hayes","The Sin of Madelon Claudet",32,"Washington DC",1900-10-10,10,10,1900
"6",6,1934,"Best actress","Katharine Hepburn","Morning Glory",26,"Connecticut",1907-05-12,5,12,1907
"7",7,1935,"Best actress","Claudette Colbert","It Happened One Night",31,"France",1903-09-13,9,13,1903
"8",8,1936,"Best actress","Bette Davis","Dangerous",27,"Massachusetts",1908-04-05,4,5,1908
"9",9,1937,"Best actress","Luise Rainer","The Great Zeigfeld",26,"Germany",1910-01-12,1,12,1910
"10",10,1938,"Best actress","Luise Rainer","The Good Earth",27,"Germany",1910-01-12,1,12,1910
"11",11,1939,"Best actress","Bette Davis","Jezebel",30,"Massachusetts",1908-04-05,4,5,1908
"12",12,1940,"Best actress","Vivien Leigh","Gone With the Wind",26,"India",1913-11-05,11,5,1913
"13",13,1941,"Best actress","Ginger Rogers","Kitty Foyle",29,"Missouri",1911-07-16,7,16,1911
"14",14,1942,"Best actress","Joan Fontaine","Suspicion",24,"Japan",1917-10-22,10,22,1917
"15",15,1943,"Best actress","Greer Garson","Mrs. Miniver",38,"England",1904-09-29,9,29,1904
"16",16,1944,"Best actress","Jennifer Jones","The Song of Bernadette",24,"Oklahoma",1919-03-02,3,2,1919
"17",17,1945,"Best actress","Ingrid Bergman","Gaslight",29,"Sweden",1915-08-29,8,29,1915
"18",18,1946,"Best actress","Joan Crawford","Mildred Pierce",33,"Texas",1912-03-23,3,23,1912
"19",19,1947,"Best actress","Olivia de Havilland","To Each His Own",30,"Japan",1916-07-01,7,1,1916
"20",20,1948,"Best actress","Loretta Young","The Farmer's Daughter",34,"Utah",1913-01-06,1,6,1913
"21",21,1949,"Best actress","Jane Wyman","Johnny Belinda",34,"Missouri",1914-01-04,1,4,1914
"22",22,1950,"Best actress","Olivia de Havilland","The Heiress",33,"Japan",1916-07-01,7,1,1916
"23",23,1951,"Best actress","Judy Holliday","Born Yesterday",29,"New York",1921-06-21,6,21,1921
"24",24,1952,"Best actress","Vivien Leigh","A Streetcar Named Desire",38,"India",1913-11-05,11,5,1913
"25",25,1953,"Best actress","Shirley Booth","Come Back, Little Sheba",54,"New York",1898-08-30,8,30,1898
"26",26,1954,"Best actress","Audrey Hepburn","Roman Holiday",24,"Belgium",1929-05-04,5,4,1929
"27",27,1955,"Best actress","Grace Kelly","The Country Girl",25,"Philly",1929-11-12,11,12,1929
"28",28,1956,"Best actress","Anna Magnani","The Rose Tattoo",47,"Italy",1908-03-07,3,7,1908
"29",29,1957,"Best actress","Ingrid Bergman","Anastasia",41,"Sweden",1915-08-29,8,29,1915
"30",30,1958,"Best actress","Joanne Woodward","The Three Faces of Eve",27,"Georgia",1930-02-27,2,27,1930
"31",31,1959,"Best actress","Susan Hayward","I Want to Live!",41,"New York",1917-06-30,6,30,1917
"32",32,1960,"Best actress","Simone Signoret","Room at the Top",38,"Germany",1921-03-25,3,25,1921
"33",33,1961,"Best actress","Elisabeth Taylor","Butterfield 8",28,"England",1932-02-27,2,27,1932
"34",34,1962,"Best actress","Sophia Loren","Two Women",27,"Italy",1934-09-20,9,20,1934
"35",35,1963,"Best actress","Anne Bancroft","The Miracle Worker",31,"New York",1931-09-17,9,17,1931
"36",36,1964,"Best actress","Patricia Neal","Hud",37,"Kentucky",1926-01-20,1,20,1926
"37",37,1965,"Best actress","Julie Andrews","Mary Poppins",29,"England",1935-10-01,10,1,1935
"38",38,1966,"Best actress","Julie Christie","Darling",25,"India",1940-04-14,4,14,1940
"39",39,1967,"Best actress","Elizabeth Taylor","Who's Afraid of Virginia Wolf",34,"England",1932-02-27,2,27,1932
"40",40,1968,"Best actress","Katharine Hepburn","Guess Who's Coming to Dinner",60,"Connecticut",1907-05-12,5,12,1907
"41",41,1969,"Best actress","Barbra Streisand","Funny Girl",26,"New York",1942-04-24,4,24,1942
"42",41,1969,"Best actress","Katharine Hepburn","The Lion in Winter",61,"Connecticut",1907-05-12,5,12,1907
"43",42,1970,"Best actress","Maggie Smith","The Prime of Miss Jean Brodie",35,"England",1934-12-28,12,28,1934
"44",43,1971,"Best actress","Glenda Jackson","Women In Love",34,"England",1936-05-09,5,9,1936
"45",44,1972,"Best actress","Jane Fonda","Klute",34,"New York",1937-12-21,12,21,1937
"46",45,1973,"Best actress","Liza Minnelli","Cabaret",26,"California",1946-03-12,3,12,1946
"47",46,1974,"Best actress","Glenda Jackson","A Touch of Class",37,"England",1936-05-09,5,9,1936
"48",47,1975,"Best actress","Ellen Burstyn","Alice Doesn't Live Here Anymore",42,"Michigan",1932-12-07,12,7,1932
"49",48,1976,"Best actress","Louise Fletcher","One Flew Over the Cockoo's Nest",41,"Alabama",1934-07-22,7,22,1934
"50",49,1977,"Best actress","Faye Dunaway","Network",35,"Florida",1941-01-14,1,14,1941
"51",50,1978,"Best actress","Diane Keaton","Annie Hall",31,"California",1946-01-05,1,5,1946
"52",51,1979,"Best actress","Jane Fonda","Coming Home",41,"New York",1937-12-21,12,21,1937
"53",52,1980,"Best actress","Sally Field","Norma Rae",33,"California",1946-11-06,11,6,1946
"54",53,1981,"Best actress","Sissy Spacek","Coal Miner's Daughter",31,"Texas",1949-12-25,12,25,1949
"55",54,1982,"Best actress","Katharine Hepburn","On Golden Pond",74,"Connecticut",1907-05-12,5,12,1907
"56",55,1983,"Best actress","Meryl Streep","Sophies Choice",33,"New Jersey",1949-06-22,6,22,1949
"57",56,1984,"Best actress","Shirley MacLaine","Terms of Endearment",49,"Virginia",1934-04-24,4,24,1934
"58",57,1985,"Best actress","Sally Field","Places in the Heart",38,"California",1946-11-06,11,6,1946
"59",58,1986,"Best actress","Geraldine Page","Trip to Bountiful",61,"Missouri",1924-11-22,11,22,1924
"60",59,1987,"Best actress","Marlee Matlin","Children of a Lesser God",21,"Illinois",1965-08-24,8,24,1965
"61",60,1988,"Best actress","Cher","Moonstruck",41,"California",1946-05-20,5,20,1946
"62",61,1989,"Best actress","Jodie Foster","The Accused",26,"California",1962-11-19,11,19,1962
"63",62,1990,"Best actress","Jessica Tandy","Driving Miss Daisy",80,"England",1909-06-07,6,7,1909
"64",63,1991,"Best actress","Kathy Bates","Misery",42,"Tennessee",1948-06-28,6,28,1948
"65",64,1992,"Best actress","Jodie Foster","The Silence of the Lambs",29,"California",1962-11-19,11,19,1962
"66",65,1993,"Best actress","Emma Thompson","Howards End",33,"England",1959-04-15,4,15,1959
"67",66,1994,"Best actress","Holly Hunter","The Piano",35,"Georgia",1958-03-20,3,20,1958
"68",67,1995,"Best actress","Jessica Lange","Blue Sky",45,"Minnesota",1949-04-20,4,20,1949
"69",68,1996,"Best actress","Susan Sarandon","Dead Man Walking",49,"New York",1946-10-04,10,4,1946
"70",69,1997,"Best actress","Frances McDormand","Fargo",39,"Illinois",1957-06-23,6,23,1957
"71",70,1998,"Best actress","Helen Hunt","As Good As It Gets",34,"California",1963-06-15,6,15,1963
"72",71,1999,"Best actress","Gwyneth Paltrow","Shakespeare in Love",26,"California",1972-09-28,9,28,1972
"73",72,2000,"Best actress","Hilary Swank","Boys Don't Cry",25,"Washington",1974-07-30,7,30,1974
"74",73,2001,"Best actress","Julia Roberts","Erin Brockovich",33,"Georgia",1967-10-28,10,28,1967
"75",74,2002,"Best actress","Halle Berry","Monster's Ball",35,"Ohio",1966-08-14,8,14,1966
"76",75,2003,"Best actress","Nicole Kidman","The Hours",35,"Australia",1967-06-20,6,20,1967
"77",76,2004,"Best actress","Charlize Theron","Monster",28,"South Africa",1975-08-07,8,7,1975
"78",77,2005,"Best actress","Hilary Swank","Million Dollar Baby",30,"Washington",1974-07-30,7,30,1974
"79",78,2006,"Best actress","Reese Witherspoon","Walk the Line",29,"Louisiana",1976-03-22,3,22,1976
"80",79,2007,"Best actress","Helen Mirren","The Queen",61,"England",1945-07-26,7,26,1945
"81",80,2008,"Best actress","Marion Cotillard","La Vie en Rose",32,"France",1975-09-30,9,30,1975
"82",81,2009,"Best actress","Kate Winslet","The Reader",33,"England",1975-10-05,10,5,1975
"83",82,2010,"Best actress","Sandra Bullock","The Blind Side",45,"Virginia",1964-07-26,7,26,1964
"84",83,2011,"Best actress","Natalie Portman","Black Swan",29,"Israel",1981-09-06,9,6,1981
"85",84,2012,"Best actress","Meryl Streep","The Iron Lady",62,"New Jersey",1949-06-22,6,22,1949
"86",1,1929,"Best actor","Emil Jannings","The Way of All Flesh & The Las",44,"Switzerland",1884-07-23,7,23,1884
"87",2,1930,"Best actor","Warner Baxter","In Old Arizona",40,"Ohio",1889-03-29,3,29,1889
"88",3,1931,"Best actor","George Arliss","Disraeli",62,"England",1868-04-10,4,10,1868
"89",4,1932,"Best actor","Lionel Barrymore","A Free Soul",53,"Pennsylvania",1878-04-28,4,28,1878
"90",5,1933,"Best actor","Fredric March","Dr. Jekyll and Mr. Hyde",35,"Wisconsin",1897-08-31,8,31,1897
"91",5,1933,"Best actor","Wallace Beery","The Champ",47,"Missouri",1885-04-01,4,1,1885
"92",6,1934,"Best actor","Charles Laughton","The Private Life of Henry VIII",34,"England",1899-07-01,7,1,1899
"93",7,1935,"Best actor","Clark Gable","It Happened One Night",33,"Ohio",1901-02-01,2,1,1901
"94",8,1936,"Best actor","Victor McLaglen","The Informer",52,"England",1883-12-11,12,11,1883
"95",9,1937,"Best actor","Paul Muni","The Story of Louis Pasteur",41,"Poland",1895-09-22,9,22,1895
"96",10,1938,"Best actor","Spencer Tracy","Captains Courageous",37,"Wisconsin",1900-04-05,4,5,1900
"97",11,1939,"Best actor","Spencer Tracy","Boys Town",38,"Wisconsin",1900-04-05,4,5,1900
"98",12,1940,"Best actor","Robert Donat","Goodbye, Mr. Chips",34,"England",1905-03-18,3,18,1905
"99",13,1941,"Best actor","James Stewart","The Philadelphia Story",32,"Pennsylvania",1908-05-20,5,20,1908
