"","census_year","state_fips_code","total_family_income","age","sex","race_general","marital_status","total_personal_income"
"1",2000,"Florida",14550,44,"Male","Two major races","Married/spouse present",0
"2",2000,"Florida",22800,20,"Female","White","Never married/single",13000
"3",2000,"Florida",0,20,"Male","Black","Never married/single",20000
"4",2000,"Florida",23000,6,"Female","White","Never married/single",NA
"5",2000,"Florida",48000,55,"Male","White","Married/spouse present",36000
"6",2000,"Florida",74000,43,"Female","White","Married/spouse present",27000
"7",2000,"Florida",23000,60,"Female","White","Married/spouse present",11800
"8",2000,"Florida",74000,47,"Female","White","Married/spouse present",48000
"9",2000,"Florida",60000,54,"Female","Black","Married/spouse present",40000
"10",2000,"Florida",14600,58,"Female","White","Widowed",14600
"11",2000,"Florida",0,33,"Female","White","Never married/single",23000
"12",2000,"Florida",37000,51,"Female","White","Divorced",37000
"13",2000,"Florida",32000,62,"Female","White","Divorced",32000
"14",2000,"Florida",113000,8,"Male","White","Never married/single",NA
"15",2000,"Florida",76900,25,"Male","White","Never married/single",6000
"16",2000,"Florida",100100,44,"Female","White","Married/spouse present",16100
"17",2000,"Florida",48000,28,"Female","White","Married/spouse present",12000
"18",2000,"Florida",48000,1,"Male","White","Never married/single",NA
"19",2000,"Florida",57200,31,"Male","White","Married/spouse present",20000
"20",2000,"Florida",43950,69,"Female","White","Married/spouse present",4800
"21",2000,"Florida",49000,31,"Male","White","Married/spouse present",28000
"22",2000,"Florida",31600,80,"Female","White","Widowed",31600
"23",2000,"Florida",50090,2,"Male","White","Never married/single",NA
"24",2000,"Florida",64800,47,"Male","White","Never married/single",49300
"25",2000,"Florida",90000,12,"Male","White","Never married/single",NA
"26",2000,"Florida",38320,47,"Male","White","Married/spouse present",34320
"27",2000,"Florida",103700,8,"Female","White","Never married/single",NA
"28",2000,"Florida",0,67,"Male","Black","Widowed",8400
"29",2000,"Florida",70700,17,"Female","White","Never married/single",3700
"30",2000,"Florida",64800,69,"Female","White","Divorced",4800
"31",2000,"Florida",60000,55,"Male","White","Married/spouse present",53000
"32",2000,"Florida",118100,18,"Female","White","Never married/single",7500
"33",2000,"Florida",21000,66,"Female","White","Married/spouse present",6000
