rownames,gender,age,marital_status,highest_qualification,nationality,ethnicity,gross_income,region,smoke,amt_weekends,amt_weekdays,type
1,Male,38,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
2,Female,42,Single,No Qualification,British,White,"Under 2,600",The North,Yes,12,12,Packets
3,Male,40,Married,Degree,English,White,"28,600 to 36,400",The North,No,,,
4,Female,40,Married,Degree,English,White,"10,400 to 15,600",The North,No,,,
5,Female,39,Married,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,,,
6,Female,37,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
7,Male,53,Married,Degree,British,White,"Above 36,400",The North,Yes,6,6,Packets
8,Male,44,Single,Degree,English,White,"10,400 to 15,600",The North,No,,,
9,Male,40,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,Yes,8,8,Hand-Rolled
10,Female,41,Married,No Qualification,English,White,"5,200 to 10,400",The North,Yes,15,12,Packets
11,Male,72,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
12,Male,49,Married,No Qualification,British,White,Refused,The North,No,,,
13,Male,29,Married,Degree,English,White,"Above 36,400",The North,No,,,
14,Female,79,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
15,Male,25,Single,Degree,English,White,"15,600 to 20,800",The North,No,,,
16,Female,27,Single,Degree,English,White,"15,600 to 20,800",The North,No,,,
17,Female,30,Single,Degree,English,White,"20,800 to 28,600",The North,No,,,
18,Male,47,Divorced,No Qualification,British,White,"10,400 to 15,600",The North,No,,,
19,Female,69,Single,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
20,Male,55,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,,,
21,Female,34,Married,GCSE/CSE,British,White,"2,600 to 5,200",The North,Yes,6,12,Packets
22,Female,36,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,5,2,Packets
23,Female,56,Married,No Qualification,English,White,"2,600 to 5,200",The North,Yes,20,20,Packets
24,Male,71,Divorced,No Qualification,English,White,Unknown,The North,No,,,
25,Female,38,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
26,Female,79,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
27,Female,58,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,Yes,25,20,Packets
28,Female,69,Married,No Qualification,British,White,"Under 2,600",The North,No,,,
29,Male,83,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
30,Female,73,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
31,Female,42,Married,GCSE/O Level,British,White,Refused,The North,Yes,40,15,Packets
32,Female,31,Married,GCSE/CSE,English,White,"Under 2,600",The North,Yes,15,15,Both/Mainly Packets
33,Male,26,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,,,
34,Female,27,Separated,Degree,English,White,"15,600 to 20,800",The North,No,,,
35,Female,57,Married,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,No,,,
36,Female,30,Married,ONC/BTEC,English,White,"2,600 to 5,200",The North,No,,,
37,Female,22,Single,A Levels,English,White,"5,200 to 10,400",The North,No,,,
38,Female,78,Widowed,No Qualification,English,White,"Under 2,600",The North,Yes,20,20,Packets
39,Female,49,Married,ONC/BTEC,English,Mixed,"15,600 to 20,800",The North,No,,,
40,Male,74,Married,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,,,
41,Male,85,Widowed,Degree,Scottish,White,"20,800 to 28,600",The North,No,,,
42,Male,75,Married,Other/Sub Degree,English,White,Refused,The North,No,,,
43,Female,80,Widowed,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,,,
44,Female,37,Married,Degree,British,White,"Under 2,600",The North,No,,,
45,Female,33,Single,Degree,British,White,"10,400 to 15,600",The North,No,,,
46,Male,41,Divorced,A Levels,English,White,"15,600 to 20,800",The North,No,,,
47,Female,81,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
48,Female,76,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,Yes,6,6,Packets
49,Female,58,Married,A Levels,British,White,"10,400 to 15,600",The North,No,,,
50,Male,59,Married,Other/Sub Degree,English,White,"15,600 to 20,800",The North,Yes,25,25,Packets
51,Female,40,Divorced,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,4,4,Packets
52,Female,54,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
53,Male,49,Married,Degree,Scottish,White,"Above 36,400",The North,No,,,
54,Female,79,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
55,Male,28,Married,Other/Sub Degree,British,White,"20,800 to 28,600",The North,Yes,20,20,Packets
56,Male,44,Married,Other/Sub Degree,English,White,"5,200 to 10,400",The North,No,,,
57,Female,42,Single,GCSE/CSE,British,White,"10,400 to 15,600",The North,No,,,
58,Female,36,Single,GCSE/CSE,British,White,"5,200 to 10,400",The North,No,,,
59,Male,89,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
60,Female,64,Married,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
61,Female,76,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
62,Female,76,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
63,Female,61,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
64,Female,81,Widowed,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
65,Female,20,Single,No Qualification,British,White,"2,600 to 5,200",The North,Yes,20,10,Packets
66,Female,82,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
67,Female,23,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,Yes,20,10,Packets
68,Male,41,Married,GCSE/O Level,English,White,"Above 36,400",The North,No,,,
69,Female,31,Single,A Levels,British,White,"15,600 to 20,800",The North,No,,,
70,Female,44,Married,A Levels,English,White,"20,800 to 28,600",The North,Yes,5,0,Packets
71,Female,42,Married,Degree,Scottish,White,"10,400 to 15,600",The North,No,,,
72,Male,67,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,Yes,20,20,Packets
73,Male,53,Married,Degree,English,White,"20,800 to 28,600",The North,No,,,
74,Male,76,Married,No Qualification,English,Black,"10,400 to 15,600",The North,No,,,
75,Male,40,Married,Other/Sub Degree,English,White,"2,600 to 5,200",The North,Yes,30,30,Hand-Rolled
76,Male,44,Married,A Levels,British,White,"15,600 to 20,800",The North,No,,,
77,Female,31,Separated,GCSE/O Level,British,White,"15,600 to 20,800",The North,Yes,20,20,Packets
78,Male,43,Divorced,Other/Sub Degree,English,White,"2,600 to 5,200",The North,Yes,20,20,Hand-Rolled
79,Female,36,Separated,A Levels,British,White,"10,400 to 15,600",The North,No,,,
80,Female,34,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
81,Female,18,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,Yes,10,3,Packets
82,Male,56,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
83,Female,73,Married,No Qualification,British,White,"Under 2,600",The North,No,,,
