"","average_mpg","state","stop_and_go","highway","last_updated"
"1",128.6,"NV",NA,NA,2019-02-20
"2",202.6,"CA",0.48,0.52,2019-02-16
"3",98.4,"AL",0.33,0.67,2017-03-31
"4",241.1,"FL",NA,NA,2018-12-18
"5",148.9,"CA",0.8,0.2,2018-04-25
"6",140.7,"OK",0.44,0.56,2018-11-26
"7",64,"NY",0.5,0.5,2018-09-09
"8",85,"MO",0.5,0.5,2017-06-14
"9",225.7,"OH",0.9,0.1,2017-01-31
"10",44,"VA",0.2,0.8,2017-02-01
"11",108.5,"CA",0.22,0.78,2017-08-12
"12",128.4,"NJ",0.35,0.65,2017-11-11
"13",108.4,"MI",NA,NA,2019-04-07
"14",206.2,"MD",NA,NA,2018-12-11
"15",201.2,"CA",0.4,0.6,2019-03-28
"16",309.1,"SC",0.6,0.4,2017-06-22
"17",83.8,"VA",0.24,0.76,2019-02-25
"18",134.3,"NY",0.46,0.54,2017-08-23
"19",93.5,"NY",0.5,0.5,2018-11-27
