"","model_yr","mfr_name","division","carline","mfr_code","model_type_index","engine_displacement","no_cylinders","transmission_speed","city_mpg","hwy_mpg","comb_mpg","guzzler","air_aspir_method","air_aspir_method_desc","transmission","transmission_desc","no_gears","trans_lockup","trans_creeper_gear","drive_sys","drive_desc","fuel_usage","fuel_usage_desc","class","car_truck","release_date","fuel_cell"
"1",2012,"aston martin","Aston Martin Lagonda Ltd","V12 Vantage","ASX",8,5.9,12,"Manual(M6)",11,17,13,"Y",NA,"Naturally Aspirated","M","Manual",6,"N","N","R","2-Wheel Drive, Rear","GP","Gasoline (Premium Unleaded Recommended)","Two Seaters","car",2011-05-06,"N"
"2",2012,"aston martin","Aston Martin Lagonda Ltd","V8 Vantage","ASX",2,4.7,8,"Auto(AM6)",14,20,16,"Y",NA,"Naturally Aspirated","AM","Automated Manual",6,"N","N","R","2-Wheel Drive, Rear","GP","Gasoline (Premium Unleaded Recommended)","Two Seaters","car",2011-07-11,"N"
"3",2012,"aston martin","Aston Martin Lagonda Ltd","V8 Vantage","ASX",11,4.7,8,"Auto(AM7)",14,21,16,"Y",NA,"Naturally Aspirated","AM","Automated Manual",7,"N","N","R","2-Wheel Drive, Rear","GP","Gasoline (Premium Unleaded Recommended)","Two Seaters","car",2012-01-09,"N"
"4",2012,"aston martin","Aston Martin Lagonda Ltd","V8 Vantage","ASX",1,4.7,8,"Manual(M6)",13,19,15,"Y",NA,"Naturally Aspirated","M","Manual",6,"N","N","R","2-Wheel Drive, Rear","GP","Gasoline (Premium Unleaded Recommended)","Two Seaters","car",2011-07-11,"N"
"5",2012,"aston martin","Aston Martin Lagonda Ltd","V8 Vantage S","ASX",3,4.7,8,"Auto(AM7)",14,21,16,"Y",NA,"Naturally Aspirated","AM","Automated Manual",7,"N","N","R","2-Wheel Drive, Rear","GP","Gasoline (Premium Unleaded Recommended)","Two Seaters","car",2011-07-11,"N"
"6",2012,"Audi","Audi","R8","ADX",73,4.2,8,"Auto(AM6)",13,21,16,"Y",NA,"Naturally Aspirated","AM","Automated Manual",6,"N","N","A","All Wheel Drive","GP","Gasoline (Premium Unleaded Recommended)","Two Seaters","car",2011-05-26,NA
"7",2012,"Audi","Audi","R8","ADX",75,4.2,8,"Manual(M6)",11,20,14,"Y",NA,"Naturally Aspirated","M","Manual",6,"N","N","A","All Wheel Drive","GP","Gasoline (Premium Unleaded Recommended)","Two Seaters","car",2011-06-07,NA
"8",2012,"Audi","Audi","R8","ADX",41,5.2,10,"Auto(AM6)",13,19,15,"Y",NA,"Naturally Aspirated","AM","Automated Manual",6,"Y","N","A","All Wheel Drive","GP","Gasoline (Premium Unleaded Recommended)","Two Seaters","car",2011-05-06,NA
"9",2012,"Audi","Audi","R8","ADX",43,5.2,10,"Manual(M6)",12,19,14,"Y",NA,"Naturally Aspirated","M","Manual",6,"N","N","A","All Wheel Drive","GP","Gasoline (Premium Unleaded Recommended)","Two Seaters","car",2011-05-09,NA
"10",2012,"Audi","Audi","R8 Spyder","ADX",66,4.2,8,"Auto(AM6)",13,21,16,"Y",NA,"Naturally Aspirated","AM","Automated Manual",6,"N","N","A","All Wheel Drive","GP","Gasoline (Premium Unleaded Recommended)","Two Seaters","car",2011-05-26,NA
