"","Hunt(R)","Sandman(R)","Howard(D)","Thompson(D)","Freylinghuysen(R)","Forsythe(R)","Widnall(R)","Roe(D)","Heltoski(D)","Rodino(D)","Minish(D)","Rinaldo(R)","Maraziti(R)","Daniels(D)","Patten(D)"
"Hunt(R)",0,8,15,15,10,9,7,15,16,14,15,16,7,11,13
"Sandman(R)",8,0,17,12,13,13,12,16,17,15,16,17,13,12,16
"Howard(D)",15,17,0,9,16,12,15,5,5,6,5,4,11,10,7
"Thompson(D)",15,12,9,0,14,12,13,10,8,8,8,6,15,10,7
"Freylinghuysen(R)",10,13,16,14,0,8,9,13,14,12,12,12,10,11,11
"Forsythe(R)",9,13,12,12,8,0,7,12,11,10,9,10,6,6,10
"Widnall(R)",7,12,15,13,9,7,0,17,16,15,14,15,10,11,13
"Roe(D)",15,16,5,10,13,12,17,0,4,5,5,3,12,7,6
"Heltoski(D)",16,17,5,8,14,11,16,4,0,3,2,1,13,7,5
"Rodino(D)",14,15,6,8,12,10,15,5,3,0,1,2,11,4,6
"Minish(D)",15,16,5,8,12,9,14,5,2,1,0,1,12,5,5
"Rinaldo(R)",16,17,4,6,12,10,15,3,1,2,1,0,12,6,4
"Maraziti(R)",7,13,11,15,10,6,10,12,13,11,12,12,0,9,13
"Daniels(D)",11,12,10,10,11,6,11,7,7,4,5,6,9,0,9
"Patten(D)",13,16,7,7,11,10,13,6,5,6,5,4,13,9,0
