"","educ","cigpric","white","age","income","cigs","restaurn","lincome","agesq","lcigpric"
"1",16,60.5060005187988,1,46,20000,0,0,9.90348720550537,2116,4.10274267196655
"2",16,57.882999420166,1,40,30000,0,0,10.308952331543,1600,4.05842351913452
"3",12,57.6640014648438,1,58,30000,3,0,10.308952331543,3364,4.05463314056396
"4",13.5,57.882999420166,1,30,20000,0,0,9.90348720550537,900,4.05842351913452
"5",10,58.3199996948242,1,17,20000,0,0,9.90348720550537,289,4.06594514846802
"6",6,59.3400001525879,1,86,6500,0,0,8.77955722808838,7396,4.08328342437744
"7",12,57.882999420166,1,35,20000,0,0,9.90348720550537,1225,4.05842351913452
"8",15,57.882999420166,1,48,30000,0,0,10.308952331543,2304,4.05842351913452
"9",12,59.1949996948242,1,48,20000,0,0,9.90348720550537,2304,4.08083724975586
"10",12,58.0279998779297,1,31,20000,0,0,9.90348720550537,961,4.06092548370361
"11",13.5,57.882999420166,1,27,30000,10,0,10.308952331543,729,4.05842351913452
"12",12,60.2879981994629,1,24,20000,20,0,9.90348720550537,576,4.09913301467896
"13",10,57.882999420166,1,71,8500,30,0,9.04782104492188,5041,4.05842351913452
"14",6,58.0279998779297,1,44,30000,0,0,10.308952331543,1936,4.06092548370361
"15",16,60.7459983825684,1,22,30000,0,0,10.308952331543,484,4.10670137405396
"16",12,60.0709991455078,1,29,20000,20,0,9.90348720550537,841,4.09552717208862
"17",12,60.2820014953613,1,33,20000,0,0,9.90348720550537,1089,4.09903335571289
"18",12,60.7039985656738,1,34,20000,30,0,9.90348720550537,1156,4.1060094833374
"19",13.5,59.8600006103516,1,30,8500,0,0,9.04782104492188,900,4.09200859069824
"20",10,60.3240013122559,0,48,30000,20,0,10.308952331543,2304,4.09973001480103
"21",6,59.0449981689453,1,61,5500,0,0,8.61250305175781,3721,4.07829999923706
"22",18,60.2939987182617,1,49,30000,0,0,10.308952331543,2401,4.09923267364502
"23",12,59.0449981689453,1,33,20000,0,0,9.90348720550537,1089,4.07829999923706
"24",16,60.6319999694824,1,24,30000,0,1,10.308952331543,576,4.10482263565063
"25",16,61.7439994812012,1,36,30000,0,1,10.308952331543,1296,4.12299680709839
"26",15,60.8619995117188,1,39,20000,12,1,9.90348720550537,1521,4.10860919952393
"27",18,61.398998260498,1,38,30000,0,1,10.308952331543,1444,4.11739349365234
"28",12,60.8230018615723,1,29,30000,30,1,10.308952331543,841,4.10796785354614
"29",18,62.0120010375977,1,23,12500,0,1,9.43348407745361,529,4.12732791900635
"30",16,61.3219985961914,0,51,20000,0,1,9.90348720550537,2601,4.11613845825195
"31",13.5,62.0890007019043,1,28,20000,0,1,9.90348720550537,784,4.12856864929199
"32",10,61.0149993896484,1,47,12500,30,1,9.43348407745361,2209,4.11111974716187
"33",10,62.4889984130859,1,80,12500,0,1,9.43348407745361,6400,4.13499069213867
"34",10,61.6669998168945,1,62,30000,2,1,10.308952331543,3844,4.12174892425537
"35",10,62.0120010375977,1,51,12500,0,1,9.43348407745361,2601,4.12732791900635
"36",10,61.6669998168945,1,51,20000,35,1,9.90348720550537,2601,4.12174892425537
"37",12,61.0530014038086,1,69,12500,0,1,9.43348407745361,4761,4.11174249649048
"38",12,61.0919990539551,1,28,8500,0,1,9.04782104492188,784,4.11238098144531
"39",18,61.9739990234375,1,38,20000,0,1,9.90348720550537,1444,4.1267147064209
"40",15,61.1679992675781,1,30,30000,0,1,10.308952331543,900,4.11362409591675
"41",18,60.8619995117188,1,32,30000,25,1,10.308952331543,1024,4.10860919952393
"42",8,61.6290016174316,0,71,12500,0,1,9.43348407745361,5041,4.12113237380981
"43",10,62.4889984130859,1,18,20000,0,1,9.90348720550537,324,4.13499069213867
"44",13.5,62.0890007019043,1,26,8500,15,1,9.04782104492188,676,4.12856864929199
"45",10,61.7439994812012,1,30,20000,20,1,9.90348720550537,900,4.12299680709839
"46",12,60.6699981689453,1,19,3500,0,1,8.16051864624023,361,4.10544919967651
"47",12,61.1679992675781,1,19,6500,20,1,8.77955722808838,361,4.11362409591675
"48",13.5,61.2449989318848,1,21,1500,0,1,7.31322050094604,441,4.11488199234009
"49",16,62.0890007019043,1,44,20000,0,1,9.90348720550537,1936,4.12856864929199
"50",10,60.5550003051758,1,69,30000,30,1,10.308952331543,4761,4.10355186462402
"51",16,60.5550003051758,1,53,20000,0,1,9.90348720550537,2809,4.10355186462402
"52",8,62.2410011291504,1,53,12500,20,1,9.43348407745361,2809,4.13101387023926
"53",6,61.7050018310547,1,38,6500,10,1,8.77955722808838,1444,4.12236499786377
"54",10,60.5550003051758,1,49,30000,20,1,10.308952331543,2401,4.10355186462402
"55",18,61.4370002746582,1,24,20000,0,1,9.90348720550537,576,4.11801242828369
"56",16,61.3219985961914,1,57,8500,0,1,9.04782104492188,3249,4.11613845825195
"57",15,61.1679992675781,1,28,20000,0,1,9.90348720550537,784,4.11362409591675
"58",12,61.2070007324219,1,32,20000,20,1,9.90348720550537,1024,4.11426162719727
"59",13.5,60.8230018615723,1,55,20000,0,1,9.90348720550537,3025,4.10796785354614
"60",13.5,60.6319999694824,1,47,30000,0,1,10.308952331543,2209,4.10482263565063
"61",13.5,60.7849998474121,1,26,20000,0,1,9.90348720550537,676,4.1073431968689
"62",10,60.5550003051758,1,26,6500,20,1,8.77955722808838,676,4.10355186462402
"63",16,60.7080001831055,0,61,30000,0,1,10.308952331543,3721,4.10607528686523
"64",10,60.6699981689453,1,48,20000,0,1,9.90348720550537,2304,4.10544919967651
"65",18,62.7360000610352,1,32,30000,0,1,10.308952331543,1024,4.13893556594849
"66",16,62.0890007019043,1,29,12500,0,1,9.43348407745361,841,4.12856864929199
"67",18,62.5709991455078,0,47,30000,0,1,10.308952331543,2209,4.13630199432373
"68",10,60.7080001831055,0,62,20000,0,1,9.90348720550537,3844,4.10607528686523
"69",16,62.1590003967285,0,30,8500,0,1,9.04782104492188,900,4.12969541549683
"70",13.5,61.6669998168945,1,21,20000,0,1,9.90348720550537,441,4.12174892425537
"71",12,61.2070007324219,1,28,2500,0,1,7.82404613494873,784,4.11426162719727
"72",12,61.0530014038086,1,50,30000,20,1,10.308952331543,2500,4.11174249649048
"73",12,61.4749984741211,1,69,6500,0,1,8.77955722808838,4761,4.11863040924072
"74",13.5,61.6290016174316,1,37,20000,60,1,9.90348720550537,1369,4.12113237380981
"75",12,61.7439994812012,0,40,30000,20,1,10.308952331543,1600,4.12299680709839
"76",6,61.4370002746582,1,47,20000,3,1,9.90348720550537,2209,4.11801242828369
"77",10,61.9360008239746,1,78,2500,0,1,7.82404613494873,6084,4.12610149383545
"78",18,61.7439994812012,1,38,30000,0,1,10.308952331543,1444,4.12299680709839
"79",13.5,62.4889984130859,1,25,30000,0,1,10.308952331543,625,4.13499069213867
"80",12,61.3219985961914,1,67,8500,0,1,9.04782104492188,4489,4.11613845825195
"81",13.5,60.9000015258789,1,50,30000,12,1,10.308952331543,2500,4.10923337936401
"82",13.5,61.5519981384277,1,47,30000,0,1,10.308952331543,2209,4.11988210678101
"83",8,62.4889984130859,1,76,6500,0,1,8.77955722808838,5776,4.13499069213867
"84",8,60.7849998474121,1,28,30000,0,1,10.308952331543,784,4.1073431968689
"85",12,61.5139999389648,0,32,20000,0,1,9.90348720550537,1024,4.11926460266113
"86",12,61.8969993591309,0,28,20000,0,1,9.90348720550537,784,4.12547159194946
"87",12,61.1679992675781,1,53,30000,20,1,10.308952331543,2809,4.11362409591675
"88",12,60.8230018615723,1,57,20000,0,1,9.90348720550537,3249,4.10796785354614
"89",18,61.5900001525879,1,42,30000,0,1,10.308952331543,1764,4.12049961090088
"90",15,61.0919990539551,1,49,12500,0,1,9.43348407745361,2401,4.11238098144531
"91",18,61.7820014953613,1,31,20000,25,1,9.90348720550537,961,4.12361192703247
"92",12,61.4370002746582,1,20,8500,0,1,9.04782104492188,400,4.11801242828369
"93",18,61.8969993591309,1,45,20000,40,1,9.90348720550537,2025,4.12547159194946
"94",18,60.5550003051758,0,63,30000,0,1,10.308952331543,3969,4.10355186462402
"95",15,61.7050018310547,1,61,30000,0,1,10.308952331543,3721,4.12236499786377
"96",13.5,61.859001159668,0,35,12500,30,1,9.43348407745361,1225,4.1248574256897
"97",6,61.7050018310547,1,59,12500,0,1,9.43348407745361,3481,4.12236499786377
"98",10,62.6539993286133,0,17,8500,0,1,9.04782104492188,289,4.13762760162354
"99",18,62.7360000610352,1,38,30000,0,1,10.308952331543,1444,4.13893556594849
"100",13.5,61.2449989318848,1,41,30000,0,1,10.308952331543,1681,4.11488199234009
"101",12,61.8969993591309,1,35,30000,0,1,10.308952331543,1225,4.12547159194946
"102",12,61.5900001525879,0,40,30000,0,1,10.308952331543,1600,4.12049961090088
"103",13.5,62.5709991455078,1,37,30000,0,1,10.308952331543,1369,4.13630199432373
"104",12,62.4059982299805,0,27,5500,13,1,8.61250305175781,729,4.1336612701416
"105",12,60.8619995117188,1,48,20000,0,1,9.90348720550537,2304,4.10860919952393
"106",12,62.0890007019043,0,18,30000,0,1,10.308952331543,324,4.12856864929199
"107",12,60.8619995117188,0,43,20000,0,1,9.90348720550537,1849,4.10860919952393
"108",10,62.0120010375977,1,20,3500,0,1,8.16051864624023,400,4.12732791900635
"109",8,60.8230018615723,1,19,12500,1,1,9.43348407745361,361,4.10796785354614
"110",13.5,60.7080001831055,1,22,12500,0,1,9.43348407745361,484,4.10607528686523
"111",16,60.7080001831055,1,60,20000,0,1,9.90348720550537,3600,4.10607528686523
"112",13.5,61.7439994812012,1,47,30000,0,1,10.308952331543,2209,4.12299680709839
"113",10,61.6290016174316,0,77,20000,0,1,9.90348720550537,5929,4.12113237380981
"114",13.5,61.3600006103516,1,26,20000,0,1,9.90348720550537,676,4.11675834655762
"115",12,62.6539993286133,0,37,20000,20,1,9.90348720550537,1369,4.13762760162354
"116",13.5,62.1590003967285,0,40,30000,15,1,10.308952331543,1600,4.12969541549683
"117",6,61.2840003967285,0,44,8500,0,1,9.04782104492188,1936,4.11551856994629
"118",6,62.0120010375977,1,65,2500,0,1,7.82404613494873,4225,4.12732791900635
"119",16,60.9000015258789,1,26,30000,0,1,10.308952331543,676,4.10923337936401
"120",8,60.8619995117188,0,77,20000,0,1,9.90348720550537,5929,4.10860919952393
"121",12,61.2070007324219,0,73,12500,0,1,9.43348407745361,5329,4.11426162719727
"122",10,60.9379997253418,1,64,30000,0,1,10.308952331543,4096,4.10985708236694
"123",13.5,61.6290016174316,1,28,30000,0,1,10.308952331543,784,4.12113237380981
"124",13.5,60.8619995117188,1,26,30000,20,1,10.308952331543,676,4.10860919952393
"125",10,61.0919990539551,1,64,20000,20,1,9.90348720550537,4096,4.11238098144531
"126",12,61.6669998168945,1,29,6500,0,1,8.77955722808838,841,4.12174892425537
"127",12,61.9739990234375,1,55,20000,40,1,9.90348720550537,3025,4.1267147064209
"128",12,62.7360000610352,1,54,30000,0,1,10.308952331543,2916,4.13893556594849
"129",15,61.2070007324219,1,42,20000,10,1,9.90348720550537,1764,4.11426162719727
"130",13.5,62.7360000610352,0,70,12500,0,1,9.43348407745361,4900,4.13893556594849
"131",16,61.2840003967285,1,71,20000,0,1,9.90348720550537,5041,4.11551856994629
"132",12,61.7439994812012,1,24,30000,0,1,10.308952331543,576,4.12299680709839
"133",10,61.859001159668,1,38,20000,20,1,9.90348720550537,1444,4.1248574256897
"134",15,61.9360008239746,1,73,6500,0,1,8.77955722808838,5329,4.12610149383545
"135",18,60.8230018615723,1,29,30000,0,1,10.308952331543,841,4.10796785354614
"136",13.5,60.5550003051758,1,24,20000,0,1,9.90348720550537,576,4.10355186462402
"137",12,61.4370002746582,1,25,8500,0,1,9.04782104492188,625,4.11801242828369
"138",15,62.0890007019043,1,22,20000,0,1,9.90348720550537,484,4.12856864929199
"139",12,61.4749984741211,1,36,12500,5,1,9.43348407745361,1296,4.11863040924072
"140",12,53.6240005493164,1,28,20000,0,0,9.90348720550537,784,3.98199677467346
