rownames,salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility,lsalary,lsales
1,1095,20,27595,14.100000381469727,106.4000015258789,191,1,0,0,0,6.998509407043457,10.22538948059082
2,1001,32,9958,10.899999618530273,-30.600000381469727,13,1,0,0,0,6.908754825592041,9.206131935119629
3,1122,9,6125.89990234375,23.5,-16.299999237060547,14,1,0,0,0,7.0228681564331055,8.720280647277832
4,578,-9,16246,5.900000095367432,-25.700000762939453,-21,1,0,0,0,6.359573841094971,9.6956024169921875
5,1368,7,21783.19921875,13.800000190734863,-3,56,1,0,0,0,7.221105098724365,9.98889446258545
6,1145,5,6021.39990234375,20,1,55,1,0,0,0,7.0431599617004395,8.703075408935547
7,1078,10,2266.699951171875,16.399999618530273,-5.900000095367432,62,1,0,0,0,6.982862949371338,7.726080417633057
8,1094,7,2966.800048828125,16.299999237060547,-1.600000023841858,44,1,0,0,0,6.99759578704834,7.9952392578125
9,1237,16,4570.2001953125,10.5,-70.19999694824219,37,1,0,0,0,7.120444297790527,8.427311897277832
10,833,5,2830,26.299999237060547,-23.899999618530273,37,1,0,0,0,6.725033760070801,7.948031902313232
11,567,7,596.79998779296875,25.899999618530273,39.5,109,1,0,0,0,6.340359210968018,6.391582012176514
12,933,-3,19773,26.799999237060547,-26.799999237060547,-10,1,0,0,0,6.838405132293701,9.892072677612305
13,1339,-9,40047,14.800000190734863,12.100000381469727,41,1,0,0,0,7.199678421020508,10.597808837890625
14,937,9,2513.800048828125,22.299999237060547,9.800000190734863,44,1,0,0,0,6.8426833152771,7.829550743103027
15,2011,49,1580.5999755859375,56.29999923706055,62.20000076293945,63,1,0,0,0,7.606387615203857,7.3655595779418945
16,1585,4,6754,12.600000381469727,9.300000190734863,17,1,0,0,0,7.368339538574219,8.817890167236328
17,905,12,1066.300048828125,20.399999618530273,33.79999923706055,141,1,0,0,0,6.807934761047363,6.971950054168701
18,1058,94,3199.89990234375,1.899999976158142,-86.80000305175781,-15,1,0,0,0,6.964135646820068,8.07087516784668
19,922,48,1452.699951171875,19.899999618530273,97.30000305175781,56,1,0,0,0,6.826545238494873,7.281178951263428
20,1220,-7,8995,15.399999618530273,19.5,28,1,0,0,0,7.1066060066223145,9.104424476623535
21,1022,16,1212.300048828125,38.70000076293945,162.89999389648438,83,1,0,0,0,6.929516792297363,7.100274562835693
22,759,12,2824.199951171875,16.399999618530273,-9.399999618530273,21,1,0,0,0,6.632001876831055,7.945980548858643
23,1414,0,7621,24.399999618530273,-30.200000762939453,-10,1,0,0,0,7.254178047180176,8.9386625289917
24,1041,-11,4418.2998046875,15.600000381469727,-7.5,74,1,0,0,0,6.94793701171875,8.393509864807129
25,1688,1,12343,14.399999618530273,-16.799999237060547,15,1,0,0,0,7.431299686431885,9.420844078063965
26,2983,13,57662,19,9.899999618530273,42,1,0,0,0,8.00068473815918,10.962353706359863
27,1160,0,4319.7001953125,16.100000381469727,-23.299999237060547,-2,1,0,0,0,7.056175231933594,8.370941162109375
28,3844,61,20604,12.100000381469727,-5.900000095367432,18,1,0,0,0,8.254268646240234,9.93324089050293
29,476,6,611.29998779296875,16.200000762939453,-15.699999809265137,40,1,0,0,0,6.165417671203613,6.415587902069092
30,1492,10,12431.7001953125,18.399999618530273,-23.299999237060547,58,1,0,0,0,7.307872772216797,9.42800521850586
31,1024,-3,8169,14.199999809265137,-36.20000076293945,-10,1,0,0,0,6.931471824645996,9.008101463317871
32,1593,18,20659,14.899999618530273,410.29998779296875,16,1,0,0,0,7.3733744621276855,9.935906410217285
33,427,27,3072.10009765625,12.399999618530273,-17.700000762939453,61,1,0,0,0,6.056784152984619,8.03011703491211
34,829,5,1669.0999755859375,17.100000381469727,-39.29999923706055,64,1,0,0,0,6.72022008895874,7.420039653778076
35,797,-3,2401.199951171875,16.899999618530273,6,39,1,0,0,0,6.680854797363281,7.783723831176758
36,577,23,3043.60009765625,18.100000381469727,-13.5,1,1,0,0,0,6.357842445373535,8.020796775817871
37,1342,7,6222.2001953125,10.899999618530273,-6,59,1,0,0,0,7.201916217803955,8.735878944396973
38,1774,0,7727.89990234375,19.299999237060547,15.300000190734863,19,1,0,0,0,7.480992317199707,8.952592849731445
39,709,11,719.5,18.299999237060547,4.599999904632568,65,1,0,0,0,6.5638556480407715,6.578556537628174
40,860,28,3921.300048828125,18.399999618530273,34.70000076293945,45,1,0,0,0,6.756932258605957,8.274178504943848
41,1336,20,5155.10009765625,13.800000190734863,1.7000000476837158,7,1,0,0,0,7.19743537902832,8.547741889953613
42,516,-2,649.20001220703125,13.699999809265137,-10.300000190734863,27,1,0,0,0,6.2461066246032715,6.475740909576416
43,931,20,10885,12.699999809265137,14.5,10,1,0,0,0,6.836259365081787,9.295141220092773
44,815,12,1651.9000244140625,15.100000381469727,-2.4000000953674316,33,1,0,0,0,6.703187942504883,7.40968132019043
45,1681,20,12915,16.5,-66.69999694824219,29,1,0,0,0,7.4271440505981445,9.466144561767578
46,568,-36,11436,10.199999809265137,-48.29999923706055,-19,1,0,0,0,6.342121601104736,9.344521522521973
47,775,7,2210.300048828125,19.600000381469727,18.899999618530273,34,1,0,0,0,6.652863025665283,7.700883388519287
48,1188,9,3737.800048828125,12.800000190734863,32.5,15,1,0,0,0,7.080026626586914,8.226252555847168
49,782,-1,1976.699951171875,15.899999618530273,-0.6000000238418579,24,1,0,0,0,6.6618547439575195,7.589183807373047
50,1170,0,2576,17.299999237060547,-39.099998474121094,93,1,0,0,0,7.064759254455566,7.853992938995361
51,1469,8,6309.10009765625,8.5,93.9000015258789,79,1,0,0,0,7.292336940765381,8.749748229980469
52,916,-1,2940.5,16.399999618530273,25.799999237060547,105,1,0,0,0,6.820016384124756,7.986334800720215
53,1070,-9,1072.5999755859375,19.5,34.79999923706055,269,1,0,0,0,6.975413799285889,6.977840900421143
54,894,1,1534,19.200000762939453,-3.700000047683716,74,1,0,0,0,6.795705795288086,7.335633754730225
55,829,-4,2158.800048828125,15.899999618530273,-27.600000381469727,-18,1,0,0,0,6.72022008895874,7.677307605743408
56,780,17,1736,19.899999618530273,50.70000076293945,23,1,0,0,0,6.659294128417969,7.459338665008545
57,2327,10,3598.800048828125,28.100000381469727,-28.299999237060547,104,1,0,0,0,7.752335071563721,8.188355445861816
58,717,20,1413.5999755859375,25,-15.800000190734863,56,1,0,0,0,6.575075626373291,7.253894805908203
59,1368,9,13538,15,-8.800000190734863,-43,1,0,0,0,7.221105098724365,9.513256072998047
60,2028,185,69018,12.600000381469727,2.299999952316284,10,1,0,0,0,7.614805221557617,11.142122268676758
61,1195,2,6285,20.299999237060547,6.300000190734863,49,1,0,0,0,7.085901260375977,8.74592113494873
62,256,19,526.29998779296875,22.700000762939453,24.700000762939453,175,1,0,0,0,5.545177459716797,6.265871524810791
63,775,-10,3195.60009765625,14.800000190734863,-32.599998474121094,12,1,0,0,0,6.652863025665283,8.069530487060547
64,1407,80,2762.800048828125,13.199999809265137,-17.399999618530273,28,1,0,0,0,7.249215126037598,7.923999786376953
65,543,14,1873.0999755859375,10.300000190734863,-45,-58,1,0,0,0,6.297109127044678,7.5353498458862305
66,874,-10,4648.10009765625,17.700000762939453,-13.899999618530273,-6,1,0,0,0,6.773080348968506,8.4442138671875
67,1287,-3,16951,10,-1,-21,1,0,0,0,7.160068988800049,9.738081932067871
68,1248,16,3506.89990234375,15.600000381469727,5,54,0,1,0,0,7.129297733306885,8.162487983703613
69,875,-19,5333.10009765625,6.800000190734863,27.600000381469727,-8,0,1,0,0,6.774223804473877,8.581687927246094
70,925,-3,3296.199951171875,12.399999618530273,-56.900001525878906,-21,0,1,0,0,6.829793930053711,8.100525856018066
71,798,-6,2584,13.100000381469727,-50.5,10,0,1,0,0,6.682108402252197,7.857093811035156
72,760,14,834.4000244140625,15.800000190734863,3,55,0,1,0,0,6.6333184242248535,6.726712703704834
73,600,-41,4068.699951171875,12.800000190734863,-32,-6,0,1,0,0,6.396929740905762,8.311079025268555
74,991,18,2518.60009765625,15.300000190734863,13.300000190734863,65,0,1,0,0,6.898714542388916,7.831458568572998
75,1570,14,10465,0.5,977,36,0,1,0,0,7.35883092880249,9.255791664123535
76,911,1,2682.39990234375,16.5,31.5,23,0,1,0,0,6.814542770385742,7.894467353820801
77,1360,12,2688.199951171875,15.100000381469727,23,67,0,1,0,0,7.215240001678467,7.896626949310303
78,700,-53,6682.2998046875,13,5.800000190734863,53,0,1,0,0,6.551080226898193,8.807217597961426
79,741,-50,4879.89990234375,11.100000381469727,-77.69999694824219,-26,0,1,0,0,6.608000755310059,8.492879867553711
80,1097,143,2772.10009765625,8.899999618530273,595.5999755859375,20,0,1,0,0,7.0003342628479,7.927360534667969
81,953,15,1320.4000244140625,17.5,-4.300000190734863,83,0,1,0,0,6.859614849090576,7.185689926147461
82,441,-7,3408.5,15.899999618530273,-10,37,0,1,0,0,6.08904504776001,8.134027481079102
83,595,18,1919.699951171875,14.199999809265137,31.399999618530273,61,0,1,0,0,6.388561248779297,7.559924125671387
84,1067,1,19020.5,9.300000190734863,-37.79999923706055,4,0,1,0,0,6.972606182098389,9.853272438049316
85,1298,3,4778.2998046875,9.5,-26.700000762939453,-2,0,1,0,0,7.168580055236816,8.471839904785156
86,1798,-31,24332,15.5,-59.5,2,0,1,0,0,7.494430065155029,10.099547386169434
87,4143,-10,2678.39990234375,14.399999618530273,-12.800000190734863,42,0,1,0,0,8.329174995422363,7.892974853515625
88,1336,8,4481,11.100000381469727,10.800000190734863,15,0,1,0,0,7.19743537902832,8.407601356506348
89,1750,11,14932.099609375,15.899999618530273,-7.800000190734863,62,0,1,0,0,7.467370986938477,9.611268043518066
90,912,15,2626.39990234375,16.399999618530273,0.30000001192092896,70,0,1,0,0,6.815639972686768,7.873369216918945
91,1892,-16,2659.5,8.600000381469727,-1.399999976158142,126,0,1,0,0,7.545389652252197,7.88589334487915
92,833,19,1073.199951171875,24.600000381469727,14.399999618530273,51,0,1,0,0,6.725033760070801,6.978400230407715
93,1142,-12,2577.300048828125,15.399999618530273,-22.399999618530273,56,0,1,0,0,7.040536403656006,7.85449743270874
94,1159,13,4293.7998046875,16.899999618530273,2.5999999046325684,107,0,1,0,0,7.055312633514404,8.364927291870117
95,1283,16,18164,7.199999809265137,-47.29999923706055,14,0,1,0,0,7.156956195831299,9.807196617126465
96,2109,42,9944.400390625,11.600000381469727,-42.20000076293945,23,0,1,0,0,7.6539692878723145,9.204765319824219
