"","female","phsrank","BA","AA","black","hispanic","id","exper","jc","univ","lwage","stotal","smcity","medcity","submed","lgcity","sublg","vlgcity","subvlg","ne","nc","south","totcoll"
"1",1,65,0,0,0,0,19,161,0,0,1.92529082298279,-0.441749691963196,0,0,0,0,1,0,0,1,0,0,0
"2",1,97,0,0,0,0,93,119,0,7.03333330154419,2.79649424552917,0,1,0,0,0,0,0,0,0,1,0,7.03333330154419
"3",1,44,0,0,0,0,96,81,0,0,1.62559950351715,-1.35700273513794,0,0,0,0,1,0,0,1,0,0,0
"4",1,34,0,0,0,1,119,39,0.266666680574417,0,2.22331190109253,-0.190055087208748,1,0,0,0,0,0,0,0,0,0,0.266666680574417
"5",1,80,0,0,0,0,132,141,0,0,1.64208257198334,0,0,0,0,0,0,0,0,0,0,1,0
"6",0,59,0,0,0,0,156,165,0,0,2.0794415473938,1.38875651359558,1,0,0,0,0,0,0,0,0,1,0
"7",0,81,1,0,0,0,163,127,0.266666680574417,4.4444375038147,2.87794923782349,1.41163778305054,1,0,0,0,0,0,0,0,1,0,4.71110439300537
"8",0,50,0,0,1,0,188,161,0,0,2.52011227607727,-0.373105704784393,0,0,0,1,0,0,0,0,0,1,0
"9",0,8,0,0,0,0,199,138,0.0888887420296669,0,2.52572870254517,0,1,0,0,0,0,0,0,0,0,0,0.0888887420296669
"10",0,56,1,0,1,0,200,64,0,5.40000009536743,2.67407584190369,-1.40276539325714,0,0,0,0,0,0,0,0,0,1,5.40000009536743
"11",1,46,1,0,0,0,262,119,0,4.09999990463257,1.98413133621216,-0.23581774532795,0,1,0,0,0,0,0,0,1,0,4.09999990463257
"12",1,87,0,0,0,0,263,105,0,0,2.25299429893494,1.06841790676117,1,0,0,0,0,0,0,0,0,1,0
"13",1,42,0,0,0,0,287,124,0.888887524604797,0,1.74919986724854,0.542147397994995,0,0,0,0,0,0,1,0,0,0,0.888887524604797
"14",1,66,0,0,0,0,288,143,0,0,1.20895993709564,0.587910056114197,0,0,0,0,0,0,0,0,1,0,0
"15",0,43,0,1,0,0,360,160,2.76666665077209,0,2.01490306854248,0.565028727054596,0,0,0,0,0,0,0,1,0,0,2.76666665077209
"16",1,48,0,0,0,0,374,121,0,0,1.3862943649292,-0.167173758149147,0,1,0,0,0,0,0,0,0,1,0
"17",1,87,0,0,0,0,415,166,0.955554187297821,0,2.19722461700439,0.176046147942543,1,0,0,0,0,0,0,0,0,1,0.955554187297821
"18",1,99,1,0,0,0,425,118,0,4.5333251953125,2.02228307723999,1.43451917171478,0,0,1,0,0,0,0,0,0,1,4.5333251953125
"19",1,57,0,0,1,0,448,103,0,0,1.47564303874969,-2.38666248321533,0,0,0,0,0,0,0,0,0,1,0
"20",0,14,0,0,0,0,452,60,0.366666674613953,0,2.25129175186157,0,0,0,0,0,1,0,0,0,0,0,0.366666674613953
"21",1,80,1,0,0,1,454,131,3.83333325386047,2.33333325386047,1.8718022108078,0,0,1,0,0,0,0,0,0,0,1,6.16666650772095
