rownames,state,district,democ,vote90,vote88,inexp90,chexp90,inexp88,chexp88,prtystr,rptchall,tenure,lawyer,linexp90,lchexp90,linexp88,lchexp88,incshr90,incshr88,cvote,clinexp,clchexp,cincshr,win88,win90,cwin
1,AL,2,0,51,94,596096,163663,234923,,62,0,26,1,13.29815673828125,12.00556468963623,12.367012977600098,,78.45856475830078,,-43,0.9311437606811523,,,1,1,0
2,AL,3,1,74,65,176550,22989,679297,443927,65,0,1,0,12.08135986328125,10.042771339416504,13.428813934326172,13.00341510772705,88.47894287109375,60.4774284362793,9,-1.3474540710449219,-2.960643768310547,28.001514434814453,1,1,0
3,AL,7,1,71,68,238446,58952,328296,8737,41,0,4,1,12.381897926330566,10.984478950500488,12.70167064666748,9.075322151184082,80.17740631103516,97.40766906738281,3,-0.31977272033691406,1.9091567993164062,-17.230262756347656,1,1,0
4,AK,1,0,52,62,564759,164732,626377,402477,60,0,17,0,13.24415397644043,12.012075424194336,13.347707748413086,12.905393600463867,77.41822814941406,60.881038665771484,-10,-0.10355377197265625,-0.89331817626953125,16.537189483642578,1,1,0
5,AZ,2,1,66,73,112373,1445,99607,3065,55,1,29,1,11.629578590393066,7.275864601135254,11.508987426757812,8.027802467346191,98.73043060302734,97.01476287841797,-7,0.1205911636352539,-0.7519378662109375,1.715667724609375,1,1,0
6,AZ,3,0,57,69,225149,9353,319690,26281,64,0,14,0,12.324517250061035,9.143452644348145,12.6751070022583,10.17660140991211,96.01155090332031,92.40370178222656,-12,-0.3505897521972656,-1.0331487655639648,3.60784912109375,1,1,0
7,AZ,4,0,61,87,442366,38851,316476,,65,0,4,1,12.999893188476562,10.567488670349121,12.665002822875977,,91.926513671875,,-26,0.33489036560058594,,,1,1,0
8,AR,3,0,71,75,105354,15730,159221,60054,66,0,24,0,11.565081596374512,9.663325309753418,11.978048324584961,11.002999305725098,87.00901794433594,72.61247253417969,-4,-0.4129667282104492,-1.3396739959716797,14.39654541015625,1,1,0
9,AR,4,1,72,69,480853,511,570155,21393,46,0,12,1,13.083316802978516,6.236369609832764,13.253663063049316,9.970819473266602,99.89384460449219,96.38355255126953,3,-0.17034626007080078,-3.734449863433838,3.5102920532226562,1,1,0
10,CA,2,0,64,59,515020,5951,696748,193915,58,0,4,0,13.151961326599121,8.691314697265625,13.454178810119629,12.175175666809082,98.85771179199219,78.22801971435547,5,-0.3022174835205078,-3.483860969543457,20.62969207763672,1,1,0
11,CA,3,1,60,71,734005,4628,638688,7695,49,1,12,1,13.506271362304688,8.43988037109375,13.367171287536621,8.948326110839844,99.3734359741211,98.80953216552734,-11,0.1391000747680664,-0.50844573974609375,0.56390380859375,1,1,0
12,CA,5,1,77,76,440973,154858,616936,19245,71,0,3,0,12.996739387512207,11.950263977050781,13.332520484924316,9.865006446838379,74.0097427368164,96.97491455078125,1,-0.3357810974121094,2.0852575302124023,-22.965171813964844,1,1,0
13,CA,6,1,68,73,655402,32724,351687,50532,64,0,8,0,13.393004417419434,10.395864486694336,12.77049732208252,10.830362319946289,95.244476318359375,87.43669128417969,-5,0.6225070953369141,-0.4344978332519531,7.8077850341796875,1,1,0
14,CA,7,1,61,68,448026,47912,269887,14710,53,0,16,1,13.012606620788574,10.777121543884277,12.505758285522461,9.596282958984375,90.339111328125,94.83129119873047,-7,0.5068483352661133,1.1808385848999023,-4.492179870605469,1,1,0
15,CA,9,1,58,73,300996,210089,410540,,57,0,18,0,12.614851951599121,12.25528621673584,12.9252290725708,,58.893531799316406,,-15,-0.3103771209716797,,,1,1,0
16,CA,10,1,63,86,209243,2581,173537,,55,0,28,1,12.251251220703125,7.855932235717773,12.064146041870117,,98.78153228759766,,-23,0.1871051788330078,,,1,1,0
17,CA,11,1,66,71,620782,97030,269510,95575,58,1,10,0,13.338735580444336,11.482775688171387,12.504361152648926,11.467666625976562,86.48253631591797,73.8211669921875,-5,0.8343744277954102,0.015109062194824219,12.661369323730469,1,1,0
18,CA,12,0,61,52,685135,103839,1440639,1089570,49,0,2,1,13.437371253967285,11.550597190856934,14.180597305297852,13.901293754577637,86.83872985839844,56.93754959106445,9,-0.7432260513305664,-2.350696563720703,29.901180267333984,1,1,0
19,CA,16,1,74,79,272710,23849,252336,69563,54,0,14,1,12.51616382598877,10.079497337341309,12.438516616821289,11.149988174438477,91.95809173583984,78.38980865478516,-5,0.07764720916748047,-1.070490837097168,13.568283081054688,1,1,0
20,CA,17,0,45,72,622184,538354,206677,5227,59,0,,,13.340991020202637,13.196271896362305,12.238912582397461,8.561593055725098,53.61168670654297,97.53331756591797,-27,1.1020784378051758,4.634678840637207,-43.921630859375,1,0,-1
21,CA,19,0,55,50,658365,241815,1470674,1548193,54,0,16,1,13.397514343261719,12.395928382873535,14.201231002807617,14.252598762512207,73.13703918457031,48.71609115600586,5,-0.8037166595458984,-1.8566703796386719,24.420948028564453,1,1,0
22,CA,23,1,62,64,201404,360389,140486,100956,56,1,14,1,12.213068008422852,12.794939041137695,11.852863311767578,11.522439956665039,35.850215911865234,58.18622970581055,-2,0.36020469665527344,1.2724990844726562,-22.336013793945312,1,1,0
23,CA,24,1,69,72,287505,1830,191334,15449,65,1,16,1,12.568995475769043,7.512071132659912,12.161775588989258,9.645299911499023,99.36751556396484,92.52888488769531,-3,0.40721988677978516,-2.1332287788391113,6.838630676269531,1,1,0
24,CA,26,1,61,70,450401,82453,409233,,55,0,8,1,13.01789379119873,11.31998348236084,12.922039985656738,,84.526153564453125,,-9,0.09585380554199219,,,1,1,0
25,CA,27,1,58,68,587961,146206,398597,15239,54,0,8,1,13.284416198730469,11.89277172088623,12.895706176757812,9.631612777709961,80.08545684814453,96.317626953125,-10,0.38871002197265625,2.2611589431762695,-16.23217010498047,1,1,0
26,CA,28,1,73,76,113669,3799,114523,,73,1,12,1,11.641045570373535,8.242493629455566,11.648530960083008,,96.76593017578125,,-3,-0.007485389709472656,,,1,1,0
27,CA,30,1,58,60,186130,72867,460622,382111,53,0,8,0,12.134201049804688,11.196391105651855,13.040332794189453,12.853466033935547,71.8656997680664,54.658119201660156,-2,-0.9061317443847656,-1.6570749282836914,17.20758056640625,1,1,0
