"","nr","year","agric","black","bus","construc","ent","exper","fin","hisp","poorhlth","hours","manuf","married","min","nrthcen","nrtheast","occ1","occ2","occ3","occ4","occ5","occ6","occ7","occ8","occ9","per","pro","pub","rur","south","educ","tra","trad","union","lwage","d81","d82","d83","d84","d85","d86","d87","expersq"
"1",13,1980,0,0,1,0,0,1,0,0,0,2672,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1.19754016399384,0,0,0,0,0,0,0,1
"2",13,1981,0,0,0,0,0,2,0,0,0,2320,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,0,0,1,1.85306000709534,1,0,0,0,0,0,0,4
"3",13,1982,0,0,1,0,0,3,0,0,0,2940,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1.34446167945862,0,1,0,0,0,0,0,9
"4",13,1983,0,0,1,0,0,4,0,0,0,2960,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1.43321335315704,0,0,1,0,0,0,0,16
"5",13,1984,0,0,0,0,0,5,0,0,0,3071,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14,0,0,0,1.56812512874603,0,0,0,1,0,0,0,25
"6",13,1985,0,0,1,0,0,6,0,0,0,2864,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.69989097118378,0,0,0,0,1,0,0,36
"7",13,1986,0,0,1,0,0,7,0,0,0,2994,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,-0.720262587070465,0,0,0,0,0,1,0,49
"8",13,1987,0,0,1,0,0,8,0,0,0,2640,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.66918790340424,0,0,0,0,0,0,1,64
"9",17,1980,0,0,0,0,0,4,0,0,0,2484,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.67596244812012,0,0,0,0,0,0,0,16
"10",17,1981,0,0,0,0,0,5,0,0,0,2804,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.51839816570282,1,0,0,0,0,0,0,25
"11",17,1982,0,0,0,0,0,6,0,0,0,2530,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.55919051170349,0,1,0,0,0,0,0,36
"12",17,1983,0,0,0,0,0,7,0,0,0,2340,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.72541010379791,0,0,1,0,0,0,0,49
"13",17,1984,0,0,0,0,0,8,0,0,0,2486,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.62202227115631,0,0,0,1,0,0,0,64
"14",17,1985,0,0,0,1,0,9,0,0,0,2164,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1.60858821868896,0,0,0,0,1,0,0,81
"15",17,1986,0,0,0,1,0,10,0,0,0,2749,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1.572385430336,0,0,0,0,0,1,0,100
"16",17,1987,0,0,0,1,0,11,0,0,0,2476,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,1.82033383846283,0,0,0,0,0,0,1,121
"17",18,1980,0,0,0,0,0,4,0,0,0,2332,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.5159627199173,0,0,0,0,0,0,0,16
"18",18,1981,0,0,0,0,0,5,0,0,0,2116,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.73537909984589,1,0,0,0,0,0,0,25
"19",18,1982,0,0,0,0,0,6,0,0,0,2500,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1.63174366950989,0,1,0,0,0,0,0,36
"20",18,1983,0,0,0,0,0,7,0,0,0,2474,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.99822878837585,0,0,1,0,0,0,0,49
"21",18,1984,0,0,0,0,0,8,0,0,0,2362,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.18401432037354,0,0,0,1,0,0,0,64
"22",18,1985,0,0,0,0,0,9,0,0,0,2340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.26666212081909,0,0,0,0,1,0,0,81
"23",18,1986,0,0,0,0,0,10,0,0,0,2340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.06994390487671,0,0,0,0,0,1,0,100
"24",18,1987,0,0,0,0,0,11,0,0,0,2340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.87316083908081,0,0,0,0,0,0,1,121
"25",45,1980,0,0,0,0,0,2,0,0,0,1864,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,1,1.89411497116089,0,0,0,0,0,0,0,4
"26",45,1981,0,0,0,0,0,3,0,0,0,2021,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,1,1.47115933895111,1,0,0,0,0,0,0,9
"27",45,1982,0,0,0,0,0,4,0,0,0,2274,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.47349750995636,0,1,0,0,0,0,0,16
"28",45,1983,0,0,0,0,0,5,0,0,0,2112,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.74091422557831,0,0,1,0,0,0,0,25
"29",45,1984,0,0,1,0,0,6,0,0,0,1920,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.8232136964798,0,0,0,1,0,0,0,36
"30",45,1985,0,0,0,0,0,7,0,0,0,2205,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.90827286243439,0,0,0,0,1,0,0,49
"31",45,1986,0,0,0,0,0,8,0,0,0,2551,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1.74244737625122,0,0,0,0,0,1,0,64
"32",45,1987,0,0,0,1,0,9,0,0,0,2860,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.13568902015686,0,0,0,0,0,0,1,81
"33",110,1980,0,0,0,0,0,5,0,0,0,2080,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,1,1.94877481460571,0,0,0,0,0,0,0,25
"34",110,1981,0,0,0,0,0,6,0,0,0,2080,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1.96225929260254,1,0,0,0,0,0,0,36
"35",110,1982,0,0,0,0,0,7,0,0,0,2639,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1.9632967710495,0,1,0,0,0,0,0,49
