"","year","pcrgdp","unem","cunem"
"1",1959,7.09999990463257,5.5,NA
"2",1960,2.5,5.5,0
"3",1961,2.29999995231628,6.69999980926514,1.19999980926514
"4",1962,6.09999990463257,5.5,-1.19999980926514
"5",1963,4.40000009536743,5.69999980926514,0.199999809265137
"6",1964,5.80000019073486,5.19999980926514,-0.5
"7",1965,6.40000009536743,4.5,-0.699999809265137
"8",1966,6.5,3.79999995231628,-0.700000047683716
"9",1967,2.5,3.79999995231628,0
"10",1968,4.80000019073486,3.59999990463257,-0.200000047683716
"11",1969,3.09999990463257,3.5,-0.0999999046325684
"12",1970,0.200000002980232,4.90000009536743,1.40000009536743
"13",1971,3.40000009536743,5.90000009536743,1
"14",1972,5.30000019073486,5.59999990463257,-0.300000190734863
"15",1973,5.80000019073486,4.90000009536743,-0.699999809265137
"16",1974,-0.5,5.59999990463257,0.699999809265137
"17",1975,-0.200000002980232,8.5,2.90000009536743
"18",1976,5.30000019073486,7.69999980926514,-0.800000190734863
"19",1977,4.59999990463257,7.09999990463257,-0.599999904632568
"20",1978,5.59999990463257,6.09999990463257,-1
"21",1979,3.20000004768372,5.80000019073486,-0.299999713897705
"22",1980,-0.200000002980232,7.09999990463257,1.29999971389771
"23",1981,2.5,7.59999990463257,0.5
"24",1982,-1.89999997615814,9.69999980926514,2.09999990463257
"25",1983,4.5,9.60000038146973,-0.0999994277954102
"26",1984,7.19999980926514,7.5,-2.10000038146973
"27",1985,4.09999990463257,7.19999980926514,-0.300000190734863
"28",1986,3.5,7,-0.199999809265137
"29",1987,3.40000009536743,6.19999980926514,-0.800000190734863
"30",1988,4.09999990463257,5.5,-0.699999809265137
"31",1989,3.5,5.30000019073486,-0.199999809265137
"32",1990,1.89999997615814,5.59999990463257,0.299999713897705
"33",1991,-0.200000002980232,6.80000019073486,1.20000028610229
"34",1992,3.29999995231628,7.5,0.699999809265137
"35",1993,2.70000004768372,6.90000009536743,-0.599999904632568
"36",1994,4,6.09999990463257,-0.800000190734863
"37",1995,2.5,5.59999990463257,-0.5
"38",1996,3.70000004768372,5.40000009536743,-0.199999809265137
"39",1997,4.5,4.90000009536743,-0.5
"40",1998,4.19999980926514,4.5,-0.400000095367432
"41",1999,4.5,4.19999980926514,-0.300000190734863
"42",2000,3.70000004768372,4,-0.199999809265137
"43",2001,0.800000011920929,4.80000019073486,0.800000190734863
"44",2002,1.60000002384186,5.80000019073486,1
"45",2003,2.5,6,0.199999809265137
"46",2004,3.90000009536743,5.5,-0.5
"47",2005,3.20000004768372,5.09999990463257,-0.400000095367432
