rownames,id,state,year,mrdrte,exec,unem,d90,d93,cmrdrte,cexec,cunem,cexec_1,cunem_1
1,1,AL,87,9.300000190734863,2,7.800000190734863,0,0,,,,,
2,1,AL,90,11.600000381469727,5,6.800000190734863,1,0,2.3000001907348633,3,-1,,
3,1,AL,93,11.600000381469727,2,7.5,0,1,0,-3,0.6999998092651367,3,-1
4,2,AK,87,10.100000381469727,0,10.800000190734863,0,0,,,,,
5,2,AK,90,7.5,0,6.900000095367432,1,0,-2.6000003814697266,0,-3.9000000953674316,,
6,2,AK,93,9,0,7.599999904632568,0,1,1.5,0,0.6999998092651367,0,-3.9000000953674316
7,3,AZ,87,7.5,0,6.199999809265137,0,0,,,,,
8,3,AZ,90,7.699999809265137,0,5.300000190734863,1,0,0.19999980926513672,0,-0.8999996185302734,,
9,3,AZ,93,8.600000381469727,3,6.199999809265137,0,1,0.9000005722045898,3,0.8999996185302734,0,-0.8999996185302734
10,4,AR,87,7.599999904632568,0,8.100000381469727,0,0,,,,,
11,4,AR,90,10.300000190734863,2,6.900000095367432,1,0,2.700000286102295,2,-1.200000286102295,,
12,4,AR,93,10.199999809265137,2,6.199999809265137,0,1,-0.10000038146972656,0,-0.7000002861022949,2,-1.200000286102295
13,5,CA,87,10.600000381469727,0,5.800000190734863,0,0,,,,,
14,5,CA,90,11.899999618530273,0,5.599999904632568,1,0,1.2999992370605469,0,-0.20000028610229492,,
15,5,CA,93,13.100000381469727,2,9.199999809265137,0,1,1.2000007629394531,2,3.5999999046325684,0,-0.20000028610229492
16,6,CO,87,5.800000190734863,0,7.699999809265137,0,0,,,,,
17,6,CO,90,4.199999809265137,0,4.900000095367432,1,0,-1.6000003814697266,0,-2.799999713897705,,
18,6,CO,93,5.800000190734863,0,5.199999809265137,0,1,1.6000003814697266,0,0.2999997138977051,0,-2.799999713897705
19,7,CT,87,4.900000095367432,0,3.299999952316284,0,0,,,,,
20,7,CT,90,5.099999904632568,0,5.099999904632568,1,0,0.19999980926513672,0,1.7999999523162842,,
21,7,CT,93,6.300000190734863,0,6.199999809265137,0,1,1.200000286102295,0,1.0999999046325684,0,1.7999999523162842
22,8,DE,87,5.099999904632568,0,3.200000047683716,0,0,,,,,
23,8,DE,90,5,0,5.099999904632568,1,0,-0.09999990463256836,0,1.8999998569488525,,
24,8,DE,93,5,0,5.300000190734863,0,1,0,0,0.20000028610229492,0,1.8999998569488525
25,9,DC,87,36.20000076293945,0,6.300000190734863,0,0,,,,,
26,9,DC,90,77.80000305175781,0,6.599999904632568,1,0,41.60000228881836,0,0.2999997138977051,,
27,9,DC,93,78.5,0,8.5,0,1,0.6999969482421875,0,1.9000000953674316,0,0.2999997138977051
28,10,FL,87,11.399999618530273,7,5.300000190734863,0,0,,,,,
29,10,FL,90,10.699999809265137,8,5.900000095367432,1,0,-0.6999998092651367,1,0.5999999046325684,,
30,10,FL,93,8.899999618530273,7,7,0,1,-1.8000001907348633,-1,1.0999999046325684,1,0.5999999046325684
31,11,GA,87,11.800000190734863,9,5.5,0,0,,,,,
32,11,GA,90,11.800000190734863,2,5.400000095367432,1,0,0,-7,-0.09999990463256836,,
33,11,GA,93,11.399999618530273,3,5.800000190734863,0,1,-0.40000057220458984,1,0.40000009536743164,-7,-0.09999990463256836
34,12,HI,87,4.800000190734863,0,3.799999952316284,0,0,,,,,
35,12,HI,90,4,0,2.799999952316284,1,0,-0.8000001907348633,0,-1,,
36,12,HI,93,3.799999952316284,0,4.199999809265137,0,1,-0.20000004768371582,0,1.3999998569488525,0,-1
37,13,ID,87,3.0999999046325684,0,8,0,0,,,,,
38,13,ID,90,2.700000047683716,0,5.800000190734863,1,0,-0.39999985694885254,0,-2.1999998092651367,,
39,13,ID,93,2.9000000953674316,0,6.099999904632568,0,1,0.20000004768371582,0,0.2999997138977051,0,-2.1999998092651367
40,14,IL,87,8.300000190734863,0,7.400000095367432,0,0,,,,,
41,14,IL,90,10.300000190734863,0,6.199999809265137,1,0,2,0,-1.200000286102295,,
42,14,IL,93,11.399999618530273,0,7.400000095367432,0,1,1.0999994277954102,0,1.200000286102295,0,-1.200000286102295
43,15,IN,87,5.599999904632568,1,6.400000095367432,0,0,,,,,
44,15,IN,90,6.199999809265137,0,5.300000190734863,1,0,0.5999999046325684,-1,-1.0999999046325684,,
45,15,IN,93,7.5,0,5.300000190734863,0,1,1.3000001907348633,0,0,-1,-1.0999999046325684
46,16,IA,87,2.0999999046325684,0,5.5,0,0,,,,,
47,16,IA,90,1.899999976158142,0,4.199999809265137,1,0,-0.19999992847442627,0,-1.3000001907348633,,
48,16,IA,93,2.299999952316284,0,4,0,1,0.3999999761581421,0,-0.19999980926513672,0,-1.3000001907348633
49,17,KS,87,4.400000095367432,0,4.900000095367432,0,0,,,,,
50,17,KS,90,4,0,4.400000095367432,1,0,-0.40000009536743164,0,-0.5,,
51,17,KS,93,6.400000095367432,0,5,0,1,2.4000000953674316,0,0.5999999046325684,0,-0.5
52,18,KY,87,7.5,0,8.800000190734863,0,0,,,,,
53,18,KY,90,7.199999809265137,0,5.800000190734863,1,0,-0.3000001907348633,0,-3,,
54,18,KY,93,6.599999904632568,0,6.199999809265137,0,1,-0.5999999046325684,0,0.39999961853027344,0,-3
55,19,LA,87,11.100000381469727,9,12,0,0,,,,,
56,19,LA,90,17.200000762939453,4,6.199999809265137,1,0,6.100000381469727,-5,-5.800000190734863,,
57,19,LA,93,20.299999237060547,2,7.400000095367432,0,1,3.0999984741210938,-2,1.200000286102295,-5,-5.800000190734863
58,20,ME,87,2.5,0,4.400000095367432,0,0,,,,,
59,20,ME,90,2.4000000953674316,0,5.099999904632568,1,0,-0.09999990463256836,0,0.6999998092651367,,
60,20,ME,93,1.600000023841858,0,7.900000095367432,0,1,-0.8000000715255737,0,2.8000001907348633,0,0.6999998092651367
61,21,MD,87,9.600000381469727,0,4.199999809265137,0,0,,,,,
62,21,MD,90,11.5,0,4.599999904632568,1,0,1.8999996185302734,0,0.40000009536743164,,
63,21,MD,93,12.699999809265137,0,6.199999809265137,0,1,1.1999998092651367,0,1.5999999046325684,0,0.40000009536743164
64,22,MA,87,3,0,3.200000047683716,0,0,,,,,
65,22,MA,90,4,0,6,1,0,1,0,2.799999952316284,,
66,22,MA,93,3.9000000953674316,0,6.900000095367432,0,1,-0.09999990463256836,0,0.9000000953674316,0,2.799999952316284
67,23,MI,87,12.199999809265137,0,8.199999809265137,0,0,,,,,
68,23,MI,90,10.399999618530273,0,7.099999904632568,1,0,-1.8000001907348633,0,-1.0999999046325684,,
69,23,MI,93,9.800000190734863,0,7,0,1,-0.5999994277954102,0,-0.09999990463256836,0,-1.0999999046325684
70,24,MN,87,2.5999999046325684,0,5.400000095367432,0,0,,,,,
71,24,MN,90,2.700000047683716,0,4.800000190734863,1,0,0.10000014305114746,0,-0.5999999046325684,,
72,24,MN,93,3.4000000953674316,0,5.099999904632568,0,1,0.7000000476837158,0,0.2999997138977051,0,-0.5999999046325684
73,25,MS,87,10.199999809265137,2,10.199999809265137,0,0,,,,,
74,25,MS,90,12.199999809265137,1,7.5,1,0,2,-1,-2.6999998092651367,,
75,25,MS,93,13.5,0,6.300000190734863,0,1,1.3000001907348633,-1,-1.1999998092651367,-1,-2.6999998092651367
76,26,MO,87,8.300000190734863,0,6.300000190734863,0,0,,,,,
