rownames,distid,intid,lunch,enrol,ptr,found,expp,revpp,avgsal,drop,grad,math4,math7,choice,psa,year,staff,avgben,y92,y93,y94,y95,y96,y97,y98,lexpp,lfound,lexpp_1,lfnd_1,lenrol,lenrolsq,lunchsq,lfndsq,math4_1,cmath4,gexpp,gexpp_1,gfound,gfnd_1,clunch,clnchsq,genrol,genrolsq,expp92,lexpp92,math4_92,cpi,rexpp,lrexpp,lrexpp_1,grexpp,grexpp_1
1,1010,4,36.29999923706055,1089,,,4227,,31854,7,75.19999694824219,28.799999237060547,43.400001525878906,,,1992,101.19999694824219,6098,1,0,0,0,0,0,0,8.349247932434082,,,,6.993015289306641,48.90226364135742,1317.68994140625,,,,,,,,,,,,,,,1.402999997138977,4835.591796875,8.483758926391602,,,
2,1010,4,39.20000076293945,1100,,,4809,,34361,10.100000381469727,64.69999694824219,32.29999923706055,49.29999923706055,,,1993,99.69999694824219,8532,0,1,0,0,0,0,0,8.47824478149414,,8.349247932434082,,7.003065586090088,49.04292678833008,1536.6400146484375,,28.799999237060547,3.5,0.1289968490600586,,,,2.9000015258789062,218.9500732421875,0.010050296783447266,0.14066314697265625,4227,8.349247932434082,28.799999237060547,1.4450000524520874,5341.484375,8.583258628845215,8.483758926391602,0.09949970245361328,
3,1010,4,38.599998474121094,1011,,,5214,,32351,12.300000190734863,58.599998474121094,39.099998474121094,36.5,,,1994,110.80000305175781,9983,0,0,1,0,0,0,0,8.559103012084961,,8.47824478149414,,6.918695449829102,47.86834716796875,1489.9598388671875,,32.29999923706055,6.799999237060547,0.08085823059082031,0.1289968490600586,,,-0.6000022888183594,-46.68017578125,-0.08437013626098633,-1.1745796203613281,4227,8.349247932434082,28.799999237060547,1.4819999933242798,5646.74072265625,8.638833999633789,8.583258628845215,0.05557537078857422,0.09949970245361328
4,1010,4,37.40999984741211,995,20.399999618530273,5245,6019,7186,44852,1.7300000190734863,94.80000305175781,68,54.70000076293945,,0,1995,,,0,0,0,1,0,0,0,8.702676773071289,8.565030097961426,8.559103012084961,,6.902742862701416,47.647857666015625,1399.508056640625,73.3597412109375,39.099998474121094,28.900001525878906,0.14357376098632812,0.08085823059082031,,,-1.1899986267089844,-90.4517822265625,-0.015952587127685547,-0.220489501953125,4227,8.349247932434082,28.799999237060547,1.5240000486373901,6338.9072265625,8.754461288452148,8.638833999633789,0.11562728881835938,0.05557537078857422
5,1010,4,40.790000915527344,1008,19.100000381469727,5398,6155,7374,46603,7.369999885559082,77.4000015258789,68.4000015258789,55.400001525878906,,0,1996,,,0,0,0,0,1,0,0,8.725020408630371,8.593783378601074,8.702676773071289,8.565030097961426,6.9157233238220215,47.82722854614258,1663.82421875,73.85311126708984,68,0.40000152587890625,0.02234363555908203,0.14357376098632812,0.028753280639648438,,3.3800010681152344,264.316162109375,0.012980461120605469,0.17937088012695312,4227,8.349247932434082,28.799999237060547,1.569000005722046,6296.2236328125,8.747705459594727,8.754461288452148,-0.006755828857421875,0.11562728881835938
6,1010,4,43.84000015258789,1066,20.700000762939453,5553,6134,6859,48170,5.800000190734863,77.5,49,48,0,,1997,,,0,0,0,0,0,1,0,8.721602439880371,8.622093200683594,8.725020408630371,8.593783378601074,6.971668720245361,48.604164123535156,1921.945556640625,74.34049224853516,68.4000015258789,-19.400001525878906,-0.00341796875,0.02234363555908203,0.02830982208251953,0.028753280639648438,3.049999237060547,258.121337890625,0.055945396423339844,0.7769355773925781,4227,8.349247932434082,28.799999237060547,1.6050000190734863,6134,8.721602439880371,8.747705459594727,-0.02610301971435547,-0.006755828857421875
7,1010,4,42.61000061035156,1058,21.200000762939453,5707,6476,7094,52033,10.5,65.19999694824219,75,65,0,,1998,,,0,0,0,0,0,0,1,8.775857925415039,8.64944839477539,8.721602439880371,8.622093200683594,6.964135646820068,48.499183654785156,1815.6121826171875,74.812957763671875,49,26,0.05425548553466797,-0.00341796875,0.027355194091796875,0.02830982208251953,-1.2299995422363281,-106.3333740234375,-0.007533073425292969,-0.10498046875,4227,8.349247932434082,28.799999237060547,1.6299999952316284,6376.6748046875,8.760401725769043,8.721602439880371,0.038799285888671875,-0.02610301971435547
8,2010,52,36.400001525878906,129,,,3445,,23353,,,30,,,,1992,86,6042,1,0,0,0,0,0,0,8.144679069519043,,,,4.859812259674072,23.617774963378906,1324.9600830078125,,,,,,,,,,,,,,,1.402999997138977,3941.00146484375,8.2791900634765625,,,
9,2010,52,38.599998474121094,126,,,3446,,27303,,,28.600000381469727,,,,1993,80.5,7136,0,1,0,0,0,0,0,8.14496898651123,,8.144679069519043,,4.836281776428223,23.38962173461914,1489.9598388671875,,30,-1.3999996185302734,2.899169921875e-4,,,,2.1999969482421875,164.999755859375,-0.02353048324584961,-0.22815322875976562,3445,8.144679069519043,30,1.4450000524520874,3827.56396484375,8.249983787536621,8.2791900634765625,-0.029206275939941406,
10,2010,52,52.599998474121094,126,,,3583,,19598,0,,37.5,0,,,1994,112.69999694824219,6276,0,0,1,0,0,0,0,8.183956146240234,,8.14496898651123,,4.836281776428223,23.38962173461914,2766.759765625,,28.600000381469727,8.899999618530273,0.038987159729003906,2.899169921875e-4,,,14,1276.7999267578125,0,0,3445,8.144679069519043,30,1.4819999933242798,3880.37451171875,8.2636871337890625,8.249983787536621,0.013703346252441406,-0.029206275939941406
