rownames,year,workstat,prestige,divorce,widowed,educ,reg16,babies,preteen,teens,income,region,attend,happy,owngun,tvhours,vhappy,mothfath16,black,gwbush04,female,blackfemale,gwbush00,occattend,regattend,y94,y96,y98,y00,y02,y04,y06,unem10
1,1994,keeping house,46,,iap,12,middle atlantic,2,3,0,$10000 - 14999,middle atlantic,sevrl times a yr,pretty happy,,2,0,1,1,,1,1,,1,0,1,0,0,0,0,0,0,1
2,1994,working fulltime,22,no,iap,12,foreign,0,0,0,,middle atlantic,every week,very happy,,3,1,0,1,,0,0,,0,0,1,0,0,0,0,0,0,0
3,1994,working fulltime,29,no,iap,12,foreign,0,0,0,$15000 - 19999,middle atlantic,more thn once wk,pretty happy,iap,1,0,0,1,,1,1,,0,1,1,0,0,0,0,0,0,
4,1994,working fulltime,42,yes,iap,8,foreign,0,0,0,$15000 - 19999,middle atlantic,once a year,not too happy,,3,0,0,0,,0,0,,0,0,1,0,0,0,0,0,0,1
5,1994,working parttime,36,,,13,middle atlantic,0,1,1,$10000 - 14999,middle atlantic,once a year,not too happy,iap,,0,0,1,,1,1,,0,0,1,0,0,0,0,0,0,0
6,1994,working parttime,43,,,15,middle atlantic,0,0,0,$25000 or more,middle atlantic,sevrl times a yr,pretty happy,iap,0,0,0,1,,1,1,,1,0,1,0,0,0,0,0,0,
7,1994,working fulltime,20,no,,9,middle atlantic,0,1,1,$20000 - 24999,middle atlantic,more thn once wk,not too happy,iap,10,0,1,0,,1,0,,0,1,1,0,0,0,0,0,0,
8,1994,working fulltime,44,,,12,foreign,0,0,0,$10000 - 14999,middle atlantic,more thn once wk,very happy,,4,1,1,1,,0,0,,0,1,1,0,0,0,0,0,0,0
9,1994,working fulltime,42,no,,12,foreign,2,1,0,$25000 or more,middle atlantic,sevrl times a yr,pretty happy,iap,2,0,0,1,,1,1,,1,0,1,0,0,0,0,0,0,
10,1994,working fulltime,46,,iap,12,middle atlantic,0,0,1,$15000 - 19999,middle atlantic,more thn once wk,pretty happy,iap,,0,1,1,,1,1,,0,1,1,0,0,0,0,0,0,1
11,1994,working fulltime,30,,,0,foreign,0,0,0,,middle atlantic,sevrl times a yr,pretty happy,,2,0,0,0,,1,0,,1,0,1,0,0,0,0,0,0,1
12,1994,working fulltime,75,,,19,middle atlantic,0,0,0,$25000 or more,middle atlantic,once a year,pretty happy,,2,0,1,0,,1,0,,0,0,1,0,0,0,0,0,0,0
13,1994,working fulltime,51,no,iap,16,foreign,0,0,0,$25000 or more,middle atlantic,sevrl times a yr,very happy,,2,1,1,0,,0,0,,1,0,1,0,0,0,0,0,0,0
14,1994,working fulltime,50,no,iap,16,middle atlantic,0,0,0,$25000 or more,middle atlantic,every week,very happy,iap,,1,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0
15,1994,working fulltime,73,,,18,south atlantic,0,0,0,$25000 or more,middle atlantic,once a month,pretty happy,iap,1,0,1,0,,0,0,,1,0,1,0,0,0,0,0,0,
16,1994,working fulltime,41,,,16,middle atlantic,0,0,0,$25000 or more,middle atlantic,once a year,pretty happy,iap,1,0,1,0,,1,0,,0,0,1,0,0,0,0,0,0,
17,1994,working fulltime,64,no,iap,18,middle atlantic,0,1,1,$25000 or more,middle atlantic,sevrl times a yr,pretty happy,,0,0,1,0,,1,0,,1,0,1,0,0,0,0,0,0,0
18,1994,keeping house,59,no,iap,16,e. nor. central,2,0,0,$25000 or more,middle atlantic,once a year,very happy,iap,3,1,0,0,,1,0,,0,0,1,0,0,0,0,0,0,
19,1994,retired,35,,,12,middle atlantic,0,0,0,,middle atlantic,sevrl times a yr,not too happy,yes,3,0,1,0,,0,0,,1,0,1,0,0,0,0,0,0,
