"","PlantNo","Block","RootDryMass","ShootDryMass","trt","fert","variety"
"1",1,1,56,132,"F10","F10","wt"
"2",2,1,66,120,"F10","F10","wt"
"3",3,1,40,108,"F10","F10","wt"
"4",4,1,43,134,"F10","F10","wt"
"5",5,1,55,119,"F10","F10","wt"
"6",6,1,66,125,"F10","F10","wt"
"7",7,2,41,98,"F10","F10","wt"
"8",8,2,67,122,"F10","F10","wt"
"9",9,2,40,114,"F10","F10","wt"
"10",10,2,35,82,"F10","F10","wt"
"11",11,2,44,37,"F10","F10","wt"
"12",12,2,41,109,"F10","F10","wt"
"13",1,1,12,45,"NH4Cl","NH4Cl","wt"
"14",2,1,20,60,"NH4Cl","NH4Cl","wt"
"15",3,1,21,87,"NH4Cl","NH4Cl","wt"
"16",4,1,15,57,"NH4Cl","NH4Cl","wt"
"17",5,1,5,26,"NH4Cl","NH4Cl","wt"
"18",6,1,18,78,"NH4Cl","NH4Cl","wt"
"19",7,2,18,45,"NH4Cl","NH4Cl","wt"
"20",8,2,7,40,"NH4Cl","NH4Cl","wt"
"21",9,2,9,44,"NH4Cl","NH4Cl","wt"
"22",10,2,6,32,"NH4Cl","NH4Cl","wt"
"23",11,2,13,55,"NH4Cl","NH4Cl","wt"
"24",12,2,7,34,"NH4Cl","NH4Cl","wt"
"25",1,1,12,71,"NH4NO3","NH4NO3","wt"
"26",2,1,18,78,"NH4NO3","NH4NO3","wt"
"27",3,1,17,87,"NH4NO3","NH4NO3","wt"
"28",4,1,23,80,"NH4NO3","NH4NO3","wt"
"29",5,1,21,92,"NH4NO3","NH4NO3","wt"
"30",6,1,23,129,"NH4NO3","NH4NO3","wt"
"31",7,2,14,48,"NH4NO3","NH4NO3","wt"
"32",8,2,14,60,"NH4NO3","NH4NO3","wt"
"33",9,2,12,46,"NH4NO3","NH4NO3","wt"
"34",10,2,23,74,"NH4NO3","NH4NO3","wt"
"35",11,2,11,51,"NH4NO3","NH4NO3","wt"
"36",12,2,20,64,"NH4NO3","NH4NO3","wt"
"37",1,1,6,8,"F10 +ANU843","F10","ANU843"
"38",2,1,4,6,"F10 +ANU843","F10","ANU843"
"39",3,1,4,3,"F10 +ANU843","F10","ANU843"
"40",4,1,7,1,"F10 +ANU843","F10","ANU843"
"41",5,1,5,7,"F10 +ANU843","F10","ANU843"
"42",6,1,6,5,"F10 +ANU843","F10","ANU843"
"43",7,2,6,10,"F10 +ANU843","F10","ANU843"
"44",8,2,5,17,"F10 +ANU843","F10","ANU843"
"45",9,2,7,3,"F10 +ANU843","F10","ANU843"
"46",10,2,3,5,"F10 +ANU843","F10","ANU843"
"47",11,2,12,15,"F10 +ANU843","F10","ANU843"
"48",12,2,7,8,"F10 +ANU843","F10","ANU843"
"49",1,1,4,22,"NH4Cl +ANU843","NH4Cl","ANU843"
"50",2,1,10,36,"NH4Cl +ANU843","NH4Cl","ANU843"
"51",3,1,9,54,"NH4Cl +ANU843","NH4Cl","ANU843"
"52",4,1,10,53,"NH4Cl +ANU843","NH4Cl","ANU843"
"53",5,1,8,42,"NH4Cl +ANU843","NH4Cl","ANU843"
"54",6,1,9,30,"NH4Cl +ANU843","NH4Cl","ANU843"
"55",7,2,1,35,"NH4Cl +ANU843","NH4Cl","ANU843"
"56",8,2,12,59,"NH4Cl +ANU843","NH4Cl","ANU843"
"57",9,2,8,38,"NH4Cl +ANU843","NH4Cl","ANU843"
"58",10,2,17,70,"NH4Cl +ANU843","NH4Cl","ANU843"
"59",11,2,8,59,"NH4Cl +ANU843","NH4Cl","ANU843"
"60",12,2,14,61,"NH4Cl +ANU843","NH4Cl","ANU843"
"61",1,1,19,75,"NH4NO3 +ANU843","NH4NO3","ANU843"
"62",2,1,18,75,"NH4NO3 +ANU843","NH4NO3","ANU843"
"63",3,1,21,96,"NH4NO3 +ANU843","NH4NO3","ANU843"
"64",4,1,7,59,"NH4NO3 +ANU843","NH4NO3","ANU843"
"65",5,1,17,96,"NH4NO3 +ANU843","NH4NO3","ANU843"
"66",6,1,18,100,"NH4NO3 +ANU843","NH4NO3","ANU843"
"67",7,2,16,75,"NH4NO3 +ANU843","NH4NO3","ANU843"
"68",8,2,11,68,"NH4NO3 +ANU843","NH4NO3","ANU843"
"69",9,2,6,35,"NH4NO3 +ANU843","NH4NO3","ANU843"
"70",10,2,11,53,"NH4NO3 +ANU843","NH4NO3","ANU843"
"71",11,2,7,47,"NH4NO3 +ANU843","NH4NO3","ANU843"
"72",12,2,15,79,"NH4NO3 +ANU843","NH4NO3","ANU843"
