"","name","year","month","day","hour","lat","long","status","category","wind","pressure","tropicalstorm_force_diameter","hurricane_force_diameter"
"1","Amy",1975,6,27,0,27.5,-79,"tropical depression","-1",25,1013,NA,NA
"2","Amy",1975,6,27,6,28.5,-79,"tropical depression","-1",25,1013,NA,NA
"3","Amy",1975,6,27,12,29.5,-79,"tropical depression","-1",25,1013,NA,NA
"4","Amy",1975,6,27,18,30.5,-79,"tropical depression","-1",25,1013,NA,NA
"5","Amy",1975,6,28,0,31.5,-78.8,"tropical depression","-1",25,1012,NA,NA
"6","Amy",1975,6,28,6,32.4,-78.7,"tropical depression","-1",25,1012,NA,NA
"7","Amy",1975,6,28,12,33.3,-78,"tropical depression","-1",25,1011,NA,NA
"8","Amy",1975,6,28,18,34,-77,"tropical depression","-1",30,1006,NA,NA
"9","Amy",1975,6,29,0,34.4,-75.8,"tropical storm","0",35,1004,NA,NA
"10","Amy",1975,6,29,6,34,-74.8,"tropical storm","0",40,1002,NA,NA
"11","Amy",1975,6,29,12,33.8,-73.8,"tropical storm","0",45,1000,NA,NA
"12","Amy",1975,6,29,18,33.8,-72.8,"tropical storm","0",50,998,NA,NA
"13","Amy",1975,6,30,0,34.3,-71.6,"tropical storm","0",50,998,NA,NA
"14","Amy",1975,6,30,6,35.6,-70.8,"tropical storm","0",55,998,NA,NA
"15","Amy",1975,6,30,12,35.9,-70.5,"tropical storm","0",60,987,NA,NA
"16","Amy",1975,6,30,18,36.2,-70.2,"tropical storm","0",60,987,NA,NA
"17","Amy",1975,7,1,0,36.2,-69.8,"tropical storm","0",60,984,NA,NA
"18","Amy",1975,7,1,6,36.2,-69.4,"tropical storm","0",60,984,NA,NA
"19","Amy",1975,7,1,12,36.2,-68.3,"tropical storm","0",60,984,NA,NA
"20","Amy",1975,7,1,18,36.7,-67.2,"tropical storm","0",60,984,NA,NA
"21","Amy",1975,7,2,0,37.4,-66.7,"tropical storm","0",60,984,NA,NA
"22","Amy",1975,7,2,6,37.3,-65.9,"tropical storm","0",60,984,NA,NA
"23","Amy",1975,7,2,12,37.3,-65.1,"tropical storm","0",60,981,NA,NA
"24","Amy",1975,7,2,18,37.3,-64.1,"tropical storm","0",60,986,NA,NA
"25","Amy",1975,7,3,0,37.7,-62.8,"tropical storm","0",55,986,NA,NA
"26","Amy",1975,7,3,6,38.2,-61.2,"tropical storm","0",55,986,NA,NA
"27","Amy",1975,7,3,12,39.3,-59.6,"tropical storm","0",55,986,NA,NA
"28","Amy",1975,7,3,18,40.5,-58,"tropical storm","0",50,986,NA,NA
"29","Amy",1975,7,4,0,42.5,-54.8,"tropical storm","0",50,986,NA,NA
"30","Amy",1975,7,4,6,44.5,-51.6,"tropical storm","0",50,986,NA,NA
"31","Caroline",1975,8,24,12,22.4,-69.8,"tropical depression","-1",25,1011,NA,NA
"32","Caroline",1975,8,24,18,21.9,-71.1,"tropical depression","-1",25,1011,NA,NA
"33","Caroline",1975,8,25,0,21.6,-72.5,"tropical depression","-1",25,1010,NA,NA
"34","Caroline",1975,8,25,6,21.2,-73.8,"tropical depression","-1",25,1010,NA,NA
"35","Caroline",1975,8,25,12,20.9,-75.1,"tropical depression","-1",25,1011,NA,NA
"36","Caroline",1975,8,25,18,20.6,-76.4,"tropical depression","-1",25,1011,NA,NA
"37","Caroline",1975,8,26,0,20.4,-77.7,"tropical depression","-1",25,1011,NA,NA
"38","Caroline",1975,8,26,6,20.3,-79,"tropical depression","-1",25,1011,NA,NA
"39","Caroline",1975,8,26,12,20.2,-80.3,"tropical depression","-1",25,1012,NA,NA
"40","Caroline",1975,8,26,18,20.2,-81.6,"tropical depression","-1",25,1012,NA,NA
"41","Caroline",1975,8,27,0,20.4,-82.8,"tropical depression","-1",25,1013,NA,NA
"42","Caroline",1975,8,27,6,20.8,-84,"tropical depression","-1",25,1013,NA,NA
"43","Caroline",1975,8,27,12,21.1,-85.1,"tropical depression","-1",25,1014,NA,NA
