"","Beds","InPatientDays","AllPatientDays","PatientRevenue","NurseSalaries","FacilitiesExpend","Rural"
"1",244,128,385,23521,5230,5334,0
"2",59,155,203,9160,2459,493,1
"3",120,281,392,21900,6304,6115,0
"4",120,291,419,22354,6590,6346,0
"5",120,238,363,17421,5362,6225,0
"6",65,180,234,10531,3622,449,1
"7",120,306,372,22147,4406,4998,1
"8",90,214,305,14025,4173,966,1
"9",96,155,169,8812,1955,1260,0
"10",120,133,188,11729,3224,6442,1
"11",62,148,192,8896,2409,1236,0
"12",120,274,426,20987,2066,3360,1
"13",116,154,321,17655,5946,4231,0
"14",59,120,164,7085,1925,1280,1
"15",80,261,284,13089,4166,1123,1
"16",120,338,375,21453,5257,5206,1
"17",80,77,133,7790,1988,4443,1
"18",100,204,318,18309,4156,4585,1
"19",60,97,213,8872,1914,1675,1
"20",110,178,280,17881,5173,5686,1
"21",120,232,336,17004,4630,907,0
"22",135,316,442,23829,7489,3351,0
"23",59,163,191,9424,2051,1756,1
"24",60,96,202,12474,3803,2123,0
"25",25,74,83,4078,2008,4531,1
"26",221,514,776,36029,1288,2543,1
"27",64,91,214,8782,4729,4446,1
"28",62,146,204,8951,2367,1064,0
"29",108,255,366,17446,5933,2987,1
"30",62,144,220,6164,2782,411,1
"31",90,151,286,2853,4651,4197,0
"32",146,100,375,21334,6857,1198,0
"33",62,174,189,8082,2143,1209,1
"34",30,54,88,3948,3025,137,1
"35",79,213,278,11649,2905,1279,0
"36",44,127,158,7850,1498,1273,1
"37",120,208,423,29035,6236,3524,0
"38",100,255,300,17532,3547,2561,1
"39",49,110,177,8197,2810,3874,1
"40",123,208,336,22555,6059,6402,1
"41",82,114,136,8459,1995,1911,1
"42",58,166,205,10412,2245,1122,1
"43",110,228,323,16661,4029,3893,1
"44",62,183,222,12406,2784,2212,1
"45",86,62,200,11312,3720,2959,1
"46",102,326,355,14499,3866,3006,1
"47",135,157,471,24274,7485,1344,0
"48",78,154,203,9327,3672,1242,1
"49",83,224,390,12362,3995,1484,1
"50",60,48,213,10644,2820,1154,0
"51",54,119,144,7556,2088,245,1
"52",120,217,327,20182,4432,6274,0
