"","Date","Price","Change","Volume"
"1","7/21/2016",99.43,NA,32.69
"2","7/22/2016",98.66,-0.77,28.218
"3","7/25/2016",97.34,-1.32,40.291
"4","7/26/2016",96.67,-0.67,53.455
"5","7/27/2016",102.95,6.28,92.144
"6","7/28/2016",104.34,1.39,38.772
"7","7/29/2016",104.21,-0.13,27.698
"8","8/1/2016",106.05,1.84,38.019
"9","8/2/2016",104.48,-1.57,33.77
"10","8/3/2016",105.79,1.31,30.148
"11","8/4/2016",105.87,0.08,26.782
"12","8/5/2016",107.48,1.61,39.547
"13","8/8/2016",108.37,0.89,28.01
"14","8/9/2016",108.81,0.44,26.296
"15","8/10/2016",108,-0.81,23.84
"16","8/11/2016",107.93,-0.07,27.46
"17","8/12/2016",108.18,0.25,18.649
"18","8/15/2016",109.48,1.3,25.704
"19","8/16/2016",109.38,-0.1,33.755
"20","8/17/2016",109.22,-0.16,25.329
"21","8/18/2016",109.08,-0.14,21.918
"22","8/19/2016",109.36,0.28,25.109
"23","8/22/2016",108.51,-0.85,25.784
"24","8/23/2016",108.85,0.34,21.237
"25","8/24/2016",108.03,-0.82,23.606
"26","8/25/2016",107.57,-0.46,25.002
"27","8/26/2016",106.94,-0.63,27.744
"28","8/29/2016",106.82,-0.12,24.9
"29","8/30/2016",106,-0.82,24.818
"30","8/31/2016",106.1,0.1,31.639
"31","9/1/2016",106.73,0.63,26.675
"32","9/2/2016",107.73,1,26.394
"33","9/6/2016",107.7,-0.03,26.645
"34","9/7/2016",108.36,0.66,42.25
"35","9/8/2016",105.52,-2.84,52.955
"36","9/9/2016",103.13,-2.39,46.462
"37","9/12/2016",105.44,2.31,45.115
"38","9/13/2016",107.95,2.51,62.08
"39","9/14/2016",111.77,3.82,111.187
"40","9/15/2016",115.57,3.8,90.398
"41","9/16/2016",114.92,-0.65,79.764
"42","9/19/2016",113.58,-1.34,46.937
"43","9/20/2016",113.57,-0.01,34.494
"44","9/21/2016",113.55,-0.02,35.952
"45","9/22/2016",114.62,1.07,31.048
"46","9/23/2016",112.71,-1.91,52.411
"47","9/26/2016",112.88,0.17,29.8
"48","9/27/2016",113.09,0.21,24.587
"49","9/28/2016",113.95,0.86,29.608
"50","9/29/2016",112.18,-1.77,35.85
"51","9/30/2016",113.05,0.87,36.341
"52","10/3/2016",112.52,-0.53,21.635
"53","10/4/2016",113,0.48,29.707
"54","10/5/2016",113.05,0.05,21.4
"55","10/6/2016",113.89,0.84,28.509
"56","10/7/2016",114.06,0.17,24.336
"57","10/10/2016",116.05,1.99,36.088
"58","10/11/2016",116.3,0.25,63.963
"59","10/12/2016",117.34,1.04,37.513
"60","10/13/2016",116.98,-0.36,35.042
"61","10/14/2016",117.63,0.65,35.626
"62","10/17/2016",117.55,-0.08,23.584
"63","10/18/2016",117.47,-0.08,24.308
"64","10/19/2016",117.12,-0.35,19.977
"65","10/20/2016",117.06,-0.06,24.1
"66","10/21/2016",116.6,-0.46,22.528
