"","ID","Weight","Volume","ThreeD","TwoD"
"1",1,12.92,13.04,5136699,47907
"2",2,11.4,11.71,4795151,41458
"3",3,17.42,17.42,6453115,60891
"4",4,6.79,7.23,2895239,29949
"5",5,9.62,10.03,3672746,41616
"6",6,15.5,15.59,5728880,48070
"7",7,9.66,9.94,3987582,34717
"8",8,7.02,7.53,2678423,27230
"9",9,12.56,12.73,5481545,52712
"10",10,12.49,12.66,5016762,41500
"11",11,10.12,10.53,3942783,31216
"12",12,10.64,10.84,4052638,41852
"13",13,12.99,13.12,5334558,44608
"14",14,8.09,8.48,3527926,35343
"15",15,14.09,14.24,5679636,47481
"16",16,10.73,11.11,4013992,40976
"17",17,15.17,15.35,5565995,65361
"18",18,15.5,15.44,6303198,50910
"19",19,5.22,5.67,1928109,22895
"20",20,7.75,8.26,3450164,34804
"21",21,10.71,10.95,4707532,37156
"22",22,7.91,7.97,3019077,29070
"23",23,6.93,7.34,2768160,24590
"24",24,13.63,13.21,4945743,48082
"25",25,7.67,7.83,3138463,32118
"26",26,11.27,11.38,4410797,45112
"27",27,10.98,11.22,4558251,37020
"28",28,8.87,9.25,3449867,39333
"29",29,13.68,13.75,5609681,51351
"30",30,14.27,14.37,5292105,53281
