"","Peak","Elevation","Difficulty","Ascent","Length","Time"
"1","Mt. Marcy  ",5344,5,3166,14.8,10
"2","Algonquin Peak ",5114,5,2936,9.6,9
"3","Mt. Haystack ",4960,7,3570,17.8,12
"4","Mt. Skylight ",4926,7,4265,17.9,15
"5","Whiteface Mtn. ",4867,4,2535,10.4,8.5
"6","Dix Mtn. ",4857,5,2800,13.2,10
"7","Gray Peak ",4840,7,4178,16,14
"8","Iroquois Peak ",4840,6,3250,11.6,8.5
"9","Basin Mtn. ",4827,6,3650,16.5,11
"10","Gothics ",4736,5,4070,10,9
"11","Mt. Colden ",4714,5,2850,15.2,10
"12","Giant Mtn. ",4627,4,3050,6,7.5
"13","Nippletop ",4620,5,4050,12.6,10
"14","Santanoni Peak ",4607,5,2860,11.4,10
"15","Mt. Redfield ",4606,7,3225,17.5,14
"16","Wright Peak ",4580,4,2400,7,7
"17","Saddleback Mtn. ",4515,5,2990,13.4,10
"18","Panther Peak ",4442,6,3762,17.6,13.5
"19","Tabletop Mtn. ",4427,5,3660,15.2,13
"20","Rocky Peak Ridge ",4420,6,4500,13.4,11
"21","Macomb Mtn. ",4405,5,2344,8.4,8
"22","Armstrong Mtn. ",4400,5,3734,12.7,11
"23","Hough Peak ",4400,6,3200,13.7,11
"24","Seward Mtn. ",4361,7,3490,16,17
"25","Mt. Marshall ",4360,6,2575,14,11
"26","Allen Mtn. ",4340,7,2540,16.2,13
"27","Big Slide Mtn. ",4240,4,2800,9.4,8
"28","Esther Mtn. ",4240,4,3020,9.4,7.5
"29","Upper Wolfjaw ",4185,5,3619,12.7,11
"30","Lower Wolfjaw ",4175,4,2825,8.7,8
"31","Street Mtn. ",4166,6,2115,8.8,9.5
"32","Phelps Mtn. ",4161,5,3394,10,9
"33","Mt. Donaldson ",4140,7,3490,17,17
"34","Seymour Mtn. ",4120,6,2370,14,11
"35","Sawteeth ",4100,4,2975,11.8,9
"36","Cascade Mtn. ",4098,2,1940,4.8,5
"37","South Dix ",4060,6,3050,11.5,12
"38","Porter Mtn. ",4059,3,2700,7.6,5.5
"39","Mt. Colvin ",4057,4,2130,10.8,10
"40","Mt. Emmons ",4040,7,3490,18,18
"41","Dial Mtn. ",4020,5,3450,10,9
"42","East Dix ",4012,6,3002,12.5,12
"43","Blake ",3960,4,3270,13.6,12
"44","Cliff Mtn. ",3960,6,2160,17.2,12
"45","Nye Mtn. ",3895,6,1844,7.5,8.5
"46","Couchsachraga Peak ",3820,6,3140,15,12
