"","Mated","Alone","Mating","Total","Size","Lifespan","Activity"
"1","n","y",0,0,0.84,34.5375,4072
"2","n","n",0,0,0.79,24.375,3147
"3","n","n",0,0,0.87,41.60277778,2789
"4","n","n",0,0,0.79,26.41944444,4059
"5","n","y",0,0,0.76,40.93611111,3747
"6","n","n",0,0,0.67,45.925,4846
"7","n","n",0,0,0.74,44.27222222,2546
"8","n","y",0,0,0.85,18.53611111,1687
"9","n","y",0,0,0.81,27.73333333,3157
"10","n","y",0,0,0.78,29.60416667,2788
"11","n","y",0,0,0.77,36.38611111,5285
"12","n","y",0,0,0.8,36.69583333,4051
"13","y","y",4,3427,0.82,29.96111111,3392
"14","y","n",5,3977,0.79,32.97916667,4092
"15","y","n",5,4093,0.78,26.1125,3539
"16","y","n",5,4596,0.75,42.46388889,4309
"17","y","n",4,3678,0.83,20.47638889,2079
"18","y","y",4,2498,0.85,27.15972222,3848
"19","y","y",4,2441,0.72,40.70138889,4387
"20","y","n",3,2089,0.63,20.09027778,1509
"21","y","n",5,3491,0.71,23.73333333,2345
"22","y","y",5,3056,0.76,30.46666667,3076
"23","y","y",4,3455,0.74,29.57777778,3812
"24","y","y",4,3116,0.82,30.36666667,4113
"25","y","y",5,3645,0.71,30.14027778,4821
"26","n","y",0,0,0.77,23.14027778,3720
"27","n","y",0,0,0.78,24.775,3397
"28","n","y",0,0,0.82,26.41666667,2571
"29","n","y",0,0,0.73,27.20555556,3720
"30","n","y",0,0,0.85,33.60277778,2489
"31","n","y",0,0,0.69,27.99305556,3164
"32","n","n",0,0,0.84,68.73333333,3417
"33","n","n",0,0,0.86,36.06111111,5051
"34","n","n",0,0,0.86,52.55694444,3531
"35","n","n",0,0,0.79,30.80416667,3992
"36","n","n",0,0,0.73,31.90277778,2542
"37","n","n",0,0,0.84,32.80138889,4425
"38","n","n",0,0,0.89,37.89861111,6566
"39","n","n",0,0,0.83,21.34166667,3657
"40","y","y",5,3829,0.77,26.88888889,3494
"41","y","y",5,3476,0.82,28.17222222,3193
"42","y","y",5,3102,0.71,23.29027778,2798
"43","y","y",5,3640,0.81,34.06944444,3542
"44","y","y",5,4044,0.75,27.17361111,2794
"45","y","y",5,3476,0.86,30.79166667,3096
"46","y","y",5,3532,0.84,24.78611111,3332
"47","y","n",5,3876,0.78,30.21666667,3011
"48","y","n",5,4265,0.73,25.31388889,2501
"49","y","n",5,3697,0.65,18.41111111,2335
"50","y","n",5,4039,0.9,24.34583333,3412
"51","y","n",5,3681,0.76,31.46388889,3221
"52","y","n",4,3698,0.79,32.68055556,4331
"53","y","n",4,3373,0.8,21.54583333,2557
"54","n","y",0,0,0.8,30.90555556,2968
"55","n","y",0,0,0.79,32.02777778,4476
"56","n","y",0,0,0.75,27.35555556,2879
"57","n","y",0,0,0.84,37.08472222,4540
"58","n","y",0,0,0.85,43.26111111,3926
"59","n","y",0,0,0.79,28.98888889,2901
"60","n","n",0,0,0.7,41.72361111,4129
"61","n","n",0,0,0.74,25.22777778,2495
"62","n","n",0,0,0.78,29.76111111,3278
"63","n","n",0,0,0.8,32.97916667,4761
"64","n","n",0,0,0.72,30.81944444,3170
"65","n","n",0,0,0.77,15.40277778,1229
"66","n","n",0,0,0.69,51.12222222,5865
"67","n","y",0,0,0.87,40.45416667,4298
"68","y","y",5,3101,0.84,32.34027778,3772
"69","y","y",5,3429,0.76,31.3,5757
"70","y","y",5,2721,0.89,25.1875,3112
"71","y","y",5,3152,0.81,21.70277778,2236
"72","y","y",5,3673,0.74,36.39722222,3949
"73","y","y",5,3030,0.83,31.79722222,2064
"74","y","y",5,3291,0.71,32.27916667,4457
"75","y","y",5,3268,0.73,26.50833333,2631
"76","y","n",5,3553,0.69,34.72777778,4976
"77","y","n",5,3922,0.82,30.71666667,3319
"78","y","n",5,4132,0.79,31.88472222,2726
"79","y","n",5,4340,0.91,25.16944444,3077
"80","y","n",5,3215,0.77,32.125,3503
"81","y","n",5,4167,0.73,35.08888889,3536
"82","y","n",5,3180,0.84,31.70416667,2959
"83","n","n",0,0,0.7,21.58611111,2926
"84","n","y",0,0,0.76,30.45833333,3323
"85","n","y",0,0,0.65,34.69166667,5818
"86","n","y",0,0,0.8,25.57638889,2534
"87","n","y",0,0,0.75,14.69305556,1323
"88","n","y",0,0,0.8,32.56111111,3287
"89","n","n",0,0,0.79,41.44444444,2976
"90","n","n",0,0,0.7,39.44305556,3684
"91","n","n",0,0,0.8,36.70416667,2985
"92","n","n",0,0,0.72,41.93611111,4054
"93","n","n",0,0,0.8,45.66666667,3455
"94","n","n",0,0,0.82,18.57361111,2068
"95","n","n",0,0,0.73,31.425,2683
"96","n","n",0,0,0.64,32.46527778,3131
"97","y","y",5,2963,0.74,22.16805556,1815
"98","y","y",5,3605,0.69,32.74861111,4219
"99","y","y",5,3316,0.87,34.375,5063
"100","y","y",5,3394,0.8,34.35694444,4089
"101","y","y",5,3102,0.7,40.23333333,4379
"102","y","y",5,3238,0.73,32.50694444,2552
"103","y","n",5,3299,0.82,32.28472222,3154
"104","y","n",5,3790,0.87,28.28333333,1772
"105","y","n",5,3940,0.85,35.07083333,1921
"106","y","n",5,4014,0.76,18.91527778,2125
"107","y","n",5,3708,0.79,31.70555556,2950
"108","y","n",5,3653,0.74,29.13888889,2815
"109","y","n",5,3953,0.74,30.65,3927
"110","y","n",5,4089,0.72,42.77777778,5372
"111","n","y",0,0,0.8,27.22916667,3376
"112","n","y",0,0,0.65,39.16111111,6804
"113","n","y",0,0,0.84,35.65277778,3995
"114","n","y",0,0,0.79,29.92083333,2197
"115","n","y",0,0,0.83,33.42222222,2496
"116","n","y",0,0,0.73,25.45277778,2348
"117","n","y",0,0,0.76,29.31527778,3627
"118","n","y",0,0,0.7,40.86944444,5457
"119","n","n",0,0,0.89,36.3,4940
"120","n","n",0,0,0.68,31.81388889,2634
"121","n","n",0,0,0.85,27.25972222,3361
"122","n","n",0,0,0.82,28.31666667,3624
"123","n","n",0,0,0.84,39.51805556,4901
"124","n","n",0,0,0.8,30.82222222,4185
"125","n","n",0,0,0.83,38.04166667,4176
"126","n","n",0,0,0.77,37.53333333,2221
"127","y","y",5,3534,0.72,35.65972222,3496
"128","y","y",5,3406,0.81,26.59305556,2218
"129","y","y",5,3273,0.83,28.4875,3111
"130","y","y",5,3686,0.69,33.39583333,4141
"131","y","y",5,3368,0.71,29.74305556,4231
"132","y","y",5,3543,0.76,25.36388889,2630
"133","y","y",5,3399,0.77,22.45277778,2762
"134","y","y",5,3186,0.8,35.38472222,4546
"135","y","n",5,3564,0.79,34.45833333,3505
"136","y","n",5,4529,0.78,31.15972222,3729
"137","y","n",5,3784,0.75,32.45277778,3715
"138","y","n",5,4231,0.67,41.39305556,4080
"139","y","n",5,3728,0.58,36.41527778,2892
"140","y","n",3,2438,0.73,45.4125,5921
"141","n","y",0,0,0.79,38.28194444,4755
"142","n","y",0,0,0.77,27.41111111,3108
"143","n","y",0,0,0.8,34.12916667,4543
"144","n","y",0,0,0.82,35.28472222,4329
"145","n","y",0,0,0.84,30.87361111,5498
"146","n","y",0,0,0.76,30.55972222,4202
"147","n","y",0,0,0.84,34.39861111,2200
"148","n","y",0,0,0.81,37.26805556,5378
"149","n","n",0,0,0.65,33.90277778,3974
"150","n","n",0,0,0.75,35.04722222,3347
"151","n","n",0,0,0.72,36.63888889,5933
"152","n","n",0,0,0.74,38.75555556,4058
"153","n","n",0,0,0.81,37.33194444,4967
"154","n","n",0,0,0.69,44.60694444,3823
"155","n","n",0,0,0.78,45.09027778,5627
"156","n","n",0,0,0.88,31.21805556,3602
"157","y","y",5,3495,0.84,36.88472222,4380
"158","y","y",5,3361,0.75,41.48611111,4834
"159","y","y",4,2773,0.78,33.86666667,3746
"160","y","y",5,3408,0.87,32.23611111,3374
"161","y","y",5,3437,0.69,21.93888889,1995
"162","y","y",5,3413,0.76,57.125,4744
"163","y","y",3,2406,0.79,40.19722222,2746
"164","y","y",5,3385,0.66,39.89861111,3288
"165","y","n",5,3935,0.75,42.01111111,4990
"166","y","n",5,4383,0.73,32.41805556,3953
"167","y","n",5,4701,0.77,33.17777778,2954
"168","y","n",5,3613,0.72,27.20555556,2603
"169","y","n",5,3778,0.84,29.89444444,2447
"170","y","n",5,3609,0.65,33.8625,3496
"171","y","n",5,4199,0.74,29.33472222,3694
"172","n","y",0,0,0.73,28.03472222,3107
"173","n","y",0,0,0.7,31.90833333,2765
"174","n","y",0,0,0.75,26.08055556,3612
"175","n","y",0,0,0.79,35.21666667,3247
"176","n","y",0,0,0.75,26.29722222,3745
"177","n","y",0,0,0.81,39.66944444,4673
"178","n","y",0,0,0.69,27.48888889,3778
"179","n","n",0,0,0.8,39.125,2601
"180","n","n",0,0,0.74,20.1,1700
"181","n","n",0,0,0.72,34.69722222,3010
"182","n","n",0,0,0.79,32.51944444,2426
"183","n","n",0,0,0.69,41.48472222,5954
"184","n","n",0,0,0.81,29.79583333,3243
"185","n","n",0,0,0.84,35.48611111,4121
"186","n","n",0,0,0.82,35.025,4408
"187","y","y",5,3354,0.75,31.575,5248
"188","y","y",5,3148,0.7,30.95138889,2641
"189","y","y",5,2442,0.79,36.54305556,4759
"190","y","y",5,3375,0.61,28.71527778,3649
"191","y","y",5,2900,0.75,33.79583333,3596
"192","y","y",5,3382,0.64,22.50277778,1901
"193","y","y",5,3168,0.69,19.57777778,1820
"194","y","y",5,3409,0.63,39.40138889,3731
"195","y","n",5,3800,0.76,33.38888889,3353
"196","y","n",5,3488,0.78,32.84305556,3664
"197","y","n",5,3531,0.8,30.45,2804
"198","y","n",5,4414,0.84,34.40416667,3512
"199","y","n",5,4687,0.86,26.75833333,2555
"200","y","n",5,3162,0.82,28.44722222,1822
"201","y","n",4,2997,0.74,55.25833333,3551
