"","Year","Month","Traffic","t"
"1",2003,1,511.4,1
"2",2003,2,468.7,2
"3",2003,3,551.4,3
"4",2003,4,511.9,4
"5",2003,5,606,5
"6",2003,6,661.9,6
"7",2003,7,797.7,7
"8",2003,8,840.6,8
"9",2003,9,632.9,9
"10",2003,10,637.8,10
"11",2003,11,538.5,11
"12",2003,12,493.4,12
"13",2004,1,442.3,13
"14",2004,2,495.5,14
"15",2004,3,556.8,15
"16",2004,4,536.3,16
"17",2004,5,584.9,17
"18",2004,6,639.8,18
"19",2004,7,750.5,19
"20",2004,8,778.4,20
"21",2004,9,617.6,21
"22",2004,10,555.4,22
"23",2004,11,502.3,23
"24",2004,12,473.8,24
"25",2005,1,440.9,25
"26",2005,2,445.3,26
"27",2005,3,533.7,27
"28",2005,4,515.1,28
"29",2005,5,587.4,29
"30",2005,6,638.7,30
"31",2005,7,782.7,31
"32",2005,8,787.3,32
"33",2005,9,601.6,33
"34",2005,10,567.2,34
"35",2005,11,514.5,35
"36",2005,12,490.2,36
"37",2006,1,477,37
"38",2006,2,449.9,38
"39",2006,3,557.8,39
"40",2006,4,540.1,40
"41",2006,5,594.2,41
"42",2006,6,620.3,42
"43",2006,7,765,43
"44",2006,8,770.3,44
"45",2006,9,580.5,45
"46",2006,10,522.1,46
"47",2006,11,503,47
"48",2006,12,482.8,48
"49",2007,1,441.9,49
"50",2007,2,399,50
"51",2007,3,513.9,51
"52",2007,4,486.1,52
"53",2007,5,551,53
"54",2007,6,606.8,54
"55",2007,7,718.2,55
"56",2007,8,753.3,56
"57",2007,9,575.7,57
"58",2007,10,582.1,58
"59",2007,11,533.4,59
"60",2007,12,462.3,60
"61",2008,1,436.5,61
"62",2008,2,423.3,62
"63",2008,3,514.2,63
"64",2008,4,476.9,64
"65",2008,5,546.7,65
"66",2008,6,568,66
"67",2008,7,688.1,67
"68",2008,8,737.6,68
"69",2008,9,535.3,69
"70",2008,10,529.8,70
"71",2008,11,461.6,71
"72",2008,12,420.5,72
"73",2009,1,381.6,73
"74",2009,2,388.3,74
"75",2009,3,467,75
"76",2009,4,451.9,76
"77",2009,5,513.4,77
"78",2009,6,490.7,78
"79",2009,7,619.9,79
"80",2009,8,662.9,80
"81",2009,9,523.6,81
"82",2009,10,495.6,82
"83",2009,11,459.1,83
"84",2009,12,440.2,84
"85",2010,1,388.9,85
"86",2010,2,366.6,86
"87",2010,3,485,87
"88",2010,4,470.3,88
"89",2010,5,502.8,89
"90",2010,6,519.8,90
"91",2010,7,644.7,91
"92",2010,8,672.5,92
"93",2010,9,520.1,93
"94",2010,10,512.7,94
"95",2010,11,474.4,95
"96",2010,12,448.7,96
"97",2011,1,399.3,97
"98",2011,2,381,98
"99",2011,3,470.2,99
"100",2011,4,471.7,100
"101",2011,5,505.3,101
"102",2011,6,535.4,102
"103",2011,7,653,103
"104",2011,8,662,104
"105",2011,9,528.6,105
"106",2011,10,502.1,106
"107",2011,11,471.5,107
"108",2011,12,465.2,108
"109",2012,1,403.2,109
"110",2012,2,409.9,110
"111",2012,3,491.7,111
"112",2012,4,470.3,112
"113",2012,5,506.2,113
"114",2012,6,541.2,114
"115",2012,7,636.9,115
"116",2012,8,671.5,116
"117",2012,9,508.1,117
"118",2012,10,491.9,118
"119",2012,11,458.6,119
"120",2012,12,441.6,120
"121",2013,1,401.9,121
"122",2013,2,386.3,122
"123",2013,3,482.3,123
"124",2013,4,461.4,124
"125",2013,5,510.4,125
"126",2013,6,527.5,126
"127",2013,7,623.2,127
"128",2013,8,651.9,128
"129",2013,9,499.6,129
"130",2013,10,494.6,130
"131",2013,11,451,131
"132",2013,12,427.4,132
"133",2014,1,370,133
"134",2014,2,364.7,134
"135",2014,3,442.3,135
"136",2014,4,442.5,136
"137",2014,5,486.4,137
"138",2014,6,512.6,138
"139",2014,7,595.3,139
"140",2014,8,633.4,140
"141",2014,9,478.8,141
"142",2014,10,484.1,142
"143",2014,11,379.6,143
"144",2014,12,419.1,144
"145",2015,1,357.2,145
"146",2015,2,328.7,146
"147",2015,3,428.9,147
"148",2015,4,417.7,148
"149",2015,5,461.4,149
"150",2015,6,484.9,150
"151",2015,7,592.8,151
"152",2015,8,598.6,152
"153",2015,9,476.9,153
"154",2015,10,457.9,154
"155",2015,11,401.3,155
"156",2015,12,395.9,156
