"","ID","Source","Depth","Iridium"
"1",1,"Limestone",345,75
"2",2,"Limestone",345,20
"3",3,"Limestone",346,120
"4",4,"Limestone",346,210
"5",5,"Limestone",347,290
"6",6,"Limestone",347,450
"7",7,"Limestone",347,620
"8",8,"Limestone",348,170
"9",9,"Limestone",348,205
"10",10,"Limestone",348,260
"11",11,"Limestone",349,120
"12",12,"Limestone",349,135
"13",13,"Limestone",350,5
"14",14,"Limestone",350,90
"15",15,"Limestone",350,105
"16",16,"Shale",345,110
"17",17,"Shale",345,501
"18",18,"Shale",346,315
"19",19,"Shale",347,710
"20",20,"Shale",347,875
"21",21,"Shale",348,400
"22",22,"Shale",349,120
"23",23,"Shale",349,130
"24",24,"Shale",349,135
"25",25,"Shale",349,10
"26",26,"Shale",349,290
"27",27,"Shale",350,145
"28",28,"Shale",350,215
