"","Attendance","Average","Sex","Day1","LastDay","Improvement","Improve"
"1",21,229.619,"m",195,226,31,1
"2",20,188.9,"m",140,251,111,1
"3",20,91.65,"f",51,142,91,1
"4",22,188.227,"m",133,255,122,1
"5",21,162.048,"m",151,182,31,1
"6",21,169.952,"m",201,253,52,1
"7",21,95.381,"m",42,184,142,1
"8",22,116.5,"f",62,85,23,1
"9",19,188.368,"m",174,191,17,1
"10",22,122.727,"f",56,168,112,1
"11",22,123.818,"f",86,173,87,1
"12",20,97.5,"f",86,131,45,1
"13",22,95.5,"f",109,99,-10,0
"14",21,165.143,"m",141,183,42,1
"15",21,193.762,"m",174,173,-1,0
"16",20,98.4,"f",51,49,-2,0
"17",16,158.625,"m",164,232,68,1
"18",22,66.818,"f",16,78,62,1
