"","Year","Extent","Area","t"
"1",1979,7.22,4.54,1
"2",1980,7.86,4.83,2
"3",1981,7.25,4.38,3
"4",1982,7.45,4.38,4
"5",1983,7.54,4.64,5
"6",1984,7.11,4.04,6
"7",1985,6.93,4.18,7
"8",1986,7.55,4.67,8
"9",1987,7.51,5.61,9
"10",1988,7.53,5.32,10
"11",1989,7.08,4.83,11
"12",1990,6.27,4.51,12
"13",1991,6.59,4.47,13
"14",1992,7.59,5.38,14
"15",1993,6.54,4.53,15
"16",1994,7.24,5.09,16
"17",1995,6.18,4.39,17
"18",1996,7.91,5.6,18
"19",1997,6.78,4.85,19
"20",1998,6.62,4.26,20
"21",1999,6.29,4.24,21
"22",2000,6.36,4.32,22
"23",2001,6.78,4.56,23
"24",2002,5.98,3.99,24
"25",2003,6.18,4.02,25
"26",2004,6.08,4.36,26
"27",2005,5.59,4.04,27
"28",2006,5.95,3.98,28
"29",2007,4.32,2.79,29
"30",2008,4.73,3.22,30
"31",2009,5.39,3.72,31
"32",2010,4.93,3.29,32
"33",2011,4.63,3.18,33
"34",2012,3.63,2.37,34
"35",2013,5.35,3.75,35
"36",2014,5.29,3.7,36
"37",2015,4.68,3.37,37
