rownames,respondent_id,gender,age,height,children_under_18,household_income,education,location,frequency,recline_frequency,recline_obligation,recline_rude,recline_eliminate,switch_seats_friends,switch_seats_family,wake_up_bathroom,wake_up_walk,baby,unruly_child,two_arm_rests,middle_arm_rest,shade,unsold_seat,talk_stranger,get_up,electronics,smoked
1,3436139758,,,,,,,,Once a year or less,,,,,,,,,,,,,,,,,,
2,3434278696,Male,30-44,"6'3""",TRUE,,Graduate degree,Pacific,Once a year or less,About half the time,TRUE,Somewhat,FALSE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE
3,3434275578,Male,30-44,"5'8""",FALSE,"$100,000 - $149,999",Bachelor degree,Pacific,Once a year or less,Usually,TRUE,No,FALSE,No,No,No,Somewhat,Somewhat,Very,Whoever puts their arm on the arm rest first,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE
4,3434268208,Male,30-44,"5'11""",FALSE,"$0 - $24,999",Bachelor degree,Pacific,Once a year or less,Always,FALSE,No,FALSE,Somewhat,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE
5,3434250245,Male,30-44,"5'7""",FALSE,"$50,000 - $99,999",Bachelor degree,Pacific,Once a month or less,About half the time,FALSE,No,FALSE,No,No,Somewhat,Somewhat,Somewhat,Very,The person in the middle seat gets both arm rests,The person in aisle,Everyone in the row should have some say,No,No,Twice,TRUE,FALSE
6,3434245875,Male,30-44,"5'9""",TRUE,"$25,000 - $49,999",Graduate degree,East North Central,Once a year or less,Usually,TRUE,No,FALSE,Somewhat,No,Somewhat,Very,Very,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,Somewhat,No,Once,FALSE,FALSE
7,3434235351,Male,30-44,"6'2""",TRUE,,Some college or Associate degree,Pacific,Once a month or less,Once in a while,FALSE,Somewhat,TRUE,Somewhat,No,No,No,No,Somewhat,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,Somewhat,Twice,FALSE,FALSE
8,3434218031,Male,30-44,"6'0""",TRUE,"$0 - $24,999",Bachelor degree,New England,Once a year or less,Once in a while,TRUE,No,TRUE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Four times,FALSE,FALSE
9,3434213681,,,"6'0""",TRUE,,,,Once a year or less,Once in a while,TRUE,No,TRUE,,,,,,,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Four times,,
10,3434172894,Male,30-44,"5'6""",FALSE,"$0 - $24,999",Bachelor degree,Pacific,Once a year or less,Never,TRUE,Very,TRUE,Very,Very,Very,Very,Very,Very,Other (please specify),Other (please specify),Everyone in the row should have some say,Very,Very,It is not okay to get up during flight,FALSE,FALSE
11,3434165659,Male,30-44,"6'0""",FALSE,"$50,000 - $99,999",High school degree,Mountain,Once a month or less,Usually,TRUE,No,FALSE,No,No,Somewhat,Very,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Very,No,Four times,FALSE,FALSE
12,3434164339,,,,,,,,Once a year or less,,,,,,,,,,,,,,,,,,
