rownames,state,governor,party,filename,url
1,Alabama,Kay Ivey,R,Alabama_SOTS.txt,https://governor.alabama.gov/remarks-speeches/2019-state-of-the-state-address/
2,Alaska,Mike Dunleavy,R,Alaska_SOTS.txt,https://gov.alaska.gov/newsroom/2019/01/22/2019-state-of-the-state-address/
3,Arizona,Doug Ducey,R,Arizona_SOTS.txt,https://azgovernor.gov/governor/news/2019/01/governor-ducey-delivers-state-state-address
4,Arkansas,Asa Hutchinson,R,Arkansas_SOTS.txt,https://governor.arkansas.gov/news-media/speeches/2019-state-of-the-state
5,California,Gavin Newsom,D,California_SOTS.txt,https://www.gov.ca.gov/2019/02/12/state-of-the-state-address/
6,Colorado,Jared Polis,D,Colorado_SOTS.txt,http://www.cpr.org/news/story/2019-polis-colorado-state-of-the-state
7,Connecticut,Ned Lamont,D,Connecticut_SOTS.txt,https://portal.ct.gov/Office-of-the-Governor/News/Speeches/Governor-Lamont-2019-State-of-the-State-Address?platform=hootsuite
8,Delaware,John Carney,D,Delaware_SOTS.txt,https://governor.delaware.gov/wp-content/uploads/sites/24/2019/01/State-of-the-State-01172019.pdf
9,Florida,Ron DeSantis,R,Florida_SOTS.txt,https://www.flgov.com/2019/03/05/governor-desantis-state-of-the-state-address/
10,Georgia,Brian Kemp,R,Georgia_SOTS.txt,https://www.11alive.com/article/news/governor-brian-kemp-issues-first-state-of-the-state-address-read-full-transcript/85-7af10d01-6c5b-40cd-b991-2d11ac43d5ea
11,Hawaii,David Ige,D,Hawaii_SOTS.txt,https://governor.hawaii.gov/wp-content/uploads/2019/01/2019-State-of-the-State-Address-by-Governor-David-Ige.pdf
12,Idaho,Brad Little,R,Idaho_SOTS.txt,https://gov.idaho.gov/wp-content/uploads/sites/74/2019/01/2019-sos.pdf
13,Illinois,JB Pritzker,D,Illinois_Both.txt,https://www2.illinois.gov/sites/gov/newsroom/Documents/01.14.19InauguralSpeech.pdf
14,Indiana,Eric Holcomb,R,Indiana_SOTS.txt,https://www.in.gov/gov/3027.htm
15,Iowa,Kim Reynolds,R,Iowa_SOTS.txt,https://governor.iowa.gov/2019/01/gov-reynolds-to-deliver-condition-of-the-state-address
16,Kansas,Laura Kelly,D,Kansas_SOTS.txt,https://governor.kansas.gov/governor-laura-kellys-state-of-the-state-address/
17,Kentucky,Matt Bevin,R,Kentucky_SOTS.txt,https://ketorg.cdn.ket.org/wp-content/uploads/2018/01/2018-Bevin-budget-speech.pdf?_ga=2.204846416.1172937214.1550158485-1238189224.1485811080
18,Louisiana,John Bel Edwards,D,Louisiana_SOTS.txt,http://gov.louisiana.gov/index.cfm/newsroom/detail/1871
19,Maine,Janet Mills,D,Maine_SOTS.txt,https://www.maine.gov/governor/mills/news/governor-janet-mills-state-budget-address-2019-02-11
20,Maryland,Larry Hogan,R,Maryland_SOTS.txt,https://governor.maryland.gov/2019/01/30/2019-state-of-the-state-address/
21,Massachusetts,Charlie Baker,R,Massachusetts_Both.txt,https://www.mass.gov/news/governor-charlie-baker-delivers-inaugural-address-for-second-term
22,Michigan,Gretchen Whitmer,D,Michigan_SOTS.txt,https://www.michigan.gov/documents/whitmer/20190212-Speech-Whitmer-SOTS19_646125_7.pdf
23,Minnesota,Tim Walz,D,Minnesota_SOTS.txt,https://mn.gov/governor/news/#/detail/appId/1/id/378589
24,Mississippi,Phil Bryant,R,Mississippi_SOTS.txt,https://www.clarionledger.com/story/news/politics/2019/01/15/watch-live-gov-phil-bryants-state-state-address-text-speech-ms-leg/2581705002/
25,Missouri,Mike Parson,R,Missouri_SOTS.txt,https://www.mo.gov/wp-content/uploads/2019/01/2019-State-of-the-State-Text.pdf
26,Montana,Steve Bullock,D,Montana_SOTS.txt,http://governor.mt.gov/Pressroom/governor-steve-bullocks-2019-state-of-the-state-address
27,Nebraska,Pete Ricketts,R,Nebraska_SOTS.txt,https://governor.nebraska.gov/press/gov-ricketts-state-state-address
