rownames,congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
1,80,house,M000112,Joseph,Jefferson,Mansfield,,1861-02-09,TX,D,TRUE,1947-01-03,85.9
2,80,house,D000448,Robert,Lee,Doughton,,1863-11-07,NC,D,TRUE,1947-01-03,83.2
3,80,house,S000001,Adolph,Joachim,Sabath,,1866-04-04,IL,D,TRUE,1947-01-03,80.7
4,80,house,E000023,Charles,Aubrey,Eaton,,1868-03-29,NJ,R,TRUE,1947-01-03,78.8
5,80,house,L000296,William,,Lewis,,1868-09-22,KY,R,FALSE,1947-01-03,78.3
6,80,house,G000017,James,A.,Gallagher,,1869-01-16,PA,R,FALSE,1947-01-03,78
7,80,house,W000265,Richard,Joseph,Welch,,1869-02-13,CA,R,TRUE,1947-01-03,77.9
8,80,house,B000565,Sol,,Bloom,,1870-03-09,NY,D,TRUE,1947-01-03,76.8
9,80,house,H000943,Merlin,,Hull,,1870-12-18,WI,R,TRUE,1947-01-03,76
10,80,house,G000169,Charles,Laceille,Gifford,,1871-03-15,MA,R,TRUE,1947-01-03,75.8
11,80,house,B000545,Schuyler,Otis,Bland,,1872-05-04,VA,D,TRUE,1947-01-03,74.7
12,80,house,R000358,John,Marshall,Robsion,,1873-01-02,KY,R,TRUE,1947-01-03,74
13,80,house,L000501,Louis,Leon,Ludlow,,1873-06-24,IN,D,TRUE,1947-01-03,73.5
14,80,house,K000138,John,Hosea,Kerr,,1873-12-31,NC,D,TRUE,1947-01-03,73
15,80,house,C000932,Robert,,Crosser,,1874-06-07,OH,D,TRUE,1947-01-03,72.6
16,80,house,L000163,Clarence,Frederick,Lea,,1874-07-11,CA,D,TRUE,1947-01-03,72.5
17,80,house,K000039,John,,Kee,,1874-08-22,WV,D,TRUE,1947-01-03,72.4
18,80,house,S000717,Brent,,Spence,,1874-12-24,KY,D,TRUE,1947-01-03,72
19,80,house,A000257,Homer,Daniel,Angell,,1875-01-12,OR,R,TRUE,1947-01-03,72
20,80,house,N000153,Mary,Teresa,Norton,,1875-03-07,NJ,D,TRUE,1947-01-03,71.8
21,80,house,P000395,Charles,Albert,Plumley,,1875-04-14,VT,R,TRUE,1947-01-03,71.7
22,80,house,D000496,Patrick,Henry,Drewry,,1875-05-24,VA,D,TRUE,1947-01-03,71.6
23,80,house,H000683,Clare,Eugene,Hoffman,,1875-09-10,MI,R,TRUE,1947-01-03,71.3
24,80,house,R000113,Daniel,Alden,Reed,,1875-09-15,NY,R,TRUE,1947-01-03,71.3
25,80,house,B001214,William,Thomas,Byrne,,1876-03-06,NY,D,TRUE,1947-01-03,70.8
26,80,house,W000718,Roy,Orchard,Woodruff,,1876-03-14,MI,R,TRUE,1947-01-03,70.8
27,80,house,B000515,William,Wallace,Blackney,,1876-08-28,MI,R,TRUE,1947-01-03,70.3
28,80,house,M000693,Earl,Cory,Michener,,1876-11-30,MI,R,TRUE,1947-01-03,70.1
29,80,house,C000590,Howard,Aldridge,Coffin,,1877-06-11,MI,R,FALSE,1947-01-03,69.6
30,80,house,M000374,Edward,Oscar,McCowen,,1877-06-29,OH,R,TRUE,1947-01-03,69.5
31,80,house,W000012,James,Wolcott,Wadsworth,Jr.,1877-08-12,NY,R,TRUE,1947-01-03,69.4
32,80,house,O000016,Thomas,Joseph,O'Brien,,1878-04-30,IL,D,TRUE,1947-01-03,68.7
33,80,house,W000430,William,Madison,Whittington,,1878-05-04,MS,D,TRUE,1947-01-03,68.7
34,80,house,L000238,William,,Lemke,,1878-08-13,ND,R,TRUE,1947-01-03,68.4
35,80,house,D000212,John,Joseph,Delaney,,1878-08-21,NY,D,TRUE,1947-01-03,68.4
36,80,house,J000117,Anton,Joseph,Johnson,,1878-10-20,IL,R,TRUE,1947-01-03,68.2
37,80,house,C000117,Clarence,Andrew,Cannon,,1879-04-11,MO,D,TRUE,1947-01-03,67.7
38,80,house,T000189,Robert,Ewing,Thomason,,1879-05-30,TX,D,TRUE,1947-01-03,67.6
39,80,house,A000296,Samuel,Washington,Arnold,,1879-09-21,MO,R,TRUE,1947-01-03,67.3
40,80,house,B000940,Paul,,Brown,,1880-03-31,GA,D,TRUE,1947-01-03,66.8
41,80,house,C000831,Edward,Eugene,Cox,,1880-04-03,GA,D,TRUE,1947-01-03,66.7
