"","pai1","pai3","tb1","tb3","cpi"
"1",-3.552289,1.12937,1.100854,1.129406,23.5
"2",5.24754,4.001566,1.125513,1.137254,23.6
"3",1.69286,4.49216,1.115715,1.142319,23.6
"4",5.064298,7.817513,1.14638,1.177902,23.7
"5",6.719322,9.43358,1.15852,1.167777,23.8
"6",11.66892,9.976068,1.151104,1.167652,24.1
"7",9.912501,8.259018,1.146461,1.167706,24.3
"8",8.346786,6.576546,1.276599,1.310467,24.4
"9",6.517766,9.153059,1.303436,1.330482,24.6
"10",4.865085,13.36522,1.278665,1.341772,24.7
"11",16.076321,16.43082,1.339448,1.39141,25
"12",19.15424,12.62232,1.333521,1.366064,25.4
"13",14.06191,6.75301,1.33622,1.375103,25.7
"14",4.650814,3.608045,1.309963,1.385715,25.8
"15",1.54631,1.544322,1.486515,1.518644,25.8
"16",4.62701,1.542337,1.369392,1.477787,25.9
"17",-1.540355,0,1.412412,1.523766,25.9
"18",1.540355,3.070871,1.478227,1.579754,25.9
"19",0,4.591611,1.523216,1.622883,25.9
"20",7.672257,6.661435,1.559448,1.652985,26.1
"21",6.102576,5.615067,1.608015,1.671224,26.2
"22",6.209472,3.580875,1.354395,1.573525,26.4
"23",4.533152,-1.010571,1.382005,1.615336,26.5
"24",0,-2.521622,1.699441,1.774221,26.5
"25",-7.564866,4.001874,1.336322,1.575366,26.3
"26",0,6.025446,1.25578,1.615336,26.3
"27",19.57049,6.523497,1.434789,1.533802,26.4
"28",-1.494151,0,1.611428,1.682034,26.4
"29",1.494151,0,1.647977,1.764054,26.5
"30",0,-0.49805,1.764363,1.767863,26.7
"31",-1.494151,0,1.811402,1.896256,26.7
"32",0,0.49805,1.660229,1.864774,26.7
"33",1.494151,0,1.52757,1.755896,26.7
"34",0,-1.496015,1.496492,1.793443,26.7
"35",-1.494151,-3.499445,1.709497,1.992048,26.7
"36",-2.993894,-1.998426,1.953542,2.027236,26.6
"37",-6.010291,-0.499918,1.821014,1.981992,26.5
"38",3.008908,2.502724,2.003264,2.124516,26.6
"39",1.50163,2.993907,1.989382,2.046684,26.6
"40",2.997634,3.486373,2.097256,2.274444,26.7
"41",4.482457,3.477679,1.836678,2.267427,26.8
"42",2.979029,2.477883,1.677211,1.993954,26.8
"43",2.971549,2.471759,1.901986,2.119488,26.9
"44",1.483071,0,1.775778,1.961375,26.9
