"","Year","CPI","GDPdeflator","population.K","realGDPperCapita","executive","war","battleDeaths","battleDeathsPMP","Keynes","unemployment","unempSource","fedReceipts","fedOutlays","fedSurplus","fedDebt","fedReceipts_pGDP","fedOutlays_pGDP","fedSurplus_pGDP","fedDebt_pGDP"
"1610",1610,NA,NA,0.35,NA,"JamesI","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1620",1620,NA,NA,2.302,NA,"JamesI","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630",1630,NA,NA,4.646,NA,"CharlesI","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1640",1640,NA,NA,26.634,NA,"CharlesI","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1650",1650,NA,NA,50.368,NA,"Cromwell","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1660",1660,NA,NA,75.058,NA,"CharlesII","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1670",1670,NA,NA,111.935,NA,"JamesII","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1680",1680,NA,NA,151.507,NA,"JamesII","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1690",1690,NA,NA,210.372,NA,"WilliamIII","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1700",1700,NA,NA,250.888,NA,"WilliamIII","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1710",1710,NA,NA,331.711,NA,"Anne","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1720",1720,NA,NA,466.185,NA,"GeorgeI","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1730",1730,NA,NA,629.445,NA,"GeorgeII","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1740",1740,NA,NA,905.563,NA,"GeorgeII","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1750",1750,NA,NA,1170.76,NA,"GeorgeII","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1760",1760,NA,NA,1593.625,NA,"GeorgeIII","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1770",1770,NA,NA,2148.076,NA,"GeorgeIII","",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1774",1774,7.82,NA,NA,NA,"GeorgeIII","",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1775",1775,7.41,NA,NA,NA,"ContinentalCongress","American Revolution",573.13,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1776",1776,8.46,NA,NA,NA,"ContinentalCongress","American Revolution",816.2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1777",1777,10.31,NA,NA,NA,"ContinentalCongress","American Revolution",813.97,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1778",1778,13.38,NA,NA,NA,"ContinentalCongress","American Revolution",813.97,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1779",1779,11.84,NA,NA,NA,"ContinentalCongress","American Revolution",813.97,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1780",1780,13.29,NA,2780.37,NA,"ContinentalCongress","American Revolution",816.2,293.558051626222,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1781",1781,10.72,NA,NA,NA,"ArticlesOfConfederation","American Revolution",813.97,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1782",1782,11.76,NA,NA,NA,"ArticlesOfConfederation","American Revolution",813.97,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
