"","Year","CPI","GDPdeflator","population.K","realGDPperCapita","executive","war","battleDeaths","battleDeathsPMP","Keynes","unemployment","unempSource"
"1610",1610,NA,NA,0.35,NA,"JamesI","",NA,NA,0,NA,NA
"1620",1620,NA,NA,2.302,NA,"JamesI","",NA,NA,0,NA,NA
"1630",1630,NA,NA,4.646,NA,"CharlesI","",NA,NA,0,NA,NA
"1640",1640,NA,NA,26.634,NA,"CharlesI","",NA,NA,0,NA,NA
"1650",1650,NA,NA,50.368,NA,"Cromwell","",NA,NA,0,NA,NA
"1660",1660,NA,NA,75.058,NA,"CharlesII","",NA,NA,0,NA,NA
"1670",1670,NA,NA,111.935,NA,"JamesII","",NA,NA,0,NA,NA
"1680",1680,NA,NA,151.507,NA,"JamesII","",NA,NA,0,NA,NA
"1690",1690,NA,NA,210.372,NA,"WilliamIII","",NA,NA,0,NA,NA
"1700",1700,NA,NA,250.888,NA,"WilliamIII","",NA,NA,0,NA,NA
"1710",1710,NA,NA,331.711,NA,"Anne","",NA,NA,0,NA,NA
"1720",1720,NA,NA,466.185,NA,"GeorgeI","",NA,NA,0,NA,NA
"1730",1730,NA,NA,629.445,NA,"GeorgeII","",NA,NA,0,NA,NA
"1740",1740,NA,NA,905.563,NA,"GeorgeII","",NA,NA,0,NA,NA
"1750",1750,NA,NA,1170.76,NA,"GeorgeII","",NA,NA,0,NA,NA
"1760",1760,NA,NA,1593.625,NA,"GeorgeIII","",NA,NA,0,NA,NA
"1770",1770,NA,NA,2148.076,NA,"GeorgeIII","",NA,NA,0,NA,NA
"1774",1774,7.82,NA,NA,NA,"GeorgeIII","",0,NA,0,NA,NA
"1775",1775,7.41,NA,NA,NA,"ContinentalCongress","American Revolution",573.13,NA,0,NA,NA
"1776",1776,8.46,NA,NA,NA,"ContinentalCongress","American Revolution",816.2,NA,0,NA,NA
"1777",1777,10.31,NA,NA,NA,"ContinentalCongress","American Revolution",813.97,NA,0,NA,NA
"1778",1778,13.38,NA,NA,NA,"ContinentalCongress","American Revolution",813.97,NA,0,NA,NA
"1779",1779,11.84,NA,NA,NA,"ContinentalCongress","American Revolution",813.97,NA,0,NA,NA
"1780",1780,13.29,NA,2780.37,NA,"ContinentalCongress","American Revolution",816.2,293.558051626222,0,NA,NA
"1781",1781,10.72,NA,NA,NA,"ArticlesOfConfederation","American Revolution",813.97,NA,0,NA,NA
"1782",1782,11.76,NA,NA,NA,"ArticlesOfConfederation","American Revolution",813.97,NA,0,NA,NA
"1783",1783,10.31,NA,NA,NA,"ArticlesOfConfederation","American Revolution",548.6,NA,0,NA,NA
"1784",1784,9.91,NA,NA,NA,"ArticlesOfConfederation","",0,NA,0,NA,NA
"1785",1785,9.43,NA,NA,NA,"ArticlesOfConfederation","Northwest Indian War",109.5,NA,0,NA,NA
"1786",1786,9.19,NA,NA,NA,"ArticlesOfConfederation","Northwest Indian War",115.85,NA,0,NA,NA
"1787",1787,9.02,NA,NA,NA,"ArticlesOfConfederation","Northwest Indian War",115.85,NA,0,NA,NA
"1788",1788,8.62,NA,NA,NA,"ArticlesOfConfederation","Northwest Indian War",116.16,NA,0,NA,NA
"1789",1789,8.54,NA,NA,NA,"Washington","Northwest Indian War",115.85,NA,0,NA,NA
"1790",1790,8.86,4.14,3929,1162.75,"Washington","Northwest Indian War",115.85,29.4858742682616,0,NA,NA
"1791",1791,9.1,4.25,4048,1196.26,"Washington","Northwest Indian War",115.85,28.6190711462451,0,NA,NA
"1792",1792,9.27,4.33,4172,1246.28,"Washington","Northwest Indian War",116.16,27.8427612655801,0,NA,NA
"1793",1793,9.59,4.47,4299,1305.44,"Washington","Northwest Indian War",115.85,26.948127471505,0,NA,NA
"1794",1794,10.64,4.96,4429,1434.73,"Washington","Northwest Indian War",115.85,26.1571460826372,0,NA,NA
