rownames,yearID,round,teamIDwinner,lgIDwinner,teamIDloser,lgIDloser,wins,losses,ties
1,1884,WS,PRO,NL,NY4,AA,3,0,0
2,1885,WS,CHN,NL,SL4,AA,3,3,1
3,1886,WS,SL4,AA,CHN,NL,4,2,0
4,1887,WS,DTN,NL,SL4,AA,10,5,0
5,1888,WS,NY1,NL,SL4,AA,6,4,0
6,1889,WS,NY1,NL,BR3,AA,6,3,0
7,1890,WS,BRO,NL,LS2,AA,3,3,1
8,1892,CS,BSN,NL,CL4,NL,5,0,1
9,1903,WS,BOS,AL,PIT,NL,5,3,0
10,1905,WS,NY1,NL,PHA,AL,4,1,0
11,1906,WS,CHA,AL,CHN,NL,4,2,0
12,1907,WS,CHN,NL,DET,AL,4,0,0
13,1908,WS,CHN,NL,DET,AL,4,1,0
14,1909,WS,PIT,NL,DET,AL,4,3,0
15,1910,WS,PHA,AL,CHN,NL,4,1,0
16,1911,WS,PHA,AL,NY1,NL,4,2,0
17,1912,WS,BOS,AL,NY1,NL,4,3,0
18,1913,WS,PHA,AL,NY1,NL,4,1,0
19,1914,WS,BSN,NL,PHA,AL,4,0,0
20,1915,WS,BOS,AL,PHI,NL,4,1,0
21,1916,WS,BOS,AL,BRO,NL,4,1,0
22,1917,WS,CHA,AL,NY1,NL,4,2,0
23,1918,WS,BOS,AL,CHN,NL,4,2,0
24,1919,WS,CIN,NL,CHA,AL,5,3,0
25,1920,WS,CLE,AL,BRO,NL,5,2,0
26,1921,WS,NY1,NL,NYA,AL,5,3,0
27,1922,WS,NY1,NL,NYA,AL,4,0,0
28,1923,WS,NYA,AL,NY1,NL,4,2,0
29,1924,WS,WS1,AL,NY1,NL,4,3,0
30,1925,WS,PIT,NL,WS1,AL,4,3,0
31,1926,WS,SLN,NL,NYA,AL,4,3,0
32,1927,WS,NYA,AL,PIT,NL,4,0,0
33,1928,WS,NYA,AL,SLN,NL,4,0,0
34,1929,WS,PHA,AL,CHN,NL,4,1,0
35,1930,WS,PHA,AL,SLN,NL,4,2,0
36,1931,WS,SLN,NL,PHA,AL,4,3,0
37,1932,WS,NYA,AL,CHN,NL,4,0,0
38,1933,WS,NY1,NL,WS1,AL,4,1,0
39,1934,WS,SLN,NL,DET,AL,4,3,0
40,1935,WS,DET,AL,CHN,NL,4,2,0
41,1936,WS,NYA,AL,NY1,NL,4,2,0
42,1937,WS,NYA,AL,NY1,NL,4,1,0
43,1938,WS,NYA,AL,CHN,NL,4,0,0
44,1939,WS,NYA,AL,CIN,NL,4,0,0
45,1940,WS,CIN,NL,DET,AL,4,3,0
46,1941,WS,NYA,AL,BRO,NL,4,1,0
47,1942,WS,SLN,NL,NYA,AL,4,1,0
48,1943,WS,NYA,AL,SLN,NL,4,1,0
49,1944,WS,SLN,NL,SLA,AL,4,2,0
50,1945,WS,DET,AL,CHN,NL,4,3,0
51,1946,WS,SLN,NL,BOS,AL,4,3,0
52,1947,WS,NYA,AL,BRO,NL,4,3,0
53,1948,WS,CLE,AL,BSN,NL,4,2,0
54,1949,WS,NYA,AL,BRO,NL,4,1,0
55,1950,WS,NYA,AL,PHI,NL,4,0,0
56,1951,WS,NYA,AL,NY1,NL,4,2,0
57,1952,WS,NYA,AL,BRO,NL,4,3,0
58,1953,WS,NYA,AL,BRO,NL,4,2,0
59,1954,WS,NY1,NL,CLE,AL,4,0,0
60,1955,WS,BRO,NL,NYA,AL,4,3,0
61,1956,WS,NYA,AL,BRO,NL,4,3,0
62,1957,WS,ML1,NL,NYA,AL,4,3,0
63,1958,WS,NYA,AL,ML1,NL,4,3,0
64,1959,WS,LAN,NL,CHA,AL,4,2,0
65,1960,WS,PIT,NL,NYA,AL,4,3,0
66,1961,WS,NYA,AL,CIN,NL,4,1,0
67,1962,WS,NYA,AL,SFN,NL,4,3,0
68,1963,WS,LAN,NL,NYA,AL,4,0,0
69,1964,WS,SLN,NL,NYA,AL,4,3,0
70,1965,WS,LAN,NL,MIN,AL,4,3,0
71,1966,WS,BAL,AL,LAN,NL,4,0,0
72,1967,WS,SLN,NL,BOS,AL,4,3,0
73,1968,WS,DET,AL,SLN,NL,4,3,0
74,1969,ALCS,BAL,AL,MIN,AL,3,0,0
75,1969,NLCS,NYN,NL,ATL,NL,3,0,0
76,1969,WS,NYN,NL,BAL,AL,4,1,0
77,1970,ALCS,BAL,AL,MIN,AL,3,0,0
78,1970,NLCS,CIN,NL,PIT,NL,3,0,0
79,1970,WS,BAL,AL,CIN,NL,4,1,0
80,1971,ALCS,BAL,AL,OAK,AL,3,0,0
81,1971,NLCS,PIT,NL,SFN,NL,3,1,0
82,1971,WS,PIT,NL,BAL,AL,4,3,0
83,1972,ALCS,OAK,AL,DET,AL,3,2,0
84,1972,NLCS,CIN,NL,PIT,NL,3,2,0
85,1972,WS,OAK,AL,CIN,NL,4,3,0
86,1973,ALCS,OAK,AL,BAL,AL,3,2,0
87,1973,NLCS,NYN,NL,CIN,NL,3,2,0
88,1973,WS,OAK,AL,NYN,NL,4,3,0
89,1974,ALCS,OAK,AL,BAL,AL,3,1,0
90,1974,NLCS,LAN,NL,PIT,NL,3,1,0
91,1974,WS,OAK,AL,LAN,NL,4,1,0
92,1975,ALCS,BOS,AL,OAK,AL,3,0,0
93,1975,NLCS,CIN,NL,PIT,NL,3,0,0
94,1975,WS,CIN,NL,BOS,AL,4,3,0
95,1976,ALCS,NYA,AL,KCA,AL,3,2,0
96,1976,NLCS,CIN,NL,PHI,NL,3,0,0
97,1976,WS,CIN,NL,NYA,AL,4,0,0
98,1977,ALCS,NYA,AL,KCA,AL,3,2,0
99,1977,NLCS,LAN,NL,PHI,NL,3,1,0
100,1977,WS,NYA,AL,LAN,NL,4,2,0
101,1978,ALCS,NYA,AL,KCA,AL,3,1,0
102,1978,NLCS,LAN,NL,PHI,NL,3,1,0
103,1978,WS,NYA,AL,LAN,NL,4,2,0
104,1979,ALCS,BAL,AL,CAL,AL,3,1,0
105,1979,NLCS,PIT,NL,CIN,NL,3,0,0
106,1979,WS,PIT,NL,BAL,AL,4,3,0
107,1980,ALCS,KCA,AL,NYA,AL,3,0,0
