"","time","value"
"1",1956,5.149
"2",1956.25,6.372
"3",1956.5,7.068
"4",1956.75,5.908
"5",1957,5.359
"6",1957.25,6.531
"7",1957.5,7.365
"8",1957.75,5.982
"9",1958,5.244
"10",1958.25,6.785
"11",1958.5,7.576
"12",1958.75,6.036
"13",1959,5.317
"14",1959.25,6.889
"15",1959.5,7.702
"16",1959.75,6.247
"17",1960,5.582
"18",1960.25,7.534
"19",1960.5,8.388
"20",1960.75,6.605
"21",1961,5.592
"22",1961.25,7.428
"23",1961.5,8.377
"24",1961.75,6.426
"25",1962,5.73
"26",1962.25,7.66
"27",1962.5,8.494
"28",1962.75,6.647
"29",1963,5.899
"30",1963.25,7.891
"31",1963.5,8.905
"32",1963.75,6.721
"33",1964,5.983
"34",1964.25,8.135
"35",1964.5,8.958
"36",1964.75,6.922
"37",1965,6.088
"38",1965.25,8.377
"39",1965.5,9.116
"40",1965.75,6.911
"41",1966,6.067
"42",1966.25,8.494
"43",1966.5,9.717
"44",1966.75,7.28
"45",1967,6.236
"46",1967.25,8.599
"47",1967.5,10.15
"48",1967.75,7.258
"49",1968,6.193
"50",1968.25,9.263
"51",1968.5,10.784
"52",1968.75,7.902
"53",1969,6.615
"54",1969.25,9.654
"55",1969.5,13.262
"56",1969.75,10.646
"57",1970,12.439
"58",1970.25,17.789
"59",1970.5,22.958
"60",1970.75,19.656
"61",1971,18.696
"62",1971.25,24.244
"63",1971.5,28.065
"64",1971.75,23.768
"65",1972,24.083
"66",1972.25,33.855
"67",1972.5,39.663
"68",1972.75,34.572
"69",1973,34.459
"70",1973.25,40.881
"71",1973.5,47.617
"72",1973.75,39.426
"73",1974,37.674
"74",1974.25,47.976
"75",1974.5,51.563
"76",1974.75,42.66
"77",1975,39.177
"78",1975.25,49.424
"79",1975.5,55.003
"80",1975.75,46.824
"81",1976,44.225
"82",1976.25,57.572
"83",1976.5,65.088
"84",1976.75,53.76
"85",1977,49.312
"86",1977.25,63.723
"87",1977.5,74.308
"88",1977.75,57.734
"89",1978,55.753
"90",1978.25,70.994
"91",1978.5,77.7
"92",1978.75,65.012
"93",1979,58.554
"94",1979.25,74.172
"95",1979.5,87.601
"96",1979.75,71.143
"97",1980,68.305
"98",1980.25,91.494
"99",1980.5,103.355
"100",1980.75,82.828
"101",1981,87.838
"102",1981.25,109.885
"103",1981.5,119.783
"104",1981.75,100.887
"105",1982,92.566
"106",1982.25,116.031
"107",1982.5,126.61
"108",1982.75,97.691
"109",1983,91.901
"110",1983.25,118.398
"111",1983.5,123.589
"112",1983.75,104.15
"113",1984,97.129
"114",1984.25,116.333
"115",1984.5,130.379
"116",1984.75,111.173
"117",1985,102.607
"118",1985.25,119.591
"119",1985.5,131.551
"120",1985.75,107.312
"121",1986,98.451
"122",1986.25,126.824
"123",1986.5,136.76
"124",1986.75,112.228
"125",1987,106.125
"126",1987.25,129.905
"127",1987.5,158.412
"128",1987.75,123.315
"129",1988,115.582
"130",1988.25,136.809
"131",1988.5,157.408
"132",1988.75,125.375
"133",1989,116.596
"134",1989.25,149.075
"135",1989.5,175.104
"136",1989.75,139.375
"137",1990,124.901
"138",1990.25,151.83
"139",1990.5,160.848
"140",1990.75,122.942
"141",1991,111.133
"142",1991.25,141.27
"143",1991.5,159.795
"144",1991.75,125.346
"145",1992,117.445
"146",1992.25,150.854
"147",1992.5,174.431
"148",1992.75,129.196
"149",1993,106.065
"150",1993.25,149.055
"151",1993.5,162.808
"152",1993.75,138.06
"153",1994,127.348
"154",1994.25,158.957
"155",1994.5,184.13
"156",1994.75,141.995
"157",1995,129.358
"158",1995.25,167.376
"159",1995.5,181
"160",1995.75,145
"161",1996,133
"162",1996.25,162
"163",1996.5,184
"164",1996.75,146
"165",1997,135
"166",1997.25,171
"167",1997.5,183
"168",1997.75,151
"169",1998,141
"170",1998.25,174
"171",1998.5,191
"172",1998.75,157
"173",1999,145
"174",1999.25,182
"175",1999.5,198
"176",1999.75,165
"177",2000,164
"178",2000.25,199
"179",2000.5,213
"180",2000.75,173
"181",2001,177
"182",2001.25,205
"183",2001.5,218
"184",2001.75,185
"185",2002,166
"186",2002.25,204
"187",2002.5,228
"188",2002.75,186
"189",2003,172
"190",2003.25,204
"191",2003.5,232
"192",2003.75,188
"193",2004,173
"194",2004.25,215
"195",2004.5,227
"196",2004.75,190
"197",2005,170
"198",2005.25,206
"199",2005.5,221
"200",2005.75,180
"201",2006,171
"202",2006.25,224
"203",2006.5,233
"204",2006.75,192
"205",2007,187
"206",2007.25,234
"207",2007.5,245
"208",2007.75,205
"209",2008,194
"210",2008.25,229
"211",2008.5,249
"212",2008.75,203
"213",2009,196
"214",2009.25,238
"215",2009.5,252
"216",2009.75,210
"217",2010,205
"218",2010.25,236
