"","time","value"
"1",1897,175.1666667
"2",1898,162
"3",1899,174.6333333
"4",1900,159.7333333
"5",1901,149.3833333
"6",1902,163.2
"7",1903,161.4833333
"8",1904,158.0666667
"9",1905,158.4166667
"10",1906,165.75
"11",1907,144.4
"12",1908,145.7166667
"13",1909,173.6
"14",1910,148.8666667
"15",1911,141.65
"16",1912,141.3
"17",1913,145.2333333
"18",1914,145.2333333
"19",1915,151.6833333
"20",1916,147.2666667
"21",1917,148.6166667
"22",1918,149.8833333
"23",1919,149.2166667
"24",1920,149.5166667
"25",1921,138.95
"26",1922,138.1666667
"27",1923,143.7833333
"28",1924,149.6666667
"29",1925,153
"30",1926,145.6666667
"31",1927,160.3666667
"32",1928,157.1166667
"33",1929,153.1333333
"34",1930,154.8
"35",1931,166.75
"36",1932,153.6
"37",1933,151.0166667
"38",1934,152.8833333
"39",1935,152.1166667
"40",1936,153.6666667
"41",1937,153.3333333
"42",1938,155.5666667
"43",1939,148.85
"44",1940,148.4666667
"45",1941,150.6333333
"46",1942,146.85
"47",1943,148.4166667
"48",1944,151.8333333
"49",1945,150.6666667
"50",1946,149.45
"51",1947,145.65
"52",1948,151.0333333
"53",1949,151.8333333
"54",1950,152.65
"55",1951,147.75
"56",1952,151.8833333
"57",1953,138.85
"58",1954,140.65
"59",1955,138.3666667
"60",1956,134.2333333
"61",1957,140.0833333
"62",1958,145.9
"63",1959,142.7
"64",1960,140.9
"65",1961,143.65
"66",1962,143.8
"67",1963,138.9666667
"68",1964,139.9833333
"69",1965,136.55
"70",1966,137.1833333
"71",1967,135.75
"72",1968,142.2833333
"73",1969,133.8166667
"74",1970,130.5
"75",1971,138.75
"76",1972,135.65
"77",1973,136.05
"78",1974,133.65
"79",1975,129.9166667
"80",1976,140.3166667
"81",1977,134.7666667
"82",1978,130.2166667
"83",1979,129.45
"84",1980,132.1833333
"85",1981,129.4333333
"86",1982,128.8666667
"87",1983,129
"88",1984,130.5666667
"89",1985,134.0833333
"90",1986,127.85
"91",1987,131.8333333
"92",1988,128.7166667
"93",1989,129.1
"94",1990,128.3166667
"95",1991,131.1
"96",1992,128.2333333
"97",1993,129.55
"98",1994,127.25
"99",1995,129.3666667
"100",1996,129.25
"101",1997,130.5666667
"102",1998,127.5666667
"103",1999,129.8666667
"104",2000,129.7833333
"105",2001,129.7166667
"106",2002,129.0333333
"107",2003,130.1833333
"108",2004,130.6166667
"109",2005,131.7333333
"110",2006,127.2333333
"111",2007,134.2166667
"112",2008,127.75
"113",2009,128.7
"114",2010,125.8666667
"115",2011,123.0333333
"116",2012,132.6666667
"117",2013,130.3666667
"118",2014,128.6166667
"119",2015,129.2833333
"120",2016,132.7333333
