"","time","value"
"1",1,392.830017
"2",2,392.512085
"3",3,397.305908
"4",4,398.011322
"5",5,400.490204
"6",6,408.095734
"7",7,416.590485
"8",8,413.003815
"9",9,413.609863
"10",10,413.073364
"11",11,414.712708
"12",12,411.130981
"13",13,409.988434
"14",14,408.115601
"15",15,404.518982
"16",16,401.285034
"17",17,403.038635
"18",18,404.722656
"19",19,403.00882
"20",20,402.536896
"21",21,402.204041
"22",22,403.585083
"23",23,398.736603
"24",24,394.528961
"25",25,398.006348
"26",26,403.893066
"27",27,400.495178
"28",28,394.966125
"29",29,388.994965
"30",30,384.921448
"31",31,386.312408
"32",32,392.536926
"33",33,392.641235
"34",34,392.472351
"35",35,388.438568
"36",36,394.121613
"37",37,388.751556
"38",38,380.480347
"39",39,397.350616
"40",40,397.469849
"41",41,401.339661
"42",42,404.096741
"43",43,401.935791
"44",44,398.120605
"45",45,406.883606
"46",46,409.620819
"47",47,407.564178
"48",48,412.124542
"49",49,420.127472
"50",50,427.991333
"51",51,425.845276
"52",52,433.99231
"53",53,432.924255
"54",54,437.270966
"55",55,435.929688
"56",56,440.683777
"57",57,454.985748
"58",58,449.014587
"59",59,451.652435
"60",60,451.329529
"61",61,450.554565
"62",62,441.836273
"63",63,438.542694
"64",64,433.838287
"65",65,437.787628
"66",66,431.349487
"67",67,432.566559
"68",68,432.795074
"69",69,431.011688
"70",70,426.774231
"71",71,427.072296
"72",72,429.526337
"73",73,437.022583
"74",74,442.233704
"75",75,437.062317
"76",76,433.172638
"77",77,435.666412
"78",78,434.692749
"79",79,440.261536
"80",80,447.400085
"81",81,447.429901
"82",82,439.511414
"83",83,437.618713
"84",84,432.084717
"85",85,430.3013
"86",86,434.002228
"87",87,435.701172
"88",88,437.340515
"89",89,441.071259
"90",90,438.30426
"91",91,440.350952
"92",92,443.858124
"93",93,449.620636
"94",94,449.69516
"95",95,450.067749
"96",96,457.146698
"97",97,458.517792
"98",98,459.35733
"99",99,456.83374
"100",100,456.307159
"101",101,452.397583
"102",102,445.403076
"103",103,452.407532
"104",104,448.979828
"105",105,448.532715
"106",106,440.981842
"107",107,439.814423
"108",108,438.284393
"109",109,442.581421
"110",110,441.006683
"111",111,449.188477
"112",112,450.355865
"113",113,449.575928
"114",114,445.388184
"115",115,442.447296
"116",116,443.445801
"117",117,442.328094
"118",118,439.893921
"119",119,437.777679
"120",120,432.094635
"121",121,427.052429
"122",122,425.68631
"123",123,430.028076
"124",124,429.913818
"125",125,431.856201
"126",126,434.032043
"127",127,432.293335
"128",128,430.395691
"129",129,422.328156
"130",130,421.533325
"131",131,424.951111
"132",132,420.713654
"133",133,427.410095
"134",134,432.998749
"135",135,436.938141
"136",136,436.948059
"137",137,441.155701
"138",138,441.463715
"139",139,445.199402
"140",140,443.644531
"141",141,441.662415
"142",142,441.011658
"143",143,440.191986
"144",144,448.741364
"145",145,446.292297
"146",146,448.637054
"147",147,440.385712
"148",148,440.554626
"149",149,435.78067
"150",150,436.24762
"151",151,435.363373
"152",152,435.124939
"153",153,440.634094
"154",154,441.125916
"155",155,435.214355
"156",156,433.356445
"157",157,430.072784
"158",158,424.076782
"159",159,425.164703
"160",160,431.314728
"161",161,433.177612
"162",162,435.224274
"163",163,438.155212
"164",164,446.113464
"165",165,441.523315
"166",166,502.437134
"167",167,498.408325
"168",168,500.246368
"169",169,512.372498
"170",170,509.461456
"171",171,504.319885
"172",172,504.22052
"173",173,514.771912
"174",174,511.880707
"175",175,511.960205
"176",176,510.20163
"177",177,509.739624
"178",178,507.459473
"179",179,508.070496
"180",180,500.718323
"181",181,504.732208
"182",182,502.029785
"183",183,502.620941
"184",184,512.899109
"185",185,514.270142
"186",186,513.440552
"187",187,512.442078
"188",188,509.287567
"189",189,507.851898
"190",190,513.693909
"191",191,512.610962
"192",192,519.585571
"193",193,525.785278
"194",194,528.120117
"195",195,526.37146
"196",196,523.832947
"197",197,523.226929
"198",198,525.671021
"199",199,525.253723
"200",200,531.478271
"201",201,535.586548
"202",202,538.825439
"203",203,535.164246
"204",204,531.522949
"205",205,526.96759
"206",206,533.023193
"207",207,531.473267
"208",208,538.870178
"209",209,539.600403
"210",210,546.753906
"211",211,553.947083
"212",212,552.327637
"213",213,555.119507
"214",214,555.586426
"215",215,551.145325
"216",216,556.734009
"217",217,552.963501
"218",218,548.929749
"219",219,555.049927
"220",220,565.750366
"221",221,566.927673
"222",222,561.468201
"223",223,561.438354
"224",224,557.861633
"225",225,570.986267
"226",226,570.598816
"227",227,574.374268
"228",228,571.547607
"229",229,578.090088
"230",230,578.745789
"231",231,576.301697
"232",232,558.283875
"233",233,547.056946
"234",234,557.876526
"235",235,549.883545
"236",236,564.02655
"237",237,586.669312
"238",238,563.052856
"239",239,565.402588
"240",240,567.906311
"241",241,576.232178
"242",242,584.91571
"243",243,582.675232
"244",244,591.244507
"245",245,589.510803
"246",246,596.07312
"247",247,597.513733
"248",248,601.527649
"249",249,597.285217
"250",250,598.16449
"251",251,598.005554
"252",252,602.337402
"253",253,606.058167
"254",254,606.142639
"255",255,605.66571
"256",256,603.897217
"257",257,597.459106
"258",258,603.529602
"259",259,605.193787
"260",260,605.864441
"261",261,603.470032
"262",262,601.870422
"263",263,596.117798
"264",264,599.749207
"265",265,590.688171
"266",266,582.610657
"267",267,592.198303
"268",268,601.716431
"269",269,595.750244
"270",270,594.711975
"271",271,587.697571
"272",272,575.223694
"273",273,575.61615
"274",274,562.327576
"275",275,555.406067
"276",276,556.927734
"277",277,553.924255
"278",278,564.058533
"279",279,563.899353
"280",280,566.62439
"281",281,540.169861
"282",282,535.207153
"283",283,551.86554
"284",284,561.054993
"285",285,537.991821
"286",286,527.698425
"287",287,529.60791
"288",288,533.50647
"289",289,553.496582
"290",290,533.168335
"291",291,525.729248
"292",292,531.885437
"293",293,524.058472
"294",294,522.288208
"295",295,513.3573
"296",296,514.32196
"297",297,524.81427
"298",298,523.779968
"299",299,528.444336
"300",300,525.04303
"301",301,524.923706
"302",302,512.322998
"303",303,507.171295
"304",304,508.205627
"305",305,515.893311
"306",306,527.022156
"307",307,530.174805
"308",308,523.77002
"309",309,517.136536
"310",310,517.782959
"311",311,525.967957
"312",312,526.872986
"313",313,535.992798
"314",314,542.079346
"315",315,549.677551
"316",316,562.855103
"317",317,558.608459
"318",318,557.017212
"319",319,556.828247
"320",320,550.900879
"321",321,541.960022
"322",322,541.681519
"323",323,550.871033
"324",324,553.28772
"325",325,559.046082
"326",326,557.484619
"327",327,555.783997
"328",328,548.334961
"329",329,548.742737
"330",330,541.30365
"331",331,540.040588
"332",332,550.343933
"333",333,551.86554
"334",334,553.317566
"335",335,561.860596
"336",336,561.53241
"337",337,575.485657
"338",338,572.850159
"339",339,574.083374
"340",340,572.134094
"341",341,579.483704
"342",342,579.150513
"343",343,581.53241
"344",344,579.065979
"345",345,567.967041
"346",346,572.929749
"347",347,567.976929
"348",348,576.012756
"349",349,581.671631
"350",350,581.582153
"351",351,579.473755
"352",352,570.59259
"353",353,591.825806
"354",354,586.246521
"355",355,591.487671
"356",356,592.720886
"357",357,590.105286
"358",358,585.79895
"359",359,587.3703
