rownames,yield,rep,block,trt,col,row,a,b,c,d,e,f
1,3.68,R1,B1,cd,1,8,1,1,0,0,1,1
2,3.52,R1,B1,af,1,7,0,1,1,1,1,0
3,3.89,R1,B1,abcd,1,6,0,0,0,0,1,1
4,4.8,R1,B1,abcdef,1,5,0,0,0,0,0,0
5,3.96,R1,B1,abcf,1,4,0,0,0,1,1,0
6,3.08,R1,B1,ce,1,3,1,1,0,1,0,1
7,4.29,R1,B1,cdef,1,2,1,1,0,0,0,0
8,3.06,R1,B1,be,1,1,1,0,1,1,0,1
9,3.23,R1,B1,ad,2,8,0,1,1,0,1,1
10,3.71,R1,B1,abce,2,7,0,0,0,1,0,1
11,3.1,R1,B1,ae,2,6,0,1,1,1,0,1
12,3.29,R1,B1,cf,2,5,1,1,0,1,1,0
13,3.29,R1,B1,bd,2,4,1,0,1,0,1,1
14,3.27,R1,B1,bf,2,3,1,0,1,1,1,0
15,3.69,R1,B1,bdef,2,2,1,0,1,0,0,0
16,4.27,R1,B1,adef,2,1,0,1,1,0,0,0
17,4.37,R1,B2,acdf,3,8,0,1,0,0,1,0
18,4.04,R1,B2,bcde,3,7,1,0,0,0,0,1
19,2.92,R1,B2,-1,3,6,1,1,1,1,1,1
20,3.63,R1,B2,bcef,3,5,1,0,0,1,0,0
21,3.95,R1,B2,abdf,3,4,0,0,1,0,1,0
22,3.16,R1,B2,bc,3,3,1,0,0,1,1,1
23,3.77,R1,B2,acef,3,2,0,1,0,1,0,0
24,3.29,R1,B2,de,3,1,1,1,1,0,0,1
25,3.34,R1,B2,df,4,8,1,1,1,0,1,0
26,3.45,R1,B2,ab,4,7,0,0,1,1,1,1
27,3.85,R1,B2,abef,4,6,0,0,1,1,0,0
28,4,R1,B2,bcdf,4,5,1,0,0,0,1,0
29,3.28,R1,B2,ef,4,4,1,1,1,1,0,0
30,4.05,R1,B2,acde,4,3,0,1,0,0,0,1
31,3.88,R1,B2,abde,4,2,0,0,1,0,0,1
32,3.65,R1,B2,ac,4,1,0,1,0,1,1,1
33,3.79,R2,B1,abde,5,8,0,0,1,0,0,1
34,3.23,R2,B1,ef,5,7,1,1,1,1,0,0
35,3.03,R2,B1,de,5,6,1,1,1,0,0,1
36,4.18,R2,B1,acde,5,5,0,1,0,0,0,1
37,3.5,R2,B1,ac,5,4,0,1,0,1,1,1
38,4.2,R2,B1,acdf,5,3,0,1,0,0,1,0
39,3.46,R2,B1,bcef,5,2,1,0,0,1,0,0
40,3.8,R2,B1,acef,5,1,0,1,0,1,0,0
41,4.03,R2,B1,abdf,6,8,0,0,1,0,1,0
42,2.76,R2,B1,-1,6,7,1,1,1,1,1,1
43,3.37,R2,B1,df,6,6,1,1,1,0,1,0
44,3.9,R2,B1,abef,6,5,0,0,1,1,0,0
45,3.05,R2,B1,bc,6,4,1,0,0,1,1,1
46,3.76,R2,B1,bcdf,6,3,1,0,0,0,1,0
47,3.5,R2,B1,ab,6,2,0,0,1,1,1,1
48,3.87,R2,B1,bcde,6,1,1,0,0,0,0,1
49,3.27,R2,B2,bf,7,8,1,0,1,1,1,0
50,3.48,R2,B2,ad,7,7,0,1,1,0,1,1
51,3.22,R2,B2,bd,7,6,1,0,1,0,1,1
52,3.27,R2,B2,af,7,5,0,1,1,1,1,0
53,4.78,R2,B2,abcdef,7,4,0,0,0,0,0,0
54,3.11,R2,B2,ae,7,3,0,1,1,1,0,1
55,3.98,R2,B2,abcf,7,2,0,0,0,1,1,0
56,3.52,R2,B2,cd,7,1,1,1,0,0,1,1
57,3.98,R2,B2,adef,8,8,0,1,1,0,0,0
58,3.99,R2,B2,abcd,8,7,0,0,0,0,1,1
59,3.2,R2,B2,be,8,6,1,0,1,1,0,1
60,3.02,R2,B2,ce,8,5,1,1,0,1,0,1
61,3.62,R2,B2,bdef,8,4,1,0,1,0,0,0
62,3.1,R2,B2,cf,8,3,1,1,0,1,1,0
63,4.09,R2,B2,cdef,8,2,1,1,0,0,0,0
64,3.8,R2,B2,abce,8,1,0,0,0,1,0,1
