rownames,year,area,blight,rain.am,rain.ja,precip.m
1,1970,0,0,8,1,5.84
2,1971,0,0,9,4,6.86
3,1972,0,0,9,6,47.29
4,1973,0,0,6,1,8.89
5,1974,50,1,16,6,7.37
6,1975,810,1,10,7,5.08
7,1976,120,1,12,12,3.3
8,1977,40,1,10,4,11.44
9,1978,0,0,11,10,14.99
10,1979,0,0,8,9,4.06
11,1980,0,0,13,1,37.84
12,1981,0,0,8,3,18.54
13,1982,10100,1,15,6,7.87
14,1983,14150,1,9,12,11.68
15,1984,150,1,17,1,9.15
16,1985,0,0,5,4,11.43
17,1986,0,0,8,3,8.13
18,1987,0,0,5,5,4.83
19,1988,0,0,15,3,11.93
20,1989,0,0,12,8,13.7
21,1990,250,1,12,10,19.04
22,1991,15000,1,11,4,13.71
23,1992,20000,1,12,6,0.51
24,1993,15000,1,20,9,18.29
25,1994,530,1,16,2,25.15
