rownames,row,col,yield,harvest,nitro,block
1,1,1,26.4,29,80,B1
2,2,1,31.2,29,320,B1
3,3,1,28,29,160,B1
4,4,1,10.1,29,0,B1
5,1,2,29.3,32,80,B1
6,2,2,34.2,32,320,B1
7,3,2,31.2,32,160,B1
8,4,2,11.4,32,0,B1
9,1,3,10.1,20,80,B1
10,2,3,10.3,20,320,B1
11,3,3,10.2,20,160,B1
12,4,3,2.3,20,0,B1
13,1,4,23.1,26,80,B1
14,2,4,25.9,26,320,B1
15,3,4,23.3,26,160,B1
16,4,4,9.8,26,0,B1
17,1,5,18.2,23,80,B1
18,2,5,19.2,23,320,B1
19,3,5,16.9,23,160,B1
20,4,5,8.8,23,0,B1
21,1,6,34.2,29,160,B2
22,2,6,21.3,29,0,B2
23,3,6,29.5,29,80,B2
24,4,6,31.9,29,320,B2
25,1,7,18.5,23,160,B2
26,2,7,12.5,23,0,B2
27,3,7,16.9,23,80,B2
28,4,7,17.8,23,320,B2
29,1,8,22.4,26,160,B2
30,2,8,16.7,26,0,B2
31,3,8,20.4,26,80,B2
32,4,8,22.8,26,320,B2
33,1,9,30.3,32,160,B2
34,2,9,19.1,32,0,B2
35,3,9,26.6,32,80,B2
36,4,9,29.2,32,320,B2
37,1,10,10.8,20,160,B2
38,2,10,5.2,20,0,B2
39,3,10,9.5,20,80,B2
40,4,10,7.4,20,320,B2
41,1,11,8.4,20,0,B3
42,2,11,10.8,20,80,B3
43,3,11,9.8,20,320,B3
44,4,11,8.5,20,160,B3
45,1,12,29.2,32,0,B3
46,2,12,31,32,80,B3
47,3,12,30.9,32,320,B3
48,4,12,32.6,32,160,B3
49,1,13,15.6,23,0,B3
50,2,13,16.9,23,80,B3
51,3,13,18.1,23,320,B3
52,4,13,17.2,23,160,B3
53,1,14,20.7,26,0,B3
54,2,14,21.2,26,80,B3
55,3,14,23.9,26,320,B3
56,4,14,22.8,26,160,B3
57,1,15,24.8,29,0,B3
58,2,15,26,29,80,B3
59,3,15,28.8,29,320,B3
60,4,15,28.7,29,160,B3
61,1,16,30.2,29,320,B4
62,2,16,29.2,29,160,B4
63,3,16,13.6,29,0,B4
64,4,16,23.1,29,80,B4
65,1,17,24,26,320,B4
66,2,17,24.3,26,160,B4
67,3,17,13.9,26,0,B4
68,4,17,20.9,26,80,B4
69,1,18,30.8,32,320,B4
70,2,18,35.2,32,160,B4
71,3,18,16.4,32,0,B4
72,4,18,23.2,32,80,B4
73,1,19,10.4,20,320,B4
74,2,19,11.2,20,160,B4
75,3,19,6.1,20,0,B4
76,4,19,9,20,80,B4
77,1,20,22.4,23,320,B4
78,2,20,20.9,23,160,B4
79,3,20,10.5,23,0,B4
80,4,20,15.9,23,80,B4
