rownames,year,yor,loc,env,rep,gen,daystoflower,plantheight,earheight,population,lodged,moisture,testweight,yield
1,2000,2000,BA,2000BA,R1,9211,78,233.68,83.82,57407.4336,0,11.2,81.40275,9.791344564
2,2000,2000,BA,2000BA,R2,9211,77,236.22,76.2,61712.0027,0,10.7,81.41562,9.481664576
3,2000,2000,BA,2000BA,R3,9211,77,228.6,78.74,57407.4336,0,10.7,80.38602,8.690091928
4,2000,2000,BA,2000BA,R4,9211,78,241.3,88.9,60278.7937,0,11.3,83.10159,9.2470331
5,2000,2000,BA,2000BA,R1,9114,77,243.84,88.9,59559.71815,0,10.1,,7.968912428
6,2000,2000,BA,2000BA,R2,9114,78,236.22,78.74,58124.0381,0,10.3,79.00893,9.361655032
7,2000,2000,BA,2000BA,R3,9114,77,238.76,93.98,60278.7937,0,10.1,79.70391,9.015265304
8,2000,2000,BA,2000BA,R4,9114,78,231.14,91.44,60278.7937,0,10.8,78.32682,8.735364448
9,2000,2000,BA,2000BA,R1,8216,80,246.38,88.9,61712.0027,0,11,76.97547,8.866701228
10,2000,2000,BA,2000BA,R2,8216,81,236.22,88.9,63866.7583,0,10.6,,10.01943982
11,2000,2000,BA,2000BA,R3,8216,79,246.38,88.9,64583.3628,0,11.8,77.95359,9.49064058
12,2000,2000,BA,2000BA,R4,8216,80,241.3,81.28,63147.68275,0,10.9,,8.924738476
13,2000,2000,BA,2000BA,R1,8417,79,251.46,88.9,60995.3982,0,11.1,77.95359,8.760804728
14,2000,2000,BA,2000BA,R2,8417,79,,78.74,55971.75355,0,12.5,75.61125,8.514927656
15,2000,2000,BA,2000BA,R3,8417,79,248.92,99.06,59559.71815,0,11,77.28435,9.154826372
16,2000,2000,BA,2000BA,R4,8417,80,261.62,101.6,58124.0381,0,12.1,75.97161,8.980698928
17,2000,2000,BA,2000BA,R1,F3175,77,246.38,104.14,54536.0735,0,10.8,81.38988,10.03140259
18,2000,2000,BA,2000BA,R2,F3175,79,236.22,86.36,60278.7937,1,11.6,79.31781,9.205536744
19,2000,2000,BA,2000BA,R3,F3175,78,243.84,101.6,48079.21985,2,11,81.40275,10.74294292
20,2000,2000,BA,2000BA,R4,F3175,77,241.3,86.36,58124.0381,0,12,80.37315,10.1949049
21,2000,2000,BA,2000BA,R1,F3190,80,241.3,86.36,60278.7937,0,10.5,80.0514,9.834035376
22,2000,2000,BA,2000BA,R2,F3190,80,231.14,83.82,47360.1443,0,10.5,74.94201,
23,2000,2000,BA,2000BA,R3,F3190,79,241.3,91.44,62431.07825,0,10.9,79.38216,10.82025851
24,2000,2000,BA,2000BA,R4,F3190,79,243.84,93.98,64583.3628,0,10.9,77.97933,9.402052388
25,2000,2000,BA,2000BA,R1,8251IT,80,251.46,96.52,58124.0381,0,10.5,79.00893,9.106227336
26,2000,2000,BA,2000BA,R2,8251IT,80,248.92,93.98,60278.7937,0,10.8,77.9922,8.474094468
27,2000,2000,BA,2000BA,R3,8251IT,80,243.84,91.44,63866.7583,0,11,80.72064,10.7600936
28,2000,2000,BA,2000BA,R4,8251IT,79,246.38,99.06,57407.4336,0,10.7,,9.048020528
29,2000,2000,BA,2000BA,R1,8273IT,77,228.6,91.44,61712.0027,0,10.3,80.6949,9.4377096
30,2000,2000,BA,2000BA,R2,8273IT,78,220.98,71.12,68887.9319,0,10.8,78.36543,9.770132608
31,2000,2000,BA,2000BA,R3,8273IT,78,228.6,83.82,63147.68275,0,10.9,79.31781,9.12733944
32,2000,2000,BA,2000BA,R4,8273IT,78,226.06,73.66,55971.75355,0,10.8,79.33068,9.196025056
33,2000,2000,BA,2000BA,R1,8349RR,78,210.82,76.2,50231.5044,0,12.11,79.71678,8.505458044
34,2000,2000,BA,2000BA,R2,8349RR,77,215.9,71.12,58843.11365,0,10.4,75.63699,9.0197128
35,2000,2000,BA,2000BA,R3,8349RR,78,218.44,86.36,58843.11365,0,10.2,79.6653,7.506671144
36,2000,2000,BA,2000BA,R4,8349RR,77,220.98,88.9,53819.469,0,10.1,81.41562,8.939040548
37,2000,2000,BA,2000BA,R1,HY9646,79,261.62,96.52,58843.11365,0,10.7,76.62798,8.820873556
38,2000,2000,BA,2000BA,R2,HY9646,81,248.92,96.52,56690.8291,0,10.7,81.081,8.170406856
39,2000,2000,BA,2000BA,R3,HY9646,79,248.92,96.52,60995.3982,0,10.8,79.35642,9.780445624
40,2000,2000,BA,2000BA,R4,HY9646,79,259.08,99.06,58843.11365,0,10.5,82.05912,9.954762096
41,2000,2000,BA,2000BA,R1,2888IMI,77,243.84,91.44,53819.469,0,11.1,76.64085,9.596798956
42,2000,2000,BA,2000BA,R2,2888IMI,78,236.22,86.36,45926.9353,,11.4,78.67431,7.249285972
43,2000,2000,BA,2000BA,R3,2888IMI,79,246.38,93.98,62431.07825,0,11.9,84.13119,10.7735171
44,2000,2000,BA,2000BA,R4,2888IMI,77,236.22,101.6,60995.3982,0,10.9,82.72836,9.8793663
45,2000,2000,BA,2000BA,R1,TR1106,78,241.3,88.9,60995.3982,0,10.8,77.00121,9.254467364
46,2000,2000,BA,2000BA,R2,TR1106,79,238.76,81.28,58124.0381,0,10.3,77.33583,7.76450408
47,2000,2000,BA,2000BA,R3,TR1106,79,238.76,78.74,59559.71815,0,10.7,77.65758,9.309583156
48,2000,2000,BA,2000BA,R4,TR1106,78,241.3,73.66,60995.3982,0,10.7,76.25475,8.92068034
49,2000,2000,BA,2000BA,R1,TR1167CL,80,236.22,88.9,60995.3982,0,11.1,76.26762,8.77793594
50,2000,2000,BA,2000BA,R2,TR1167CL,79,241.3,88.9,65299.9673,0,11.1,78.6357,10.01479576
51,2000,2000,BA,2000BA,R3,TR1167CL,80,241.3,96.52,63147.68275,0,11.1,77.96646,8.740247776
