rownames,line,sire,damage,calf,weanage,weight,adg
1,L1,S1,A3,C01,192,390,2.24
2,L1,S1,A3,C02,154,403,2.65
3,L1,S1,A4,C03,185,432,2.41
4,L1,S1,A4,C04,183,457,2.25
5,L1,S1,A5,C05,186,483,2.58
6,L1,S1,A5,C06,177,469,2.67
7,L1,S1,A5,C07,177,428,2.71
8,L1,S1,A5,C08,163,439,2.47
9,L1,S2,A4,C09,188,439,2.29
10,L1,S2,A4,C10,178,407,2.26
11,L1,S2,A5,C11,198,498,1.97
12,L1,S2,A5,C12,193,459,2.14
13,L1,S2,A5,C13,186,459,2.44
14,L1,S2,A5,C14,175,375,2.52
15,L1,S2,A5,C15,171,382,1.72
16,L1,S2,A5,C16,168,417,2.75
17,L1,S3,A3,C17,154,389,2.38
18,L1,S3,A4,C18,184,414,2.46
19,L1,S3,A5,C19,174,483,2.29
20,L1,S3,A5,C20,170,430,2.3
21,L1,S3,A5,C21,169,443,2.94
22,L2,S4,A3,C22,158,381,2.5
23,L2,S4,A3,C23,158,365,2.44
24,L2,S4,A4,C24,169,386,2.44
25,L2,S4,A4,C25,144,339,2.15
26,L2,S4,A5,C26,159,419,2.54
27,L2,S4,A5,C27,152,469,2.74
28,L2,S4,A5,C28,149,376,2.5
29,L2,S4,A5,C29,149,375,2.54
30,L2,S5,A3,C30,189,395,2.65
31,L2,S5,A4,C31,187,447,2.52
32,L2,S5,A4,C32,165,430,2.67
33,L2,S5,A5,C33,181,453,2.79
34,L2,S5,A5,C34,177,385,2.33
35,L2,S5,A5,C35,151,414,2.67
36,L2,S5,A5,C36,147,353,2.69
37,L3,S6,A4,C37,184,411,3
38,L3,S6,A4,C38,184,420,2.49
39,L3,S6,A5,C39,187,427,2.25
40,L3,S6,A5,C40,184,409,2.49
41,L3,S6,A5,C41,183,337,2.02
42,L3,S6,A5,C42,177,352,2.31
43,L3,S7,A3,C43,205,472,2.57
44,L3,S7,A3,C44,193,340,2.37
45,L3,S7,A4,C45,162,375,2.64
46,L3,S7,A5,C46,206,451,2.37
47,L3,S7,A5,C47,205,472,2.22
48,L3,S7,A5,C48,187,402,1.9
49,L3,S7,A5,C49,178,464,2.61
50,L3,S7,A5,C50,175,414,2.13
51,L3,S8,A3,C51,200,466,2.16
52,L3,S8,A3,C52,184,356,2.33
53,L3,S8,A3,C53,175,449,2.52
54,L3,S8,A4,C54,178,360,2.45
55,L3,S8,A5,C55,189,385,1.44
56,L3,S8,A5,C56,184,431,1.72
57,L3,S8,A5,C57,183,401,2.17
58,L3,S9,A3,C58,166,404,2.68
59,L3,S9,A4,C59,187,482,2.43
60,L3,S9,A4,C60,186,350,2.36
61,L3,S9,A4,C61,184,483,2.44
62,L3,S9,A5,C62,180,425,2.66
63,L3,S9,A5,C63,177,420,2.46
64,L3,S9,A5,C64,175,449,2.52
65,L3,S9,A5,C65,164,405,2.42
