"","treat","econ_hard","depress1","sex","age","occp","marital","nonwhite","educ","income","job_seek","depress2","work1","comply","control","job_dich","job_disc"
"1",1,3,1.9099999666214,1,34.167121887207,"professionals","married","non.white1","gradwk","50k+",4.83333349227905,1.72727274894714,"psyemp",0,"treat",1,4
"2",1,3.67000007629395,1.36000001430511,0,26.1013698577881,"operatives/kindred wrks","nevmarr","white0","somcol","15t24k",3.83333325386047,2,"psyemp",0,"treat",0,3
"3",1,4,2.08999991416931,1,35.0219192504883,"operatives/kindred wrks","nevmarr","non.white1","somcol","25t39k",4.5,2.18181824684143,"psyump",0,"treat",1,4
"4",0,2.32999992370605,1.45000004768372,0,27.4876708984375,"manegerial","married","white0","bach","25t39k",3.66666674613953,1.54545450210571,"psyump",0,"control",0,3
"5",1,1.33000004291534,1.73000001907349,1,31.6109580993652,"clerical/kindred","separtd","non.white1","highsc","25t39k",2.5,2.36363625526428,"psyump",1,"treat",0,2
"6",1,3,1.54999995231628,0,40.4383544921875,"manegerial","married","white0","highsc","50k+",4,1.18181812763214,"psyump",1,"treat",1,3
"7",0,3.32999992370605,2.45000004768372,1,51.0657539367676,"sales workers","married","white0","gradwk","50k+",4.33333349227905,1.45454549789429,"psyump",0,"control",1,3
"8",0,4,2.73000001907349,1,49.1479454040527,"professionals","married","white0","somcol","15t24k",4.33333349227905,3,"psyump",0,"control",1,3
"9",0,1.33000004291534,1.26999998092651,1,30.6191787719727,"professionals","nevmarr","non.white1","gradwk","15t24k",3.66666674613953,1.63636362552643,"psyump",0,"control",0,3
"10",1,3,1.63999998569489,0,33.3452072143555,"craftsmen/foremen/kindred","separtd","non.white1","highsc","25t39k",3.33333325386047,1.63636362552643,"psyump",0,"treat",0,2
"11",1,2.32999992370605,2.45000004768372,0,44.1041107177734,"manegerial","married","white0","bach","50k+",4.66666650772095,2,"psyemp",1,"treat",1,4
"12",1,4.67000007629395,2.8199999332428,1,35.3315086364746,"manegerial","married","non.white1","somcol","25t39k",4.16666650772095,2.40000009536743,"psyump",0,"treat",1,3
"13",1,2.67000007629395,1.9099999666214,1,25.9589042663574,"operatives/kindred wrks","nevmarr","white0","somcol","lt15k",2,1.72727274894714,"psyemp",0,"treat",0,1
"14",1,3,1.45000004768372,0,27.668493270874,"professionals","nevmarr","non.white1","bach","25t39k",3.66666674613953,1.63636362552643,"psyump",1,"treat",0,3
