"","x","y","group"
"1",10,8.04,"Quartet 1"
"2",8,6.95,"Quartet 1"
"3",13,7.58,"Quartet 1"
"4",9,8.81,"Quartet 1"
"5",11,8.33,"Quartet 1"
"6",14,9.96,"Quartet 1"
"7",6,7.24,"Quartet 1"
"8",4,4.26,"Quartet 1"
"9",12,10.84,"Quartet 1"
"10",7,4.82,"Quartet 1"
"11",5,5.68,"Quartet 1"
"12",10,9.14,"Quartet 2"
"13",8,8.14,"Quartet 2"
"14",13,8.74,"Quartet 2"
"15",9,8.77,"Quartet 2"
"16",11,9.26,"Quartet 2"
"17",14,8.1,"Quartet 2"
"18",6,6.13,"Quartet 2"
"19",4,3.1,"Quartet 2"
"20",12,9.13,"Quartet 2"
"21",7,7.26,"Quartet 2"
"22",5,4.74,"Quartet 2"
"23",10,7.46,"Quartet 3"
"24",8,6.77,"Quartet 3"
"25",13,12.74,"Quartet 3"
"26",9,7.11,"Quartet 3"
"27",11,7.81,"Quartet 3"
"28",14,8.84,"Quartet 3"
"29",6,6.08,"Quartet 3"
"30",4,5.39,"Quartet 3"
"31",12,8.15,"Quartet 3"
"32",7,6.42,"Quartet 3"
"33",5,5.73,"Quartet 3"
"34",8,6.58,"Quartet 4"
"35",8,5.76,"Quartet 4"
"36",8,7.71,"Quartet 4"
"37",8,8.84,"Quartet 4"
"38",8,8.47,"Quartet 4"
"39",8,7.04,"Quartet 4"
"40",8,5.25,"Quartet 4"
"41",19,12.5,"Quartet 4"
"42",8,5.56,"Quartet 4"
"43",8,7.91,"Quartet 4"
"44",8,6.89,"Quartet 4"
