rownames,id,province,gc,ool,cvlhs,vl,fl,m,pd
1,1,An Giang,75,31,1.8,15.6,11.4,0,214
2,2,An Xuyen,27,54,1.3,18.8,18,15,38
3,3,Ba Xuyen,24,24,1.85,36.6,25.2,45,118
4,4,Bien Hoa,31,36,1.75,4.9,2.3,0,116
5,5,Binh Dinh,9,66,1.05,0,0,10,84
6,6,Binh Duong,18,63,1.72,0.3,1.1,25,146
7,7,Binh Thuan,32,54,1.79,2.2,2.9,85,57
8,8,Dinh Tuong,31,28,1.3,12.6,4.7,60,423
9,9,Khanh Hoa,43,39,1.62,0,0.3,20,46
10,10,Kien Giang,22,37,1.85,29.7,26.3,0,66
11,11,Kien Hoa,24,49,1.02,6.8,1.7,10,257
12,12,Kien Phong,42,36,1.94,20.6,15,50,105
13,13,Kien Tuong,45,52,1.4,13.4,33.9,10,17
14,14,Long An,32,42,1.31,9.1,1.8,0,274
15,15,Long Khan,25,6,1.5,0,0,15,41
16,16,Ninh Thuan,76,40,2.42,0,23.3,0,39
17,17,Phong Dinh,28,20,1.29,44.8,28.9,0,244
18,18,Phuoc Tuy,52,44,2.46,1.2,1.2,50,67
19,19,Phu Yen,13,72,1.29,0,1.8,40,62
20,20,Quang Nam,18,60,0.96,0,0,25,88
21,21,Quang Ngai,18,77,0.9,0,0,0,88
22,22,Quang Tri,12,36,0.98,0,0,15,57
23,23,Tay Ninh,22,58,1.88,4.5,0.4,0,58
24,24,Thua Thien,33,27,1.49,0,0,15,91
25,25,Vinh Binh,19,30,1.25,17.8,4.2,0,183
26,26,Vinh Long,64,32,1.46,13.4,4.2,0,290
