"","price","lotSize","age","landValue","livingArea","pctCollege","bedrooms","fireplaces","bathrooms","rooms","heating","fuel","sewer","waterfront","newConstruction","centralAir"
"1",132500,0.09,42,50000,906,35,2,1,1,5,"electric","electric","septic","No","No","No"
"2",181115,0.92,0,22300,1953,51,3,0,2.5,6,"hot water/steam","gas","septic","No","No","No"
"3",109000,0.19,133,7300,1944,51,4,1,1,8,"hot water/steam","gas","public/commercial","No","No","No"
"4",155000,0.41,13,18700,1944,51,3,1,1.5,5,"hot air","gas","septic","No","No","No"
"5",86060,0.11,0,15000,840,51,2,0,1,3,"hot air","gas","public/commercial","No","Yes","Yes"
"6",120000,0.68,31,14000,1152,22,4,1,1,8,"hot air","gas","septic","No","No","No"
"7",153000,0.4,33,23300,2752,51,4,1,1.5,8,"hot water/steam","oil","septic","No","No","No"
"8",170000,1.21,23,14600,1662,35,4,1,1.5,9,"hot air","oil","septic","No","No","No"
"9",90000,0.83,36,22200,1632,51,3,0,1.5,8,"electric","electric","septic","No","No","No"
"10",122900,1.94,4,21200,1416,44,3,0,1.5,6,"hot air","gas","none","No","No","No"
"11",325000,2.29,123,12600,2894,51,7,0,1,12,"hot air","oil","septic","No","No","No"
"12",120000,0.92,1,22300,1624,51,3,0,2,6,"hot air","gas","septic","No","No","No"
"13",85860,8.97,13,4800,704,41,2,0,1,4,"electric","electric","septic","No","No","No"
"14",97000,0.11,153,3100,1383,57,3,0,2,5,"hot water/steam","gas","public/commercial","No","No","No"
"15",127000,0.14,9,300,1300,41,3,0,1.5,8,"hot air","oil","septic","No","No","No"
"16",89900,0,88,2500,936,57,3,0,1,4,"hot water/steam","gas","public/commercial","No","No","No"
"17",155000,0.13,9,300,1300,41,3,0,1.5,7,"hot air","oil","septic","No","No","No"
"18",253750,2,0,49800,2816,71,4,1,2.5,12,"hot air","gas","none","No","No","Yes"
"19",60000,0.21,82,8500,924,35,2,0,1,6,"hot water/steam","oil","septic","No","No","No"
"20",87500,0.88,17,19400,1092,35,3,0,1,6,"hot air","oil","septic","No","No","No"
"21",112000,1,12,8600,1056,35,3,0,1,7,"electric","electric","septic","No","No","No"
"22",104900,0.43,21,5600,1600,39,3,0,1.5,4,"electric","electric","public/commercial","No","No","No"
"23",148635,0.32,1,6200,1576,39,3,0,2.5,7,"hot air","gas","septic","No","Yes","Yes"
"24",150000,0.03,24,5100,2080,39,3,0,2,6,"hot air","oil","septic","No","No","No"
"25",90400,0.36,16,5200,1600,39,3,0,1.5,4,"electric","electric","public/commercial","No","No","No"
"26",248800,4,28,5500,2224,39,4,0,3,10,"hot air","oil","septic","No","No","No"
"27",135000,1.83,126,6000,1656,39,3,0,1,6,"hot water/steam","oil","septic","No","No","No"
"28",145000,3,26,4500,1170,39,4,0,1.5,5,"hot air","oil","septic","No","No","No"
"29",457000,0.43,53,2700,2461,39,4,1,2,10,"hot air","oil","public/commercial","Yes","No","No"
"30",140000,0.44,56,19400,1544,71,3,1,1.5,7,"hot air","oil","septic","No","No","Yes"
"31",130000,1.24,51,24800,1220,71,2,2,1,4,"hot water/steam","oil","septic","No","No","No"
"32",187000,0.46,3,15200,1858,52,3,1,2.5,7,"hot air","gas","septic","No","No","No"
"33",229000,0.87,9,41100,2219,64,3,1,2,8,"hot air","gas","public/commercial","No","No","No"
"34",227000,1.8,201,25500,1876,52,3,0,2.5,5,"hot air","oil","septic","No","No","No"
"35",179900,0.46,1,15200,2026,52,4,1,2.5,6,"hot air","gas","septic","No","No","No"
"36",169900,0.91,19,20200,1671,71,4,1,3,8,"hot air","gas","septic","No","No","Yes"
"37",209900,0.46,1,15200,2060,52,4,1,2.5,7,"hot air","gas","none","No","No","No"
"38",169900,0.59,0,17300,1884,52,4,1,2.5,9,"hot air","gas","septic","No","No","No"
"39",293000,7.24,43,36600,2022,71,4,2,3,6,"hot water/steam","gas","septic","No","No","No"
"40",245900,0.19,0,20700,2394,71,4,1,2.5,7,"hot air","gas","none","No","No","Yes"
"41",157000,0.46,45,20200,1390,71,3,1,1.5,6,"hot air","gas","septic","No","No","No"
"42",195000,0.41,32,27100,1954,71,4,0,2.5,8,"hot air","gas","septic","No","No","Yes"
