"","idcode","year","birth_yr","age","race","msp","nev_mar","grade","collgrad","not_smsa","c_city","south","ind_code","occ_code","union","wks_ue","ttl_exp","tenure","hours","wks_work","ln_wage"
"1",1,70,51,18,2,0,1,12,0,0,1,0,6,3,NA,2,1.08333325386047,0.0833333358168602,20,27,1.45121395587921
"2",1,71,51,19,2,1,0,12,0,0,1,0,4,6,NA,22,1.27564096450806,0.0833333358168602,44,10,1.02861976623535
"3",1,72,51,20,2,1,0,12,0,0,1,0,4,6,1,0,2.25641012191772,0.916666686534882,40,51,1.58997738361359
"4",1,73,51,21,2,1,0,12,0,0,1,0,4,6,NA,0,2.31410241127014,0.0833333358168602,40,3,1.78027284145355
"5",1,75,51,23,2,1,0,12,0,0,1,0,5,6,NA,0,2.77564096450806,0.16666667163372,10,24,1.77701163291931
"6",1,77,51,25,2,0,0,12,0,0,1,0,12,8,0,0,3.77564096450806,1.5,32,52,1.77868056297302
"7",1,78,51,26,2,0,0,12,0,0,1,0,5,6,NA,7,3.85256409645081,0.0833333358168602,52,4,2.49397587776184
"8",1,80,51,28,2,0,0,12,0,0,1,0,5,6,1,0,5.29487180709839,1.83333337306976,45,75,2.55171537399292
"9",1,83,51,31,2,0,0,12,0,0,1,0,5,6,1,NA,5.29487180709839,0.666666686534882,49,101,2.42026138305664
"10",1,85,51,33,2,0,0,12,0,0,1,0,5,6,1,0,7.16025638580322,1.91666662693024,42,97,2.61417245864868
"11",1,87,51,35,2,0,0,12,0,0,0,0,5,6,1,0,8.98717975616455,3.91666674613953,45,95,2.53637361526489
"12",1,88,51,37,2,0,0,12,0,0,0,0,5,6,1,0,10.3333339691162,5.33333349227905,48,70,2.46292734146118
"13",2,71,51,19,2,1,0,12,0,0,1,0,4,3,0,19,0.711538434028625,0.25,40,13,1.36034822463989
"14",2,72,51,20,2,1,0,12,0,0,1,0,4,3,NA,6,1.13461542129517,1,40,22,1.20619750022888
"15",2,73,51,21,2,1,0,12,0,0,1,0,4,6,NA,35,1.46153843402863,0.333333343267441,40,17,1.54988288879395
"16",2,75,51,23,2,1,0,12,0,0,1,0,4,6,NA,0,2.21153855323792,0.666666686534882,40,39,1.8325811624527
"17",2,77,51,25,2,1,0,12,0,0,1,0,4,6,1,0,3.21153855323792,2.66666674613953,40,52,1.7267210483551
"18",2,78,51,26,2,1,0,12,0,0,1,0,4,6,1,0,4.21153831481934,3.66666674613953,40,52,1.68991005420685
"19",2,80,51,28,2,1,0,12,0,0,1,0,4,6,1,NA,6.0961537361145,5.58333349227905,40,98,1.7269641160965
"20",2,82,51,30,2,1,0,12,0,0,1,0,4,6,1,NA,7.66666650772095,7.66666650772095,38,78,1.80828857421875
