"","record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
"1",1,7,16,1977,2,"NL","M",32,NA,"Neotoma","albigula","Rodent","Control"
"2",2,7,16,1977,3,"NL","M",33,NA,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"3",3,7,16,1977,2,"DM","F",37,NA,"Dipodomys","merriami","Rodent","Control"
"4",4,7,16,1977,7,"DM","M",36,NA,"Dipodomys","merriami","Rodent","Rodent Exclosure"
"5",5,7,16,1977,3,"DM","M",35,NA,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"6",6,7,16,1977,1,"PF","M",14,NA,"Perognathus","flavus","Rodent","Spectab exclosure"
"7",7,7,16,1977,2,"PE","F",NA,NA,"Peromyscus","eremicus","Rodent","Control"
"8",8,7,16,1977,1,"DM","M",37,NA,"Dipodomys","merriami","Rodent","Spectab exclosure"
"9",9,7,16,1977,1,"DM","F",34,NA,"Dipodomys","merriami","Rodent","Spectab exclosure"
"10",10,7,16,1977,6,"PF","F",20,NA,"Perognathus","flavus","Rodent","Short-term Krat Exclosure"
"11",11,7,16,1977,5,"DS","F",53,NA,"Dipodomys","spectabilis","Rodent","Rodent Exclosure"
"12",12,7,16,1977,7,"DM","M",38,NA,"Dipodomys","merriami","Rodent","Rodent Exclosure"
"13",13,7,16,1977,3,"DM","M",35,NA,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"14",14,7,16,1977,8,"DM","",NA,NA,"Dipodomys","merriami","Rodent","Control"
"15",15,7,16,1977,6,"DM","F",36,NA,"Dipodomys","merriami","Rodent","Short-term Krat Exclosure"
"16",16,7,16,1977,4,"DM","F",36,NA,"Dipodomys","merriami","Rodent","Control"
"17",17,7,16,1977,3,"DS","F",48,NA,"Dipodomys","spectabilis","Rodent","Long-term Krat Exclosure"
"18",18,7,16,1977,2,"PP","M",22,NA,"Chaetodipus","penicillatus","Rodent","Control"
"19",19,7,16,1977,4,"PF","",NA,NA,"Perognathus","flavus","Rodent","Control"
"20",20,7,17,1977,11,"DS","F",48,NA,"Dipodomys","spectabilis","Rodent","Control"
"21",21,7,17,1977,14,"DM","F",34,NA,"Dipodomys","merriami","Rodent","Control"
"22",22,7,17,1977,15,"NL","F",31,NA,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"23",23,7,17,1977,13,"DM","M",36,NA,"Dipodomys","merriami","Rodent","Short-term Krat Exclosure"
"24",24,7,17,1977,13,"SH","M",21,NA,"Sigmodon","hispidus","Rodent","Short-term Krat Exclosure"
"25",25,7,17,1977,9,"DM","M",35,NA,"Dipodomys","merriami","Rodent","Spectab exclosure"
"26",26,7,17,1977,15,"DM","M",31,NA,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"27",27,7,17,1977,15,"DM","M",36,NA,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"28",28,7,17,1977,11,"DM","M",38,NA,"Dipodomys","merriami","Rodent","Control"
"29",29,7,17,1977,11,"PP","M",NA,NA,"Chaetodipus","penicillatus","Rodent","Control"
"30",30,7,17,1977,10,"DS","F",52,NA,"Dipodomys","spectabilis","Rodent","Rodent Exclosure"
"31",31,7,17,1977,15,"DM","F",37,NA,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"32",32,7,17,1977,10,"DM","F",35,NA,"Dipodomys","merriami","Rodent","Rodent Exclosure"
"33",33,7,17,1977,11,"DM","F",36,NA,"Dipodomys","merriami","Rodent","Control"
"34",34,7,17,1977,17,"DM","",NA,NA,"Dipodomys","merriami","Rodent","Control"
"35",35,7,17,1977,13,"DM","F",38,NA,"Dipodomys","merriami","Rodent","Short-term Krat Exclosure"
"36",36,7,17,1977,16,"OT","F",22,NA,"Onychomys","torridus","Rodent","Rodent Exclosure"
"37",37,7,17,1977,11,"DM","F",35,NA,"Dipodomys","merriami","Rodent","Control"
"38",38,7,17,1977,17,"NL","M",33,NA,"Neotoma","albigula","Rodent","Control"
"39",39,7,17,1977,11,"DM","F",36,NA,"Dipodomys","merriami","Rodent","Control"
"40",40,7,18,1977,20,"DM","M",36,NA,"Dipodomys","merriami","Rodent","Short-term Krat Exclosure"
"41",41,7,18,1977,23,"DM","F",34,NA,"Dipodomys","merriami","Rodent","Rodent Exclosure"
"42",42,7,18,1977,18,"DS","F",46,NA,"Dipodomys","spectabilis","Rodent","Short-term Krat Exclosure"
"43",43,7,18,1977,21,"DM","M",36,NA,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"44",44,7,18,1977,18,"DM","F",35,NA,"Dipodomys","merriami","Rodent","Short-term Krat Exclosure"
"45",45,7,18,1977,22,"DM","M",36,NA,"Dipodomys","merriami","Rodent","Control"
"46",46,7,18,1977,19,"DM","M",35,NA,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"47",47,7,18,1977,18,"DM","M",32,NA,"Dipodomys","merriami","Rodent","Short-term Krat Exclosure"
"48",48,7,18,1977,20,"DM","F",36,NA,"Dipodomys","merriami","Rodent","Short-term Krat Exclosure"
"49",49,7,18,1977,12,"PP","F",17,NA,"Chaetodipus","penicillatus","Rodent","Control"
"50",50,7,18,1977,18,"DM","F",32,NA,"Dipodomys","merriami","Rodent","Short-term Krat Exclosure"
"51",51,7,18,1977,21,"DM","F",36,NA,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"52",52,7,18,1977,12,"DM","F",26,NA,"Dipodomys","merriami","Rodent","Control"
"53",53,7,18,1977,22,"DM","M",36,NA,"Dipodomys","merriami","Rodent","Control"
"54",54,7,18,1977,18,"DM","M",37,NA,"Dipodomys","merriami","Rodent","Short-term Krat Exclosure"
"55",55,7,18,1977,23,"DM","M",36,NA,"Dipodomys","merriami","Rodent","Rodent Exclosure"
"56",56,7,18,1977,20,"DM","M",34,NA,"Dipodomys","merriami","Rodent","Short-term Krat Exclosure"
"57",57,7,18,1977,22,"DM","",NA,NA,"Dipodomys","merriami","Rodent","Control"
"58",58,7,18,1977,12,"DS","M",45,NA,"Dipodomys","spectabilis","Rodent","Control"
"59",59,7,18,1977,19,"DM","M",33,NA,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"60",60,7,18,1977,19,"PE","M",20,NA,"Peromyscus","eremicus","Rodent","Long-term Krat Exclosure"
"61",61,7,18,1977,23,"DM","M",35,NA,"Dipodomys","merriami","Rodent","Rodent Exclosure"
