"","species","island","culmen_length_mm","culmen_depth_mm","flipper_length_mm","body_mass_g","sex"
"1","Adelie","Torgersen",39.1,18.7,181,3750,"MALE"
"2","Adelie","Torgersen",39.5,17.4,186,3800,"FEMALE"
"3","Adelie","Torgersen",40.3,18,195,3250,"FEMALE"
"4","Adelie","Torgersen",NA,NA,NA,NA,NA
"5","Adelie","Torgersen",36.7,19.3,193,3450,"FEMALE"
"6","Adelie","Torgersen",39.3,20.6,190,3650,"MALE"
"7","Adelie","Torgersen",38.9,17.8,181,3625,"FEMALE"
"8","Adelie","Torgersen",39.2,19.6,195,4675,"MALE"
"9","Adelie","Torgersen",34.1,18.1,193,3475,NA
"10","Adelie","Torgersen",42,20.2,190,4250,NA
"11","Adelie","Torgersen",37.8,17.1,186,3300,NA
"12","Adelie","Torgersen",37.8,17.3,180,3700,NA
"13","Adelie","Torgersen",41.1,17.6,182,3200,"FEMALE"
"14","Adelie","Torgersen",38.6,21.2,191,3800,"MALE"
"15","Adelie","Torgersen",34.6,21.1,198,4400,"MALE"
"16","Adelie","Torgersen",36.6,17.8,185,3700,"FEMALE"
"17","Adelie","Torgersen",38.7,19,195,3450,"FEMALE"
"18","Adelie","Torgersen",42.5,20.7,197,4500,"MALE"
"19","Adelie","Torgersen",34.4,18.4,184,3325,"FEMALE"
"20","Adelie","Torgersen",46,21.5,194,4200,"MALE"
"21","Adelie","Biscoe",37.8,18.3,174,3400,"FEMALE"
"22","Adelie","Biscoe",37.7,18.7,180,3600,"MALE"
"23","Adelie","Biscoe",35.9,19.2,189,3800,"FEMALE"
"24","Adelie","Biscoe",38.2,18.1,185,3950,"MALE"
"25","Adelie","Biscoe",38.8,17.2,180,3800,"MALE"
"26","Adelie","Biscoe",35.3,18.9,187,3800,"FEMALE"
"27","Adelie","Biscoe",40.6,18.6,183,3550,"MALE"
"28","Adelie","Biscoe",40.5,17.9,187,3200,"FEMALE"
"29","Adelie","Biscoe",37.9,18.6,172,3150,"FEMALE"
"30","Adelie","Biscoe",40.5,18.9,180,3950,"MALE"
"31","Adelie","Dream",39.5,16.7,178,3250,"FEMALE"
"32","Adelie","Dream",37.2,18.1,178,3900,"MALE"
"33","Adelie","Dream",39.5,17.8,188,3300,"FEMALE"
"34","Adelie","Dream",40.9,18.9,184,3900,"MALE"
"35","Adelie","Dream",36.4,17,195,3325,"FEMALE"
"36","Adelie","Dream",39.2,21.1,196,4150,"MALE"
"37","Adelie","Dream",38.8,20,190,3950,"MALE"
"38","Adelie","Dream",42.2,18.5,180,3550,"FEMALE"
"39","Adelie","Dream",37.6,19.3,181,3300,"FEMALE"
"40","Adelie","Dream",39.8,19.1,184,4650,"MALE"
"41","Adelie","Dream",36.5,18,182,3150,"FEMALE"
"42","Adelie","Dream",40.8,18.4,195,3900,"MALE"
"43","Adelie","Dream",36,18.5,186,3100,"FEMALE"
"44","Adelie","Dream",44.1,19.7,196,4400,"MALE"
"45","Adelie","Dream",37,16.9,185,3000,"FEMALE"
"46","Adelie","Dream",39.6,18.8,190,4600,"MALE"
"47","Adelie","Dream",41.1,19,182,3425,"MALE"
"48","Adelie","Dream",37.5,18.9,179,2975,NA
"49","Adelie","Dream",36,17.9,190,3450,"FEMALE"
"50","Adelie","Dream",42.3,21.2,191,4150,"MALE"
"51","Adelie","Biscoe",39.6,17.7,186,3500,"FEMALE"
"52","Adelie","Biscoe",40.1,18.9,188,4300,"MALE"
"53","Adelie","Biscoe",35,17.9,190,3450,"FEMALE"
"54","Adelie","Biscoe",42,19.5,200,4050,"MALE"
"55","Adelie","Biscoe",34.5,18.1,187,2900,"FEMALE"
"56","Adelie","Biscoe",41.4,18.6,191,3700,"MALE"
"57","Adelie","Biscoe",39,17.5,186,3550,"FEMALE"
"58","Adelie","Biscoe",40.6,18.8,193,3800,"MALE"
"59","Adelie","Biscoe",36.5,16.6,181,2850,"FEMALE"
"60","Adelie","Biscoe",37.6,19.1,194,3750,"MALE"
"61","Adelie","Biscoe",35.7,16.9,185,3150,"FEMALE"
"62","Adelie","Biscoe",41.3,21.1,195,4400,"MALE"
"63","Adelie","Biscoe",37.6,17,185,3600,"FEMALE"
"64","Adelie","Biscoe",41.1,18.2,192,4050,"MALE"
"65","Adelie","Biscoe",36.4,17.1,184,2850,"FEMALE"
"66","Adelie","Biscoe",41.6,18,192,3950,"MALE"
"67","Adelie","Biscoe",35.5,16.2,195,3350,"FEMALE"
"68","Adelie","Biscoe",41.1,19.1,188,4100,"MALE"
"69","Adelie","Torgersen",35.9,16.6,190,3050,"FEMALE"
"70","Adelie","Torgersen",41.8,19.4,198,4450,"MALE"
"71","Adelie","Torgersen",33.5,19,190,3600,"FEMALE"
"72","Adelie","Torgersen",39.7,18.4,190,3900,"MALE"
"73","Adelie","Torgersen",39.6,17.2,196,3550,"FEMALE"
"74","Adelie","Torgersen",45.8,18.9,197,4150,"MALE"
"75","Adelie","Torgersen",35.5,17.5,190,3700,"FEMALE"
"76","Adelie","Torgersen",42.8,18.5,195,4250,"MALE"
"77","Adelie","Torgersen",40.9,16.8,191,3700,"FEMALE"
"78","Adelie","Torgersen",37.2,19.4,184,3900,"MALE"
"79","Adelie","Torgersen",36.2,16.1,187,3550,"FEMALE"
"80","Adelie","Torgersen",42.1,19.1,195,4000,"MALE"
"81","Adelie","Torgersen",34.6,17.2,189,3200,"FEMALE"
"82","Adelie","Torgersen",42.9,17.6,196,4700,"MALE"
"83","Adelie","Torgersen",36.7,18.8,187,3800,"FEMALE"
"84","Adelie","Torgersen",35.1,19.4,193,4200,"MALE"
"85","Adelie","Dream",37.3,17.8,191,3350,"FEMALE"
"86","Adelie","Dream",41.3,20.3,194,3550,"MALE"
"87","Adelie","Dream",36.3,19.5,190,3800,"MALE"
"88","Adelie","Dream",36.9,18.6,189,3500,"FEMALE"
"89","Adelie","Dream",38.3,19.2,189,3950,"MALE"
"90","Adelie","Dream",38.9,18.8,190,3600,"FEMALE"
"91","Adelie","Dream",35.7,18,202,3550,"FEMALE"
"92","Adelie","Dream",41.1,18.1,205,4300,"MALE"
"93","Adelie","Dream",34,17.1,185,3400,"FEMALE"
"94","Adelie","Dream",39.6,18.1,186,4450,"MALE"
"95","Adelie","Dream",36.2,17.3,187,3300,"FEMALE"
"96","Adelie","Dream",40.8,18.9,208,4300,"MALE"
"97","Adelie","Dream",38.1,18.6,190,3700,"FEMALE"
"98","Adelie","Dream",40.3,18.5,196,4350,"MALE"
"99","Adelie","Dream",33.1,16.1,178,2900,"FEMALE"
