"","id","date","time","name","size","type","price"
"1","2015-000001","2015-01-01","11:38:36","hawaiian","M","classic",13.25
"2","2015-000002","2015-01-01","11:57:40","classic_dlx","M","classic",16
"3","2015-000002","2015-01-01","11:57:40","mexicana","M","veggie",16
"4","2015-000002","2015-01-01","11:57:40","thai_ckn","L","chicken",20.75
"5","2015-000002","2015-01-01","11:57:40","five_cheese","L","veggie",18.5
"6","2015-000002","2015-01-01","11:57:40","ital_supr","L","supreme",20.75
"7","2015-000003","2015-01-01","12:12:28","prsc_argla","L","supreme",20.75
"8","2015-000003","2015-01-01","12:12:28","ital_supr","M","supreme",16.5
"9","2015-000004","2015-01-01","12:16:31","ital_supr","M","supreme",16.5
"10","2015-000005","2015-01-01","12:21:30","ital_supr","M","supreme",16.5
"11","2015-000006","2015-01-01","12:29:36","bbq_ckn","S","chicken",12.75
"12","2015-000006","2015-01-01","12:29:36","the_greek","S","classic",12
"13","2015-000007","2015-01-01","12:50:37","spinach_supr","S","supreme",12.5
"14","2015-000008","2015-01-01","12:51:37","spinach_supr","S","supreme",12.5
"15","2015-000009","2015-01-01","12:52:01","ital_supr","L","supreme",20.75
"16","2015-000009","2015-01-01","12:52:01","mexicana","S","veggie",12
"17","2015-000009","2015-01-01","12:52:01","spin_pesto","L","veggie",20.75
"18","2015-000009","2015-01-01","12:52:01","spicy_ital","L","supreme",20.75
"19","2015-000009","2015-01-01","12:52:01","ital_cpcllo","L","classic",20.5
"20","2015-000009","2015-01-01","12:52:01","veggie_veg","S","veggie",12
"21","2015-000009","2015-01-01","12:52:01","green_garden","S","veggie",12
"22","2015-000009","2015-01-01","12:52:01","classic_dlx","S","classic",12
"23","2015-000009","2015-01-01","12:52:01","ital_supr","S","supreme",12.5
"24","2015-000010","2015-01-01","13:00:15","mexicana","L","veggie",20.25
"25","2015-000010","2015-01-01","13:00:15","southw_ckn","L","chicken",20.75
"26","2015-000011","2015-01-01","13:02:59","pepperoni","L","classic",15.25
"27","2015-000011","2015-01-01","13:02:59","cali_ckn","L","chicken",20.75
"28","2015-000011","2015-01-01","13:02:59","cali_ckn","M","chicken",16.75
"29","2015-000011","2015-01-01","13:02:59","bbq_ckn","L","chicken",20.75
"30","2015-000012","2015-01-01","13:04:41","cali_ckn","S","chicken",12.75
"31","2015-000012","2015-01-01","13:04:41","ital_supr","M","supreme",16.5
"32","2015-000012","2015-01-01","13:04:41","cali_ckn","L","chicken",20.75
"33","2015-000012","2015-01-01","13:04:41","ckn_pesto","L","chicken",20.75
"34","2015-000013","2015-01-01","13:11:55","mexicana","L","veggie",20.25
"35","2015-000014","2015-01-01","13:14:19","the_greek","S","classic",12
"36","2015-000015","2015-01-01","13:33:00","big_meat","S","classic",12
"37","2015-000015","2015-01-01","13:33:00","five_cheese","L","veggie",18.5
"38","2015-000015","2015-01-01","13:33:00","soppressata","L","supreme",20.75
"39","2015-000015","2015-01-01","13:33:00","the_greek","S","classic",12
"40","2015-000016","2015-01-01","13:34:07","thai_ckn","L","chicken",20.75
"41","2015-000016","2015-01-01","13:34:07","four_cheese","L","veggie",17.95
"42","2015-000016","2015-01-01","13:34:07","napolitana","S","classic",12
"43","2015-000017","2015-01-01","13:53:00","mediterraneo","M","veggie",16
"44","2015-000017","2015-01-01","13:53:00","bbq_ckn","L","chicken",20.75
"45","2015-000017","2015-01-01","13:53:00","ital_supr","M","supreme",16.5
"46","2015-000017","2015-01-01","13:53:00","mexicana","L","veggie",20.25
"47","2015-000017","2015-01-01","13:53:00","four_cheese","M","veggie",14.75
"48","2015-000017","2015-01-01","13:53:00","spinach_fet","L","veggie",20.25
"49","2015-000017","2015-01-01","13:53:00","mediterraneo","M","veggie",16
"50","2015-000017","2015-01-01","13:53:00","five_cheese","L","veggie",18.5
"51","2015-000017","2015-01-01","13:53:00","ital_veggie","S","veggie",12.75
"52","2015-000017","2015-01-01","13:53:00","calabrese","M","supreme",16.25
"53","2015-000017","2015-01-01","13:53:00","peppr_salami","S","supreme",12.5
"54","2015-000018","2015-01-01","13:57:08","napolitana","L","classic",20.5
"55","2015-000019","2015-01-01","13:59:09","sicilian","L","supreme",20.25
"56","2015-000019","2015-01-01","13:59:09","ital_cpcllo","L","classic",20.5
"57","2015-000020","2015-01-01","14:03:08","five_cheese","L","veggie",18.5
"58","2015-000020","2015-01-01","14:03:08","big_meat","S","classic",12
"59","2015-000021","2015-01-01","14:14:29","ital_cpcllo","L","classic",20.5
"60","2015-000022","2015-01-01","14:16:26","ital_cpcllo","M","classic",16
"61","2015-000022","2015-01-01","14:16:26","southw_ckn","L","chicken",20.75
"62","2015-000022","2015-01-01","14:16:26","five_cheese","L","veggie",18.5
"63","2015-000023","2015-01-01","14:19:03","southw_ckn","S","chicken",12.75
"64","2015-000024","2015-01-01","14:23:01","ital_cpcllo","M","classic",16
"65","2015-000024","2015-01-01","14:23:01","pepperoni","M","classic",12.5
"66","2015-000024","2015-01-01","14:23:01","prsc_argla","S","supreme",12.5
"67","2015-000024","2015-01-01","14:23:01","bbq_ckn","M","chicken",16.75
"68","2015-000025","2015-01-01","14:44:44","thai_ckn","L","chicken",20.75
"69","2015-000025","2015-01-01","14:44:44","sicilian","M","supreme",16.25
"70","2015-000026","2015-01-01","14:54:26","classic_dlx","S","classic",12
"71","2015-000026","2015-01-01","14:54:26","veggie_veg","L","veggie",20.25
"72","2015-000027","2015-01-01","15:11:17","bbq_ckn","L","chicken",20.75
"73","2015-000027","2015-01-01","15:11:17","spinach_fet","L","veggie",20.25
